6307 BIO10 2
25993 79 BIO10
25994 34 INGIND35
25995 97 MAT01
25996 78 MAT01
25997 41 INGIND35
25998 77 IINF05
25999 93 MED18
26000 57 INF01
26001 9 BIO10
26002 64 INF01
26003 79 IINF05
26004 22 INF01
26005 44 BIO10
26006 60 INF01
26007 52 CHIM02
26008 92 IINF05
26009 25 AGR03
26010 50 CHIM02
26011 65 FIS01
26012 5 CHIM02
26013 99 MED18
26014 94 IINF04
26015 76 MED18
26016 70 INGIND35
26017 96 IINF04
26018 39 FIS01
26019 25 IINF04
26020 91 BIO10
26021 35 IINF04
26022 64 INGIND35
26023 69 MED18
26024 88 BIO10
26025 89 FIS01
26026 17 IINF05
26027 62 FIS01
26028 67 CHIM02
26029 57 FIS01
26030 36 IINF04
26031 46 BIO10
26032 16 MAT01
26033 69 MED18
26034 93 INF01
26035 73 CHIM02
26036 91 INGIND35
26037 45 MED18
26038 21 INF01
26039 86 AGR03
26040 74 FIS01
26041 75 IINF04
26042 82 FIS01
26043 61 CHIM02
26044 34 MED18
26045 55 MAT01
26046 74 FIS01
26047 26 INGIND35
26048 19 MAT01
26049 86 CHIM02
26050 97 FIS01
26051 11 CHIM02
26052 85 FIS01
26053 30 BIO10
26054 52 INGIND35
26055 7 FIS01
26056 39 FIS01
26057 30 CHIM02
26058 99 FIS01
26059 72 MAT01
26060 92 INF01
26061 60 INGIND35
26062 69 MAT01
26063 86 IINF05
26064 31 FIS01
26065 69 MAT01
26066 75 BIO10
26067 12 FIS01
26068 43 FIS01
26069 99 AGR03
26070 44 BIO10
26071 83 BIO10
26072 75 BIO10
26073 96 MAT01
26074 38 FIS01
26075 15 IINF04
26076 81 IINF04
26077 77 FIS01
26078 91 IINF04
26079 25 CHIM02
26080 42 MAT01
26081 35 CHIM02
26082 25 BIO10
26083 24 INF01
26084 98 IINF04
26085 41 INF01
26086 14 AGR03
26087 54 INGIND35
26088 57 BIO10
26089 79 BIO10
26090 12 AGR03
26091 85 INGIND35
26092 11 AGR03
26093 72 BIO10
26094 34 BIO10
26095 55 INF01
26096 16 CHIM02
26097 64 INF01
26098 72 FIS01
26099 10 MAT01
26100 40 INGIND35
26101 42 INGIND35
26102 26 AGR03
26103 3 CHIM02
26104 37 IINF04
26105 59 IINF04
26106 46 CHIM02
26107 55 BIO10
26108 41 FIS01
26109 25 MED18
26110 37 MAT01
26111 28 BIO10
26112 76 MAT01
26113 74 INGIND35
26114 34 FIS01
26115 36 MAT01
26116 90 IINF04
26117 55 FIS01
26118 69 MAT01
26119 27 FIS01
26120 93 INGIND35
26121 91 CHIM02
26122 37 FIS01
26123 49 BIO10
26124 94 IINF04
26125 70 IINF04
26126 29 MAT01
26127 64 AGR03
26128 16 IINF04
26129 9 FIS01
26130 4 MED18
26131 95 CHIM02
26132 85 IINF04
26133 42 INF01
26134 63 INF01
26135 33 INF01
26136 81 AGR03
26137 94 IINF05
26138 25 IINF04
26139 22 IINF05
26140 60 CHIM02
26141 57 BIO10
26142 84 BIO10
26143 81 INF01
26144 2 IINF05
26145 62 MAT01
26146 77 MAT01
26147 62 IINF05
26148 30 CHIM02
26149 26 AGR03
26150 54 IINF05
26151 52 FIS01
26152 34 IINF05
26153 24 AGR03
26154 48 INF01
26155 12 INGIND35
26156 22 INGIND35
26157 68 CHIM02
26158 41 INGIND35
26159 5 FIS01
26160 90 MAT01
26161 65 CHIM02
26162 59 FIS01
26163 96 AGR03
26164 86 FIS01
26165 50 FIS01
26166 33 FIS01
26167 20 CHIM02
26168 97 FIS01
26169 72 MAT01
26170 53 AGR03
26171 98 CHIM02
26172 22 INF01
26173 40 MED18
26174 62 IINF04
26175 67 AGR03
26176 76 IINF05
26177 82 INF01
26178 43 IINF04
26179 32 INF01
26180 64 INGIND35
26181 70 CHIM02
26182 40 IINF05
26183 24 INGIND35
26184 44 INGIND35
26185 37 MAT01
26186 74 FIS01
26187 58 INF01
26188 11 BIO10
26189 23 AGR03
26190 20 MED18
26191 20 MAT01
26192 48 IINF05
26193 75 FIS01
26194 12 INGIND35
26195 91 IINF04
26196 89 AGR03
26197 80 INGIND35
26198 35 INGIND35
26199 28 FIS01
26200 82 BIO10
26201 73 INF01
26202 85 FIS01
26203 73 INGIND35
26204 94 INF01
26205 68 IINF04
26206 18 MAT01
26207 27 INGIND35
26208 55 BIO10
26209 37 CHIM02
26210 25 CHIM02
26211 21 AGR03
26212 73 MAT01
26213 27 AGR03
26214 22 IINF04
26215 86 FIS01
26216 38 MAT01
26217 28 AGR03
26218 94 AGR03
26219 36 IINF05
26220 21 MED18
26221 92 MAT01
26222 3 MED18
26223 82 INF01
26224 11 AGR03
26225 87 AGR03
26226 51 FIS01
26227 99 CHIM02
26228 63 IINF05
26229 42 MED18
26230 31 IINF05
26231 2 IINF05
26232 62 INGIND35
26233 65 INF01
26234 38 IINF04
26235 26 INGIND35
26236 49 INGIND35
26237 70 CHIM02
26238 29 MED18
26239 43 MED18
26240 61 IINF05
26241 25 INGIND35
26242 72 FIS01
26243 86 CHIM02
26244 13 MAT01
26245 19 CHIM02
26246 80 MED18
26247 74 BIO10
26248 64 CHIM02
26249 77 FIS01
26250 4 CHIM02
26251 88 IINF04
26252 34 MAT01
26253 41 AGR03
26254 37 FIS01
26255 56 IINF05
26256 92 FIS01
26257 47 MED18
26258 81 MAT01
26259 97 INF01
26260 94 MED18
26261 69 BIO10
26262 66 MAT01
26263 98 MAT01
26264 23 FIS01
26265 75 IINF04
26266 46 AGR03
26267 64 IINF04
26268 59 MAT01
26269 88 AGR03
26270 42 INF01
26271 91 MAT01
26272 97 BIO10
26273 71 AGR03
26274 95 IINF05
26275 45 INF01
26276 58 MAT01
26277 55 CHIM02
26278 42 IINF04
26279 82 FIS01
26280 47 INGIND35
26281 26 INGIND35
26282 56 FIS01
26283 78 AGR03
26284 59 IINF05
26285 88 INGIND35
26286 11 INGIND35
26287 7 IINF04
26288 48 BIO10
26289 50 IINF05
26290 11 CHIM02
26291 23 MAT01
26292 36 IINF05
26293 94 FIS01
26294 88 INF01
26295 16 CHIM02
26296 28 IINF04
26297 98 INF01
26298 94 BIO10
26299 89 MAT01
26300 27 INGIND35
26301 81 AGR03
26302 65 IINF04
26303 57 IINF04
26304 92 CHIM02
26305 22 MAT01
26306 23 MAT01
26307 99 BIO10
26308 5 BIO10
26309 68 MED18
26310 68 IINF04
26311 95 CHIM02
26312 56 FIS01
26313 32 IINF05
26314 15 IINF05
26315 48 IINF05
26316 16 MED18
26317 77 CHIM02
26318 52 BIO10
26319 5 MED18
26320 27 INGIND35
26321 13 IINF05
26322 91 MED18
26323 40 INGIND35
26324 66 FIS01
26325 70 IINF05
26326 90 FIS01
26327 73 FIS01
26328 20 IINF04
26329 62 FIS01
26330 77 INGIND35
26331 13 INF01
26332 57 MAT01
26333 29 IINF05
26334 72 CHIM02
26335 37 INF01
26336 76 FIS01
26337 78 BIO10
26338 2 FIS01
26339 56 INF01
26340 37 CHIM02
26341 29 INGIND35
26342 60 MAT01
26343 28 FIS01
26344 86 AGR03
26345 64 IINF05
26346 88 MED18
26347 1 AGR03
26348 34 IINF05
26349 42 FIS01
26350 92 IINF05
26351 18 INF01
26352 57 MAT01
26353 32 INF01
26354 97 CHIM02
26355 96 MAT01
26356 92 MAT01
26357 61 AGR03
26358 55 AGR03
26359 61 CHIM02
26360 78 MED18
26361 65 INGIND35
26362 36 IINF05
26363 50 IINF05
26364 67 INF01
26365 72 BIO10
26366 53 FIS01
26367 30 INGIND35
26368 17 IINF05
26369 27 AGR03
26370 78 INF01
26371 88 MAT01
26372 66 INGIND35
26373 58 FIS01
26374 62 FIS01
26375 80 FIS01
26376 54 IINF05
26377 5 MED18
26378 1 AGR03
26379 70 INF01
26380 43 MAT01
26381 64 BIO10
26382 86 FIS01
26383 81 IINF05
26384 12 INF01
26385 30 INF01
26386 5 MED18
26387 16 INGIND35
26388 95 AGR03
26389 31 INF01
26390 71 AGR03
26391 100 AGR03
26392 84 CHIM02
26393 90 MED18
26394 99 INGIND35
26395 58 INF01
26396 61 CHIM02
26397 4 IINF04
26398 50 AGR03
26399 6 FIS01
26400 67 IINF04
26401 73 AGR03
26402 24 MED18
26403 97 FIS01
26404 88 IINF05
26405 34 CHIM02
26406 87 AGR03
26407 40 AGR03
26408 90 IINF05
26409 24 INF01
26410 56 IINF05
26411 98 IINF04
26412 73 MED18
26413 2 IINF05
26414 58 CHIM02
26415 22 IINF05
26416 99 AGR03
26417 63 BIO10
26418 99 BIO10
26419 36 IINF05
26420 57 AGR03
26421 71 INF01
26422 56 IINF05
26423 10 AGR03
26424 19 INF01
26425 20 MED18
26426 31 IINF04
26427 63 INGIND35
26428 71 IINF05
26429 6 INGIND35
26430 9 INF01
26431 34 MED18
26432 48 MED18
26433 48 IINF05
26434 27 CHIM02
26435 76 FIS01
26436 86 AGR03
26437 92 INGIND35
26438 68 MED18
26439 62 MAT01
26440 2 MAT01
26441 79 IINF05
26442 4 INGIND35
26443 47 INF01
26444 24 BIO10
26445 23 IINF05
26446 70 MED18
26447 48 MED18
26448 3 INF01
26449 77 MAT01
26450 69 IINF05
26451 1 CHIM02
26452 29 MAT01
26453 61 AGR03
26454 27 INF01
26455 31 BIO10
26456 64 IINF05
26457 22 IINF05
26458 5 INF01
26459 75 MAT01
26460 30 CHIM02
26461 68 CHIM02
26462 99 BIO10
26463 91 IINF05
26464 95 CHIM02
26465 50 BIO10
26466 22 MAT01
26467 50 IINF04
26468 5 MED18
26469 14 IINF05
26470 68 INF01
26471 29 INGIND35
26472 80 MAT01
26473 72 IINF05
26474 60 AGR03
26475 99 IINF05
26476 67 AGR03
26477 67 IINF05
26478 30 IINF04
26479 36 MAT01
26480 84 FIS01
26481 82 MED18
26482 76 IINF05
26483 73 INF01
26484 64 INF01
26485 17 IINF05
26486 60 CHIM02
26487 43 FIS01
26488 2 MAT01
26489 45 AGR03
26490 29 FIS01
26491 100 MAT01
26492 42 BIO10
26493 99 IINF04
26494 97 MAT01
26495 96 INGIND35
26496 64 MED18
26497 8 IINF04
26498 67 MAT01
26499 78 MAT01
26500 4 INGIND35
26501 91 MAT01
26502 64 MAT01
26503 63 INGIND35
26504 90 MED18
26505 25 IINF04
26506 6 MED18
26507 99 BIO10
26508 26 FIS01
26509 1 IINF05
26510 62 INF01
26511 62 IINF04
26512 80 MED18
26513 28 BIO10
26514 89 INGIND35
26515 87 BIO10
26516 37 INGIND35
26517 97 MED18
26518 86 IINF05
26519 67 IINF05
26520 90 MAT01
26521 78 IINF04
26522 62 BIO10
26523 85 MED18
26524 35 INF01
26525 66 FIS01
26526 10 INF01
26527 48 MAT01
26528 37 INGIND35
26529 70 MAT01
26530 30 MED18
26531 100 BIO10
26532 98 BIO10
26533 73 IINF05
26534 71 IINF04
26535 61 FIS01
26536 52 AGR03
26537 25 IINF04
26538 54 FIS01
26539 84 AGR03
26540 95 CHIM02
26541 55 IINF05
26542 53 FIS01
26543 69 CHIM02
26544 97 BIO10
26545 9 INGIND35
26546 3 MED18
26547 56 BIO10
26548 41 INF01
26549 60 INF01
26550 51 INF01
26551 69 FIS01
26552 99 FIS01
26553 70 INF01
26554 82 IINF05
26555 13 CHIM02
26556 43 BIO10
26557 12 IINF05
26558 45 MAT01
26559 71 IINF04
26560 21 FIS01
26561 7 AGR03
26562 65 INF01
26563 91 IINF04
26564 73 MED18
26565 56 INGIND35
26566 33 MED18
26567 39 IINF05
26568 19 INF01
26569 19 CHIM02
26570 77 MED18
26571 9 FIS01
26572 86 FIS01
26573 29 IINF05
26574 36 CHIM02
26575 95 FIS01
26576 88 BIO10
26577 93 IINF04
26578 44 IINF04
26579 43 BIO10
26580 68 AGR03
26581 78 AGR03
26582 92 MAT01
26583 47 AGR03
26584 32 INGIND35
26585 39 INGIND35
26586 70 CHIM02
26587 2 CHIM02
26588 23 AGR03
26589 88 BIO10
26590 69 CHIM02
26591 72 FIS01
26592 66 IINF05
26593 65 MED18
26594 58 MED18
26595 83 IINF04
26596 15 IINF05
26597 9 IINF04
26598 94 AGR03
26599 96 IINF05
26600 79 CHIM02
26601 26 IINF05
26602 20 CHIM02
26603 30 IINF05
26604 44 IINF04
26605 96 AGR03
26606 6 INGIND35
26607 17 AGR03
26608 37 MAT01
26609 11 FIS01
26610 13 IINF05
26611 65 FIS01
26612 63 IINF04
26613 66 IINF05
26614 13 CHIM02
26615 49 CHIM02
26616 98 MAT01
26617 69 INGIND35
26618 75 INGIND35
26619 59 INF01
26620 24 INGIND35
26621 28 CHIM02
26622 15 BIO10
26623 63 IINF04
26624 97 MAT01
26625 50 AGR03
26626 38 CHIM02
26627 38 IINF05
26628 39 BIO10
26629 3 MAT01
26630 4 FIS01
26631 16 AGR03
26632 26 INGIND35
26633 11 CHIM02
26634 93 IINF04
26635 56 FIS01
26636 57 FIS01
26637 9 AGR03
26638 53 INF01
26639 45 IINF04
26640 92 IINF05
26641 98 INF01
26642 7 AGR03
26643 50 IINF04
26644 92 INF01
26645 61 MED18
26646 32 AGR03
26647 82 CHIM02
26648 46 MAT01
26649 16 BIO10
26650 15 BIO10
26651 51 IINF05
26652 10 INF01
26653 29 CHIM02
26654 51 MED18
26655 43 INF01
26656 33 IINF04
26657 87 INGIND35
26658 5 INF01
26659 38 FIS01
26660 76 CHIM02
26661 34 MED18
26662 47 FIS01
26663 31 FIS01
26664 18 AGR03
26665 28 BIO10
26666 98 FIS01
26667 44 FIS01
26668 30 MAT01
26669 81 CHIM02
26670 43 MED18
26671 37 INGIND35
26672 69 FIS01
26673 67 AGR03
26674 68 IINF04
26675 83 FIS01
26676 70 BIO10
26677 40 IINF04
26678 27 INF01
26679 68 AGR03
26680 27 IINF04
26681 90 FIS01
26682 86 MAT01
26683 56 MED18
26684 87 MAT01
26685 46 MED18
26686 18 AGR03
26687 16 IINF04
26688 42 INF01
26689 75 AGR03
26690 10 BIO10
26691 8 FIS01
26692 6 AGR03
26693 86 IINF05
26694 56 BIO10
26695 76 AGR03
26696 76 INF01
26697 56 INGIND35
26698 86 IINF04
26699 90 IINF05
26700 29 INF01
26701 62 CHIM02
26702 75 FIS01
26703 73 CHIM02
26704 63 IINF05
26705 74 INF01
26706 86 INGIND35
26707 77 MAT01
26708 12 IINF04
26709 96 FIS01
26710 57 MED18
26711 57 AGR03
26712 47 IINF05
26713 84 INF01
26714 70 MAT01
26715 65 MED18
26716 96 MAT01
26717 86 IINF04
26718 37 FIS01
26719 90 BIO10
26720 92 AGR03
26721 95 INGIND35
26722 46 INGIND35
26723 41 MAT01
26724 16 FIS01
26725 58 MAT01
26726 90 IINF05
26727 100 INGIND35
26728 90 IINF05
26729 88 AGR03
26730 76 INGIND35
26731 98 AGR03
26732 61 INGIND35
26733 80 FIS01
26734 29 MED18
26735 28 INGIND35
26736 18 INF01
26737 90 INGIND35
26738 40 CHIM02
26739 60 AGR03
26740 26 INGIND35
26741 67 FIS01
26742 34 CHIM02
26743 59 BIO10
26744 73 INF01
26745 33 IINF05
26746 70 AGR03
26747 77 MED18
26748 34 MAT01
26749 74 FIS01
26750 15 CHIM02
26751 65 AGR03
26752 76 MED18
26753 97 INF01
26754 30 AGR03
26755 17 IINF04
26756 4 MED18
26757 75 BIO10
26758 44 AGR03
26759 77 MED18
26760 67 INGIND35
26761 27 MAT01
26762 56 FIS01
26763 61 BIO10
26764 1 CHIM02
26765 58 INF01
26766 44 IINF05
26767 51 IINF04
26768 21 CHIM02
26769 48 MED18
26770 73 MAT01
26771 53 CHIM02
26772 27 MED18
26773 97 AGR03
26774 68 FIS01
26775 12 MAT01
26776 35 BIO10
26777 35 IINF05
26778 52 IINF05
26779 29 INGIND35
26780 79 BIO10
26781 4 MAT01
26782 39 INF01
26783 29 IINF04
26784 40 AGR03
26785 19 MED18
26786 29 AGR03
26787 67 MED18
26788 18 CHIM02
26789 77 MED18
26790 5 IINF05
26791 61 CHIM02
26792 10 IINF04
26793 74 IINF04
26794 40 INF01
26795 97 AGR03
26796 69 MED18
26797 85 CHIM02
26798 38 INGIND35
26799 36 FIS01
26800 16 INF01
26801 48 IINF05
26802 36 INGIND35
26803 17 BIO10
26804 77 IINF04
26805 43 INGIND35
26806 18 BIO10
26807 98 INGIND35
26808 65 FIS01
26809 47 FIS01
26810 12 FIS01
26811 56 IINF04
26812 57 MED18
26813 8 CHIM02
26814 70 IINF04
26815 94 MAT01
26816 97 MED18
26817 73 MAT01
26818 15 BIO10
26819 36 BIO10
26820 95 INF01
26821 21 MAT01
26822 96 INGIND35
26823 19 INF01
26824 13 IINF04
26825 18 MED18
26826 64 AGR03
26827 84 MAT01
26828 20 CHIM02
26829 9 INF01
26830 82 IINF05
26831 26 MED18
26832 67 INF01
26833 99 IINF05
26834 30 MAT01
26835 21 IINF05
26836 51 FIS01
26837 40 IINF04
26838 63 FIS01
26839 76 AGR03
26840 26 FIS01
26841 49 BIO10
26842 58 IINF04
26843 83 BIO10
26844 13 MAT01
26845 65 AGR03
26846 92 IINF04
26847 70 BIO10
26848 89 FIS01
26849 80 AGR03
26850 61 MAT01
26851 15 CHIM02
26852 57 IINF04
26853 47 MAT01
26854 93 INGIND35
26855 87 MAT01
26856 93 BIO10
26857 68 BIO10
26858 82 MED18
26859 6 CHIM02
26860 20 BIO10
26861 8 INF01
26862 35 MED18
26863 36 IINF05
26864 48 FIS01
26865 40 IINF04
26866 100 INF01
26867 30 CHIM02
26868 56 AGR03
26869 2 IINF04
26870 43 AGR03
26871 3 BIO10
26872 90 CHIM02
26873 76 IINF05
26874 39 INGIND35
26875 54 BIO10
26876 88 FIS01
26877 64 IINF05
26878 8 BIO10
26879 62 FIS01
26880 61 BIO10
26881 94 IINF04
26882 13 CHIM02
26883 13 BIO10
26884 77 AGR03
26885 4 MAT01
26886 45 INGIND35
26887 16 CHIM02
26888 2 IINF04
26889 43 CHIM02
26890 62 IINF04
26891 67 MAT01
26892 76 IINF04
26893 67 IINF05
26894 73 BIO10
26895 72 INGIND35
26896 56 INF01
26897 90 IINF05
26898 5 IINF05
26899 83 INGIND35
26900 15 CHIM02
26901 58 INGIND35
26902 5 BIO10
26903 30 INGIND35
26904 70 INGIND35
26905 17 IINF04
26906 41 INF01
26907 91 INF01
26908 57 FIS01
26909 97 AGR03
26910 59 MAT01
26911 96 IINF05
26912 39 CHIM02
26913 88 IINF04
26914 82 MAT01
26915 11 MAT01
26916 12 IINF05
26917 68 FIS01
26918 63 MAT01
26919 91 AGR03
26920 1 MED18
26921 75 IINF04
26922 65 AGR03
26923 4 BIO10
26924 27 MAT01
26925 89 MED18
26926 10 CHIM02
26927 50 AGR03
26928 35 INGIND35
26929 45 CHIM02
26930 11 BIO10
26931 7 MAT01
26932 92 MED18
26933 3 BIO10
26934 59 FIS01
26935 19 BIO10
26936 25 INGIND35
26937 9 MED18
26938 21 MAT01
26939 84 MAT01
26940 60 BIO10
26941 62 INGIND35
26942 69 AGR03
26943 43 INGIND35
26944 89 MED18
26945 63 MED18
26946 100 INGIND35
26947 22 AGR03
26948 44 MAT01
26949 96 IINF05
26950 6 FIS01
26951 40 AGR03
26952 88 IINF05
26953 80 AGR03
26954 19 FIS01
26955 12 FIS01
26956 35 MAT01
26957 72 CHIM02
26958 31 IINF04
26959 64 IINF05
26960 49 AGR03
26961 53 IINF04
26962 15 MAT01
26963 94 AGR03
26964 40 IINF05
26965 22 INF01
26966 72 FIS01
26967 68 AGR03
26968 25 FIS01
26969 4 INF01
26970 40 IINF05
26971 83 IINF04
26972 14 INF01
26973 3 MED18
26974 55 AGR03
26975 79 IINF05
26976 65 MED18
26977 54 MAT01
26978 25 INGIND35
26979 73 FIS01
26980 28 INGIND35
26981 17 INF01
26982 75 MAT01
26983 52 IINF04
26984 63 IINF05
26985 48 BIO10
26986 50 INGIND35
26987 95 AGR03
26988 65 MAT01
26989 23 FIS01
26990 7 BIO10
26991 75 INF01
26992 59 IINF04
26993 24 MED18
26994 38 BIO10
26995 23 FIS01
26996 78 AGR03
26997 18 AGR03
26998 74 BIO10
26999 88 MED18
27000 56 FIS01
27001 73 FIS01
27002 18 INF01
27003 35 MED18
27004 92 MAT01
27005 97 MED18
27006 85 CHIM02
27007 3 FIS01
27008 94 CHIM02
27009 45 IINF05
27010 20 FIS01
27011 61 MAT01
27012 74 AGR03
27013 5 IINF05
27014 3 INF01
27015 6 INGIND35
27016 84 FIS01
27017 12 BIO10
27018 42 IINF05
27019 1 INF01
27020 5 INGIND35
27021 11 FIS01
27022 88 BIO10
27023 20 INF01
27024 52 MED18
27025 19 INF01
27026 81 INF01
27027 51 FIS01
27028 66 MAT01
27029 54 INGIND35
27030 87 INF01
27031 49 IINF05
27032 61 IINF04
27033 95 AGR03
27034 55 MED18
27035 23 CHIM02
27036 51 FIS01
27037 3 IINF04
27038 76 IINF04
27039 2 IINF04
27040 15 INF01
27041 69 FIS01
27042 15 IINF04
27043 10 FIS01
27044 71 IINF04
27045 65 IINF05
27046 52 CHIM02
27047 27 MED18
27048 53 IINF05
27049 86 MAT01
27050 55 MED18
27051 37 MAT01
27052 96 FIS01
27053 66 INF01
27054 7 BIO10
27055 85 INGIND35
27056 55 MAT01
27057 88 MED18
27058 93 MED18
27059 31 MED18
27060 76 CHIM02
27061 16 INGIND35
27062 78 MED18
27063 17 MED18
27064 80 INGIND35
27065 79 MED18
27066 48 MAT01
27067 27 INGIND35
27068 3 MED18
27069 17 MAT01
27070 80 MAT01
27071 95 AGR03
27072 16 MAT01
27073 52 MED18
27074 1 CHIM02
27075 22 MED18
27076 47 INGIND35
27077 48 CHIM02
27078 22 BIO10
27079 84 IINF04
27080 45 AGR03
27081 77 INGIND35
27082 93 INGIND35
27083 26 FIS01
27084 22 CHIM02
27085 16 IINF04
27086 63 AGR03
27087 63 INGIND35
27088 61 AGR03
27089 20 IINF04
27090 15 IINF04
27091 47 MED18
27092 85 IINF05
27093 42 BIO10
27094 72 MED18
27095 90 MAT01
27096 32 INF01
27097 77 INF01
27098 12 CHIM02
27099 66 INF01
27100 90 IINF05
27101 45 INF01
27102 46 INF01
27103 9 CHIM02
27104 51 IINF05
27105 11 CHIM02
27106 5 FIS01
27107 75 IINF05
27108 9 MAT01
27109 22 INGIND35
27110 56 MED18
27111 97 AGR03
27112 68 INGIND35
27113 10 MED18
27114 15 BIO10
27115 47 FIS01
27116 4 INGIND35
27117 38 MAT01
27118 44 MAT01
27119 84 AGR03
27120 12 CHIM02
27121 27 AGR03
27122 15 MED18
27123 27 MAT01
27124 96 INGIND35
27125 88 IINF04
27126 50 MED18
27127 53 INGIND35
27128 35 FIS01
27129 25 MED18
27130 61 MED18
27131 17 IINF05
27132 23 IINF05
27133 71 MAT01
27134 52 INF01
27135 13 FIS01
27136 95 IINF05
27137 14 INF01
27138 86 AGR03
27139 9 IINF04
27140 78 INF01
27141 4 AGR03
27142 91 MAT01
27143 92 INGIND35
27144 77 IINF04
27145 76 AGR03
27146 64 CHIM02
27147 19 INF01
27148 2 FIS01
27149 32 AGR03
27150 15 AGR03
27151 16 INGIND35
27152 77 INGIND35
27153 96 AGR03
27154 43 MED18
27155 95 IINF05
27156 80 FIS01
27157 33 MAT01
27158 64 INF01
27159 57 IINF05
27160 80 IINF05
27161 46 AGR03
27162 89 IINF05
27163 29 FIS01
27164 67 INGIND35
27165 32 IINF05
27166 42 INGIND35
27167 77 FIS01
27168 98 BIO10
27169 51 IINF05
27170 56 IINF04
27171 17 INF01
27172 99 IINF05
27173 9 IINF04
27174 43 MAT01
27175 84 CHIM02
27176 58 MAT01
27177 66 INF01
27178 26 BIO10
27179 78 INGIND35
27180 11 AGR03
27181 32 MED18
27182 35 IINF05
27183 25 AGR03
27184 95 FIS01
27185 16 INF01
27186 68 AGR03
27187 95 CHIM02
27188 58 INGIND35
27189 95 BIO10
27190 2 MED18
27191 97 IINF04
27192 23 IINF05
27193 78 BIO10
27194 25 AGR03
27195 75 INGIND35
27196 22 CHIM02
27197 17 INGIND35
27198 8 MED18
27199 46 CHIM02
27200 62 BIO10
27201 82 MED18
27202 28 CHIM02
27203 18 INGIND35
27204 13 IINF04
27205 76 CHIM02
27206 66 AGR03
27207 58 AGR03
27208 24 BIO10
27209 30 IINF04
27210 3 BIO10
27211 57 MAT01
27212 60 MED18
27213 50 IINF04
27214 49 AGR03
27215 10 FIS01
27216 67 BIO10
27217 11 MED18
27218 64 FIS01
27219 37 INGIND35
27220 45 IINF05
27221 13 MED18
27222 89 MAT01
27223 24 INGIND35
27224 26 IINF04
27225 67 INF01
27226 16 IINF05
27227 74 MED18
27228 12 MED18
27229 61 AGR03
27230 67 IINF04
27231 14 MAT01
27232 31 FIS01
27233 73 FIS01
27234 52 IINF05
27235 45 MED18
27236 30 CHIM02
27237 8 INGIND35
27238 76 IINF04
27239 62 CHIM02
27240 14 IINF04
27241 78 MED18
27242 28 MAT01
27243 22 IINF05
27244 27 IINF04
27245 73 IINF05
27246 19 INF01
27247 99 CHIM02
27248 39 BIO10
27249 78 IINF04
27250 44 MAT01
27251 49 IINF04
27252 61 FIS01
27253 24 INF01
