10000 INGIND35 50
52947 77 MED18
52948 32 INF01
52949 80 MAT01
52950 65 INGIND35
52951 43 BIO10
52952 13 AGR03
52953 63 CHIM02
52954 1 CHIM02
52955 53 BIO10
52956 61 IINF05
52957 36 IINF04
52958 3 FIS01
52959 13 AGR03
52960 100 MAT01
52961 20 INGIND35
52962 75 BIO10
52963 6 MED18
52964 70 BIO10
52965 69 BIO10
52966 76 IINF04
52967 17 CHIM02
52968 65 MAT01
52969 94 CHIM02
52970 87 FIS01
52971 29 MED18
52972 7 IINF05
52973 92 BIO10
52974 43 MED18
52975 87 FIS01
52976 37 IINF04
52977 7 FIS01
52978 43 INF01
52979 11 FIS01
52980 89 BIO10
52981 69 INGIND35
52982 66 IINF05
52983 34 INGIND35
52984 64 IINF04
52985 84 INGIND35
52986 57 INGIND35
52987 54 BIO10
52988 62 MED18
52989 80 IINF04
52990 8 CHIM02
52991 20 INGIND35
52992 59 INF01
52993 38 CHIM02
52994 15 INF01
52995 53 IINF05
52996 49 IINF05
52997 32 BIO10
52998 15 MAT01
52999 31 IINF05
53000 98 INGIND35
53001 20 FIS01
53002 86 INGIND35
53003 64 IINF04
53004 4 IINF04
53005 2 FIS01
53006 100 IINF04
53007 57 FIS01
53008 6 IINF05
53009 59 MAT01
53010 79 MAT01
53011 5 CHIM02
53012 88 IINF05
53013 52 FIS01
53014 5 MAT01
53015 99 MAT01
53016 74 AGR03
53017 61 FIS01
53018 24 FIS01
53019 29 INGIND35
53020 12 INGIND35
53021 57 FIS01
53022 69 MED18
53023 58 IINF05
53024 74 CHIM02
53025 11 IINF04
53026 80 AGR03
53027 56 BIO10
53028 62 INF01
53029 47 INGIND35
53030 4 MAT01
53031 82 INF01
53032 99 INGIND35
53033 22 INF01
53034 55 FIS01
53035 70 FIS01
53036 70 INF01
53037 58 CHIM02
53038 46 INF01
53039 16 IINF04
53040 71 AGR03
53041 58 MED18
53042 81 IINF04
53043 33 MED18
53044 13 IINF05
53045 46 INGIND35
53046 93 AGR03
53047 48 AGR03
53048 85 FIS01
53049 28 IINF05
53050 4 AGR03
53051 94 IINF05
53052 9 MAT01
53053 44 MED18
53054 71 FIS01
53055 16 BIO10
53056 53 INGIND35
53057 68 INGIND35
53058 35 FIS01
53059 26 INF01
53060 95 IINF04
53061 17 AGR03
53062 2 MAT01
53063 31 MAT01
53064 19 FIS01
53065 59 FIS01
53066 12 INF01
53067 41 BIO10
53068 47 IINF05
53069 7 IINF04
53070 56 IINF04
53071 9 MAT01
53072 70 IINF04
53073 83 CHIM02
53074 96 AGR03
53075 62 AGR03
53076 7 INGIND35
53077 49 AGR03
53078 46 MED18
53079 81 MAT01
53080 10 BIO10
53081 39 INGIND35
53082 95 INF01
53083 87 MED18
53084 75 FIS01
53085 16 BIO10
53086 71 INGIND35
53087 78 BIO10
53088 41 BIO10
53089 88 AGR03
53090 34 MAT01
53091 91 BIO10
53092 89 FIS01
53093 78 IINF05
53094 12 INF01
53095 54 MED18
53096 5 INF01
53097 11 CHIM02
53098 1 MAT01
53099 45 MED18
53100 6 IINF04
53101 99 IINF04
53102 46 INF01
53103 62 MED18
53104 7 IINF04
53105 88 MED18
53106 42 BIO10
53107 97 AGR03
53108 35 INGIND35
53109 6 CHIM02
53110 53 AGR03
53111 53 CHIM02
53112 24 BIO10
53113 55 IINF05
53114 9 INGIND35
53115 73 BIO10
53116 84 IINF04
53117 79 FIS01
53118 98 FIS01
53119 8 BIO10
53120 51 AGR03
53121 5 INF01
53122 75 IINF05
53123 25 IINF05
53124 81 MAT01
53125 80 BIO10
53126 95 CHIM02
53127 84 BIO10
53128 5 IINF05
53129 75 MAT01
53130 17 MED18
53131 17 FIS01
53132 41 INGIND35
53133 26 MAT01
53134 18 FIS01
53135 99 BIO10
53136 3 FIS01
53137 68 INGIND35
53138 53 IINF05
53139 11 BIO10
53140 66 INF01
53141 7 IINF04
53142 76 MED18
53143 95 IINF05
53144 65 AGR03
53145 88 IINF05
53146 29 CHIM02
53147 5 BIO10
53148 22 MED18
53149 65 AGR03
53150 68 MED18
53151 32 INF01
53152 46 IINF05
53153 59 AGR03
53154 47 AGR03
53155 63 INF01
53156 35 FIS01
53157 87 IINF05
53158 14 MED18
53159 72 IINF04
53160 28 FIS01
53161 6 MAT01
53162 26 AGR03
53163 33 FIS01
53164 60 INF01
53165 18 MED18
53166 3 MAT01
53167 64 CHIM02
53168 77 INF01
53169 58 INGIND35
53170 71 INGIND35
53171 24 FIS01
53172 9 BIO10
53173 35 AGR03
53174 4 FIS01
53175 4 INGIND35
53176 8 FIS01
53177 88 IINF05
53178 24 INF01
53179 85 MED18
53180 66 INF01
53181 76 INF01
53182 71 FIS01
53183 64 FIS01
53184 12 BIO10
53185 63 INGIND35
53186 36 INGIND35
53187 44 CHIM02
53188 93 INGIND35
53189 31 AGR03
53190 13 INGIND35
53191 62 INGIND35
53192 3 CHIM02
53193 94 BIO10
53194 78 BIO10
53195 6 CHIM02
53196 16 MAT01
53197 94 BIO10
53198 31 CHIM02
53199 98 INGIND35
53200 78 BIO10
53201 40 CHIM02
53202 80 BIO10
53203 12 AGR03
53204 33 MAT01
53205 95 AGR03
53206 50 INGIND35
53207 44 INGIND35
53208 30 IINF04
53209 93 FIS01
53210 36 IINF05
53211 10 IINF04
53212 24 MAT01
53213 18 CHIM02
53214 98 CHIM02
53215 50 AGR03
53216 41 IINF05
53217 63 FIS01
53218 36 IINF05
53219 6 IINF05
53220 32 MED18
53221 13 MAT01
53222 48 INF01
53223 48 BIO10
53224 53 AGR03
53225 89 CHIM02
53226 61 INGIND35
53227 17 MED18
53228 39 AGR03
53229 30 FIS01
53230 47 MED18
53231 19 BIO10
53232 57 MED18
53233 97 MED18
53234 10 MAT01
53235 16 INF01
53236 79 IINF05
53237 27 MED18
53238 20 INGIND35
53239 42 MED18
53240 51 BIO10
53241 20 IINF05
53242 50 IINF05
53243 13 IINF05
53244 52 BIO10
53245 82 MED18
53246 43 CHIM02
53247 63 MED18
53248 3 BIO10
53249 66 INGIND35
53250 72 BIO10
53251 4 INGIND35
53252 31 MAT01
53253 41 INGIND35
53254 52 IINF05
53255 86 IINF05
53256 68 INGIND35
53257 91 MAT01
53258 51 INGIND35
53259 3 IINF04
53260 6 BIO10
53261 83 IINF04
53262 40 CHIM02
53263 24 FIS01
53264 76 MED18
53265 59 INF01
53266 33 FIS01
53267 5 MED18
53268 39 FIS01
53269 35 IINF04
53270 60 INF01
53271 95 AGR03
53272 72 BIO10
53273 42 FIS01
53274 51 CHIM02
53275 50 MAT01
53276 98 FIS01
53277 95 INF01
53278 15 FIS01
53279 11 AGR03
53280 43 MAT01
53281 72 INF01
53282 76 IINF04
53283 7 IINF05
53284 13 INGIND35
53285 21 CHIM02
53286 95 BIO10
53287 99 AGR03
53288 56 AGR03
53289 42 MAT01
53290 29 CHIM02
53291 99 IINF05
53292 5 FIS01
53293 83 MED18
53294 44 INF01
53295 58 FIS01
53296 82 INF01
53297 73 BIO10
53298 43 MED18
53299 79 IINF05
53300 59 BIO10
53301 66 IINF04
53302 8 AGR03
53303 91 FIS01
53304 24 INF01
53305 86 BIO10
53306 59 INGIND35
53307 18 IINF04
53308 43 MAT01
53309 45 AGR03
53310 28 CHIM02
53311 92 MED18
53312 41 MAT01
53313 53 IINF05
53314 81 CHIM02
53315 44 INGIND35
53316 28 IINF05
53317 80 AGR03
53318 88 INGIND35
53319 48 MED18
53320 9 IINF04
53321 12 FIS01
53322 70 MAT01
53323 8 INGIND35
53324 72 IINF04
53325 84 AGR03
53326 97 IINF05
53327 7 INF01
53328 92 INGIND35
53329 70 MAT01
53330 36 IINF05
53331 25 INGIND35
53332 7 CHIM02
53333 98 BIO10
53334 11 IINF05
53335 86 INF01
53336 47 CHIM02
53337 38 MED18
53338 53 FIS01
53339 83 BIO10
53340 36 BIO10
53341 20 MAT01
53342 77 IINF04
53343 8 MAT01
53344 71 INF01
53345 96 BIO10
53346 35 INF01
53347 15 IINF05
53348 42 IINF04
53349 86 CHIM02
53350 79 MED18
53351 56 MED18
53352 46 MED18
53353 25 AGR03
53354 68 IINF04
53355 31 BIO10
53356 73 INGIND35
53357 53 IINF04
53358 83 INGIND35
53359 26 AGR03
53360 84 IINF04
53361 37 IINF04
53362 44 INGIND35
53363 15 IINF04
53364 10 INGIND35
53365 59 INGIND35
53366 26 AGR03
53367 27 AGR03
53368 62 FIS01
53369 45 MAT01
53370 33 AGR03
53371 17 FIS01
53372 6 FIS01
53373 23 AGR03
53374 18 MAT01
53375 44 INF01
53376 49 INF01
53377 38 AGR03
53378 19 MAT01
53379 43 IINF04
53380 37 CHIM02
53381 1 FIS01
53382 98 BIO10
53383 20 INGIND35
53384 82 INF01
53385 18 IINF05
53386 80 INF01
53387 60 IINF04
53388 37 IINF04
53389 8 IINF04
53390 25 IINF05
53391 31 IINF04
53392 1 CHIM02
53393 2 MAT01
53394 43 INGIND35
53395 37 IINF05
53396 39 BIO10
53397 6 IINF04
53398 46 IINF04
53399 50 FIS01
53400 87 INF01
53401 38 CHIM02
53402 31 IINF04
53403 92 INGIND35
53404 71 BIO10
53405 53 MED18
53406 97 FIS01
53407 53 INGIND35
53408 7 INGIND35
53409 2 INF01
53410 12 BIO10
53411 87 BIO10
53412 39 MED18
53413 31 CHIM02
53414 61 INF01
53415 19 CHIM02
53416 86 AGR03
53417 67 IINF04
53418 57 IINF05
53419 15 MED18
53420 72 MAT01
53421 76 INF01
53422 40 FIS01
53423 9 BIO10
53424 13 INGIND35
53425 14 AGR03
53426 42 MAT01
53427 70 FIS01
53428 33 CHIM02
53429 47 AGR03
53430 76 FIS01
53431 34 BIO10
53432 16 MAT01
53433 64 AGR03
53434 84 IINF04
53435 40 INF01
53436 35 MAT01
53437 9 MED18
53438 11 IINF05
53439 86 MAT01
53440 38 BIO10
53441 7 BIO10
53442 27 CHIM02
53443 40 CHIM02
53444 47 IINF04
53445 53 AGR03
53446 23 AGR03
53447 4 IINF04
53448 56 MED18
53449 96 MAT01
53450 23 AGR03
53451 44 CHIM02
53452 26 MED18
53453 53 INF01
53454 38 INGIND35
53455 30 MAT01
53456 79 BIO10
53457 93 BIO10
53458 89 CHIM02
53459 16 AGR03
53460 82 INF01
53461 57 CHIM02
53462 32 MAT01
53463 80 AGR03
53464 80 INGIND35
53465 53 IINF04
53466 91 MED18
53467 49 INGIND35
53468 44 AGR03
53469 12 IINF05
53470 8 BIO10
53471 25 FIS01
53472 70 INGIND35
53473 6 MAT01
53474 81 MED18
53475 79 IINF05
53476 38 IINF04
53477 90 IINF05
53478 81 MED18
53479 87 FIS01
53480 18 MED18
53481 42 IINF05
53482 42 AGR03
53483 27 AGR03
53484 65 FIS01
53485 10 FIS01
53486 95 FIS01
53487 10 FIS01
53488 15 INGIND35
53489 56 AGR03
53490 65 CHIM02
53491 43 AGR03
53492 34 INGIND35
53493 41 MED18
53494 48 INF01
53495 70 BIO10
53496 56 BIO10
53497 49 INGIND35
53498 17 AGR03
53499 94 MAT01
53500 21 IINF04
53501 5 MED18
53502 6 BIO10
53503 88 FIS01
53504 67 IINF05
53505 31 MED18
53506 16 MAT01
53507 28 INF01
53508 87 IINF05
53509 33 MAT01
53510 60 CHIM02
53511 77 IINF04
53512 8 IINF04
53513 60 MED18
53514 92 IINF04
53515 21 IINF05
53516 71 BIO10
53517 9 MED18
53518 31 IINF04
53519 52 CHIM02
53520 25 IINF05
53521 76 FIS01
53522 53 MED18
53523 64 IINF04
53524 80 AGR03
53525 31 INGIND35
53526 5 FIS01
53527 71 AGR03
53528 77 BIO10
53529 81 INGIND35
53530 56 FIS01
53531 8 MED18
53532 83 FIS01
53533 93 BIO10
53534 99 INF01
53535 56 INF01
53536 38 FIS01
53537 83 MAT01
53538 78 MED18
53539 94 IINF05
53540 40 MED18
53541 27 CHIM02
53542 90 MAT01
53543 96 AGR03
53544 1 INF01
53545 35 CHIM02
53546 98 BIO10
53547 39 AGR03
53548 42 BIO10
53549 45 MAT01
53550 26 INF01
53551 69 INF01
53552 70 FIS01
53553 53 FIS01
53554 21 CHIM02
53555 72 FIS01
53556 9 MED18
53557 9 MED18
53558 39 FIS01
53559 5 AGR03
53560 5 MAT01
53561 14 AGR03
53562 63 IINF04
53563 92 BIO10
53564 23 INGIND35
53565 31 INGIND35
53566 8 AGR03
53567 37 INGIND35
53568 52 BIO10
53569 20 IINF04
53570 74 MED18
53571 23 CHIM02
53572 18 FIS01
53573 41 IINF04
53574 97 IINF05
53575 48 INF01
53576 39 BIO10
53577 77 BIO10
53578 95 INGIND35
53579 26 IINF04
53580 76 AGR03
53581 4 CHIM02
53582 80 BIO10
53583 37 IINF05
53584 93 INF01
53585 33 MAT01
53586 4 INF01
53587 52 AGR03
53588 99 AGR03
53589 37 INGIND35
53590 99 FIS01
53591 13 IINF04
53592 19 CHIM02
53593 43 IINF05
53594 8 FIS01
53595 45 BIO10
53596 59 CHIM02
53597 52 BIO10
53598 37 IINF04
53599 26 FIS01
53600 76 CHIM02
53601 26 IINF04
53602 11 MAT01
53603 76 CHIM02
53604 91 CHIM02
53605 78 INF01
53606 12 IINF04
53607 37 CHIM02
53608 89 BIO10
53609 87 INF01
53610 92 INF01
53611 55 IINF05
53612 62 CHIM02
53613 48 FIS01
53614 32 INF01
53615 48 AGR03
53616 26 MED18
53617 68 MED18
53618 80 BIO10
53619 37 IINF05
53620 75 MAT01
53621 21 FIS01
53622 57 FIS01
53623 14 MAT01
53624 23 IINF05
53625 44 INGIND35
53626 64 FIS01
53627 18 BIO10
53628 41 INF01
53629 59 IINF04
53630 4 MAT01
53631 80 CHIM02
53632 13 FIS01
53633 54 IINF04
53634 70 IINF04
53635 73 IINF05
53636 50 AGR03
53637 63 IINF04
53638 100 INGIND35
53639 88 MAT01
53640 91 INGIND35
53641 43 INGIND35
53642 31 AGR03
53643 16 CHIM02
53644 39 IINF05
53645 94 AGR03
53646 28 INGIND35
53647 19 IINF05
53648 43 CHIM02
53649 69 INGIND35
53650 18 INGIND35
53651 17 BIO10
53652 6 IINF05
53653 16 INGIND35
53654 26 INF01
53655 87 CHIM02
53656 24 INGIND35
53657 81 MED18
53658 67 MED18
53659 52 IINF05
53660 56 INF01
53661 87 MED18
53662 29 MAT01
53663 2 FIS01
53664 38 MAT01
53665 98 MAT01
53666 31 MED18
53667 48 INGIND35
53668 9 FIS01
53669 7 CHIM02
53670 39 IINF05
53671 11 CHIM02
53672 10 FIS01
53673 46 INGIND35
53674 75 IINF04
53675 23 INGIND35
53676 74 IINF04
53677 71 MED18
53678 54 MED18
53679 79 MAT01
53680 95 BIO10
53681 11 AGR03
53682 20 IINF04
53683 42 CHIM02
53684 81 BIO10
53685 83 IINF05
53686 38 IINF04
53687 15 FIS01
53688 20 IINF05
53689 61 IINF05
53690 84 MED18
53691 25 MAT01
53692 42 MED18
53693 95 MED18
53694 98 BIO10
53695 72 INGIND35
53696 37 BIO10
53697 77 INF01
53698 6 AGR03
53699 6 MAT01
53700 80 BIO10
53701 60 IINF05
53702 17 INF01
53703 16 CHIM02
53704 33 BIO10
53705 9 CHIM02
53706 42 IINF05
53707 96 AGR03
53708 98 IINF04
53709 89 IINF05
53710 36 MED18
53711 69 IINF05
53712 70 MAT01
53713 13 INF01
53714 17 IINF05
53715 31 INGIND35
53716 63 AGR03
53717 75 IINF05
53718 21 IINF04
53719 31 MED18
53720 69 FIS01
53721 97 MED18
53722 99 MAT01
53723 90 AGR03
53724 85 MAT01
53725 82 IINF04
53726 78 MED18
53727 45 IINF05
53728 31 IINF05
53729 7 IINF04
53730 29 FIS01
53731 41 CHIM02
53732 97 AGR03
53733 80 IINF05
53734 8 IINF05
53735 6 FIS01
53736 59 MED18
53737 9 IINF05
53738 97 AGR03
53739 72 BIO10
53740 53 MED18
53741 24 IINF04
53742 89 MAT01
53743 38 BIO10
53744 65 FIS01
53745 15 FIS01
53746 98 CHIM02
53747 97 INGIND35
53748 79 MAT01
53749 73 MAT01
53750 70 AGR03
53751 29 MED18
53752 1 MED18
53753 5 IINF05
53754 87 AGR03
53755 75 IINF05
53756 100 MAT01
53757 88 INGIND35
53758 4 BIO10
53759 24 INF01
53760 77 IINF05
53761 21 FIS01
53762 55 INF01
53763 40 AGR03
53764 50 BIO10
53765 60 MED18
53766 30 IINF04
53767 40 AGR03
53768 43 IINF05
53769 4 CHIM02
53770 24 INGIND35
53771 12 INGIND35
53772 72 CHIM02
53773 78 MAT01
53774 19 CHIM02
53775 31 IINF04
53776 31 BIO10
53777 52 IINF04
53778 22 MAT01
53779 88 MAT01
53780 98 FIS01
53781 14 MED18
53782 93 IINF04
