5000 INGIND35 100
80706 30 FIS01
80707 34 AGR03
80708 58 AGR03
80709 61 BIO10
80710 31 MAT01
80711 27 INF01
80712 21 FIS01
80713 85 FIS01
80714 30 INF01
80715 88 FIS01
80716 83 INGIND35
80717 21 FIS01
80718 93 BIO10
80719 54 CHIM02
80720 49 CHIM02
80721 41 CHIM02
80722 13 IINF04
80723 36 AGR03
80724 36 CHIM02
80725 13 FIS01
80726 54 IINF04
80727 80 INF01
80728 60 INF01
80729 89 IINF05
80730 2 IINF04
80731 66 BIO10
80732 66 CHIM02
80733 27 INF01
80734 91 CHIM02
80735 84 BIO10
80736 27 INGIND35
80737 14 IINF05
80738 62 CHIM02
80739 21 BIO10
80740 92 IINF04
80741 80 INGIND35
80742 78 MAT01
80743 12 INF01
80744 64 IINF05
80745 18 AGR03
80746 75 MAT01
80747 14 CHIM02
80748 50 AGR03
80749 69 CHIM02
80750 88 FIS01
80751 50 MED18
80752 19 FIS01
80753 32 AGR03
80754 41 INGIND35
80755 2 INF01
80756 80 MAT01
80757 47 INF01
80758 20 IINF05
80759 62 BIO10
80760 58 INGIND35
80761 31 BIO10
80762 62 IINF05
80763 63 INGIND35
80764 74 IINF05
80765 4 CHIM02
80766 98 INF01
80767 8 BIO10
80768 17 MAT01
80769 20 MAT01
80770 57 INGIND35
80771 88 AGR03
80772 68 AGR03
80773 58 MAT01
80774 59 BIO10
80775 23 BIO10
80776 38 INGIND35
80777 31 INF01
80778 6 FIS01
80779 61 MAT01
80780 50 IINF04
80781 96 IINF05
80782 14 INGIND35
80783 13 MAT01
80784 38 CHIM02
80785 18 MAT01
80786 60 INF01
80787 1 IINF05
80788 1 FIS01
80789 21 BIO10
80790 14 INF01
80791 10 IINF04
80792 79 INGIND35
80793 97 AGR03
80794 1 FIS01
80795 73 INF01
80796 52 MAT01
80797 93 INF01
80798 7 MAT01
80799 96 CHIM02
80800 83 MED18
80801 63 INGIND35
80802 70 MED18
80803 84 IINF05
80804 59 AGR03
80805 90 FIS01
80806 4 MED18
80807 41 INGIND35
80808 14 INF01
80809 94 AGR03
80810 26 INGIND35
80811 35 MED18
80812 13 IINF04
80813 53 FIS01
80814 14 FIS01
80815 26 INGIND35
80816 67 IINF05
80817 21 IINF05
80818 77 INGIND35
80819 16 FIS01
80820 46 IINF05
80821 11 IINF05
80822 96 INGIND35
80823 98 BIO10
80824 46 MED18
80825 3 IINF05
80826 20 INGIND35
80827 100 MAT01
80828 46 BIO10
80829 49 MAT01
80830 29 AGR03
80831 96 AGR03
80832 71 IINF05
80833 66 MAT01
80834 17 FIS01
80835 84 INF01
80836 40 INGIND35
80837 75 CHIM02
80838 41 INGIND35
80839 78 BIO10
80840 72 BIO10
80841 89 INF01
80842 49 MED18
80843 83 AGR03
80844 67 AGR03
80845 16 IINF05
80846 35 IINF05
80847 87 BIO10
80848 19 IINF05
80849 73 MAT01
80850 52 INF01
80851 21 INF01
80852 13 MAT01
80853 97 CHIM02
80854 91 INF01
80855 39 CHIM02
80856 95 FIS01
80857 99 IINF05
80858 97 IINF05
80859 55 INGIND35
80860 61 MED18
80861 78 CHIM02
80862 5 MED18
80863 35 FIS01
80864 90 BIO10
80865 64 FIS01
80866 48 FIS01
80867 23 CHIM02
80868 17 MAT01
80869 71 INF01
80870 41 AGR03
80871 10 IINF04
80872 73 MAT01
80873 93 IINF04
80874 74 IINF04
80875 94 INF01
80876 98 INF01
80877 93 BIO10
80878 84 IINF05
80879 2 INGIND35
80880 93 MAT01
80881 68 FIS01
80882 59 MAT01
80883 60 IINF05
80884 50 INGIND35
80885 32 IINF04
80886 62 IINF05
80887 62 AGR03
80888 41 BIO10
80889 25 IINF04
80890 62 CHIM02
80891 93 CHIM02
80892 47 INF01
80893 73 IINF04
80894 1 BIO10
80895 76 INF01
80896 72 IINF04
80897 12 INGIND35
80898 70 AGR03
80899 71 BIO10
80900 100 MAT01
80901 88 MED18
80902 43 MAT01
80903 26 AGR03
80904 28 BIO10
80905 43 MED18
80906 5 INGIND35
80907 32 INF01
80908 12 IINF05
80909 25 INF01
80910 5 BIO10
80911 76 IINF05
80912 32 IINF05
80913 8 INGIND35
80914 54 MED18
80915 46 BIO10
80916 77 INF01
80917 61 CHIM02
80918 90 CHIM02
80919 36 MED18
80920 68 IINF04
80921 48 MED18
80922 47 MED18
80923 73 IINF05
80924 55 CHIM02
80925 66 CHIM02
80926 24 IINF05
80927 50 MAT01
80928 38 IINF04
80929 40 AGR03
80930 90 MED18
80931 25 IINF04
80932 33 IINF04
80933 17 INGIND35
80934 19 INGIND35
80935 45 IINF04
80936 9 MED18
80937 76 BIO10
80938 74 MAT01
80939 34 BIO10
80940 40 AGR03
80941 23 INGIND35
80942 92 IINF05
80943 83 CHIM02
80944 35 INF01
80945 59 FIS01
80946 70 CHIM02
80947 47 IINF04
80948 53 AGR03
80949 35 MAT01
80950 67 FIS01
80951 2 CHIM02
80952 30 IINF04
80953 38 MAT01
80954 51 IINF05
80955 22 FIS01
80956 51 INF01
80957 74 CHIM02
80958 73 FIS01
80959 59 CHIM02
80960 78 IINF04
80961 49 CHIM02
80962 39 MED18
80963 66 CHIM02
80964 66 IINF05
80965 28 MED18
80966 80 IINF04
80967 38 IINF05
80968 94 IINF05
80969 65 IINF04
80970 30 INF01
80971 7 INF01
80972 81 AGR03
80973 99 IINF05
80974 22 MAT01
80975 63 CHIM02
80976 75 FIS01
80977 78 INF01
80978 64 INF01
80979 45 INF01
80980 91 FIS01
80981 6 IINF05
80982 18 AGR03
80983 30 INF01
80984 47 AGR03
80985 84 AGR03
80986 49 CHIM02
80987 90 IINF05
80988 24 AGR03
80989 2 MED18
80990 89 IINF04
80991 50 BIO10
80992 14 INF01
80993 35 FIS01
80994 53 AGR03
80995 62 INF01
80996 82 IINF05
80997 65 FIS01
80998 25 MAT01
80999 4 AGR03
81000 7 AGR03
81001 93 BIO10
81002 79 IINF05
81003 61 MED18
81004 13 MED18
81005 76 IINF04
81006 28 BIO10
81007 46 AGR03
81008 69 MAT01
81009 45 CHIM02
81010 20 MED18
81011 94 IINF04
81012 99 INF01
81013 34 INGIND35
81014 97 IINF04
81015 62 INF01
81016 4 IINF04
81017 99 IINF04
81018 91 MED18
81019 2 IINF05
81020 26 AGR03
81021 63 INF01
81022 49 INGIND35
81023 24 INGIND35
81024 81 INGIND35
81025 43 AGR03
81026 55 AGR03
81027 65 INF01
81028 90 INGIND35
81029 64 IINF04
81030 17 IINF05
81031 59 MED18
81032 11 MAT01
81033 87 INGIND35
81034 88 IINF04
81035 56 AGR03
81036 78 INF01
81037 83 CHIM02
81038 86 CHIM02
81039 32 INF01
81040 99 AGR03
81041 30 IINF04
81042 40 IINF05
81043 3 IINF04
81044 5 INGIND35
81045 88 BIO10
81046 94 INF01
81047 29 MED18
81048 97 FIS01
81049 22 INF01
81050 79 IINF05
81051 46 IINF04
81052 93 INGIND35
81053 6 IINF04
81054 10 MAT01
81055 20 IINF04
81056 56 MED18
81057 30 MED18
81058 80 FIS01
81059 84 IINF04
81060 12 INGIND35
81061 59 AGR03
81062 53 IINF05
81063 100 CHIM02
81064 18 CHIM02
81065 56 IINF05
81066 8 AGR03
81067 8 IINF04
81068 10 IINF04
81069 3 CHIM02
81070 76 IINF05
81071 8 CHIM02
81072 23 CHIM02
81073 99 INGIND35
81074 58 MAT01
81075 4 CHIM02
81076 52 IINF04
81077 24 AGR03
81078 30 BIO10
81079 36 IINF04
81080 57 CHIM02
81081 26 MED18
81082 86 BIO10
81083 65 IINF05
81084 46 FIS01
81085 83 BIO10
81086 62 INF01
81087 39 CHIM02
81088 8 FIS01
81089 62 FIS01
81090 37 AGR03
81091 79 IINF05
81092 10 INGIND35
81093 48 MED18
81094 85 INF01
81095 44 CHIM02
81096 22 MAT01
81097 77 MAT01
81098 38 IINF05
81099 61 CHIM02
81100 49 CHIM02
81101 30 FIS01
81102 39 MED18
81103 62 IINF04
81104 44 FIS01
81105 23 FIS01
81106 4 INF01
81107 53 FIS01
81108 74 INF01
81109 20 CHIM02
81110 87 IINF05
81111 38 BIO10
81112 91 CHIM02
81113 76 MAT01
81114 59 FIS01
81115 95 INGIND35
81116 30 INF01
81117 63 INGIND35
81118 16 INGIND35
81119 1 IINF05
81120 4 INGIND35
81121 71 MAT01
81122 57 INGIND35
81123 77 MED18
81124 24 IINF04
81125 61 FIS01
81126 47 MAT01
81127 21 FIS01
81128 11 MAT01
81129 1 INF01
81130 75 CHIM02
81131 58 IINF05
81132 23 BIO10
81133 41 BIO10
81134 34 IINF05
81135 2 IINF05
81136 97 CHIM02
81137 26 INF01
81138 86 MAT01
81139 29 MED18
81140 94 FIS01
81141 45 BIO10
81142 32 FIS01
81143 93 IINF05
81144 88 MAT01
81145 52 MED18
81146 49 IINF05
81147 38 FIS01
81148 31 MED18
81149 2 MAT01
81150 4 CHIM02
81151 36 CHIM02
81152 18 IINF05
81153 98 MED18
81154 100 BIO10
81155 12 MED18
81156 100 IINF04
81157 73 MED18
81158 62 CHIM02
81159 16 INF01
81160 36 INF01
81161 58 CHIM02
81162 36 BIO10
81163 80 INF01
81164 29 MAT01
81165 73 BIO10
81166 60 IINF05
81167 47 AGR03
81168 88 MAT01
81169 92 MED18
81170 62 IINF04
81171 58 INF01
81172 12 MAT01
81173 95 INGIND35
81174 23 INGIND35
81175 62 INGIND35
81176 34 BIO10
81177 33 IINF04
81178 25 IINF04
81179 17 INGIND35
81180 6 FIS01
81181 10 IINF05
81182 25 MAT01
81183 24 AGR03
81184 9 INF01
81185 27 MAT01
81186 86 AGR03
81187 52 BIO10
81188 8 INF01
81189 60 CHIM02
81190 69 BIO10
81191 81 INGIND35
81192 67 MED18
81193 20 IINF05
81194 83 IINF05
81195 82 INGIND35
81196 57 AGR03
81197 56 IINF05
81198 56 MED18
81199 100 INF01
81200 21 IINF04
81201 67 IINF05
81202 5 AGR03
81203 88 CHIM02
81204 18 IINF04
81205 36 CHIM02
81206 41 FIS01
81207 15 INGIND35
81208 85 BIO10
81209 94 IINF05
81210 73 MAT01
81211 65 MED18
81212 99 INF01
81213 67 FIS01
81214 43 CHIM02
81215 81 CHIM02
81216 1 FIS01
81217 4 CHIM02
81218 84 IINF04
81219 23 FIS01
81220 7 IINF04
81221 2 MED18
81222 34 AGR03
81223 17 CHIM02
81224 81 IINF04
81225 18 AGR03
81226 47 FIS01
81227 22 MAT01
81228 71 CHIM02
81229 99 INF01
81230 70 IINF04
81231 63 AGR03
81232 53 BIO10
81233 45 IINF04
81234 64 IINF05
81235 44 INGIND35
81236 11 CHIM02
81237 12 INF01
81238 17 INGIND35
81239 81 MAT01
81240 48 BIO10
81241 56 INF01
81242 76 FIS01
81243 1 AGR03
81244 72 AGR03
81245 91 CHIM02
81246 20 BIO10
81247 97 INGIND35
81248 61 MAT01
81249 85 FIS01
81250 78 CHIM02
81251 21 IINF05
81252 22 MAT01
81253 5 IINF04
81254 98 MED18
81255 92 IINF04
81256 26 INGIND35
81257 68 MAT01
81258 35 AGR03
81259 13 IINF04
81260 1 MAT01
81261 78 AGR03
81262 63 BIO10
81263 27 AGR03
81264 4 IINF04
81265 74 MED18
81266 69 IINF05
81267 25 MAT01
81268 72 AGR03
81269 9 INF01
81270 68 INF01
81271 11 FIS01
81272 19 FIS01
81273 27 BIO10
81274 64 INF01
81275 36 AGR03
81276 57 BIO10
81277 32 INF01
81278 33 IINF04
81279 68 INGIND35
81280 28 BIO10
81281 92 INF01
81282 80 MAT01
81283 85 FIS01
81284 34 MAT01
81285 5 INGIND35
81286 30 AGR03
81287 89 FIS01
81288 39 IINF04
81289 73 IINF05
81290 97 FIS01
81291 75 BIO10
81292 91 AGR03
81293 58 IINF04
81294 59 INGIND35
81295 40 CHIM02
81296 17 INGIND35
81297 88 BIO10
81298 50 INGIND35
81299 11 CHIM02
81300 77 INGIND35
81301 25 AGR03
81302 32 IINF04
81303 60 CHIM02
81304 21 CHIM02
81305 83 IINF05
81306 8 AGR03
81307 55 IINF04
81308 48 INGIND35
81309 96 CHIM02
81310 4 IINF05
81311 8 IINF05
81312 9 MED18
81313 14 INGIND35
81314 59 MAT01
81315 16 INF01
81316 83 IINF05
81317 57 INGIND35
81318 25 INGIND35
81319 62 MED18
81320 46 IINF05
81321 17 CHIM02
81322 47 BIO10
81323 58 IINF05
81324 86 MED18
81325 59 MAT01
81326 34 INGIND35
81327 74 IINF05
81328 32 MED18
81329 68 IINF04
81330 3 INF01
81331 50 AGR03
81332 21 MAT01
81333 81 MAT01
81334 43 IINF05
81335 6 MAT01
81336 45 IINF04
81337 68 AGR03
81338 69 IINF05
81339 85 MED18
81340 61 INGIND35
81341 11 INF01
81342 13 FIS01
81343 86 IINF04
81344 1 MAT01
81345 47 INGIND35
81346 66 IINF04
81347 68 MAT01
81348 94 MAT01
81349 68 IINF04
81350 83 INF01
81351 54 IINF05
81352 22 FIS01
81353 68 CHIM02
81354 96 FIS01
81355 9 MED18
81356 78 IINF04
81357 94 FIS01
81358 19 FIS01
81359 79 IINF04
81360 40 MAT01
81361 72 MED18
81362 6 INF01
81363 7 INGIND35
81364 36 AGR03
81365 75 INGIND35
81366 92 INGIND35
81367 28 MAT01
81368 100 MED18
81369 44 IINF05
81370 74 IINF04
81371 60 IINF05
81372 82 MED18
81373 28 INGIND35
81374 90 IINF05
81375 19 CHIM02
81376 72 AGR03
81377 72 MED18
81378 55 MED18
81379 42 CHIM02
81380 61 IINF05
81381 1 MED18
81382 15 AGR03
81383 100 FIS01
81384 53 MED18
81385 46 AGR03
81386 48 CHIM02
81387 47 IINF05
81388 87 INGIND35
81389 72 MED18
81390 40 INF01
81391 77 FIS01
81392 1 CHIM02
81393 56 MAT01
81394 65 BIO10
81395 93 FIS01
81396 48 INGIND35
81397 98 IINF04
81398 63 CHIM02
81399 57 AGR03
81400 32 CHIM02
81401 54 CHIM02
81402 28 INF01
81403 47 FIS01
81404 43 IINF05
81405 69 MED18
81406 32 IINF04
81407 41 INGIND35
81408 13 CHIM02
81409 33 IINF04
81410 16 MAT01
81411 42 IINF05
81412 74 FIS01
81413 47 INGIND35
81414 76 MED18
81415 47 CHIM02
81416 42 AGR03
81417 2 IINF04
81418 60 CHIM02
81419 35 AGR03
81420 8 MAT01
81421 87 IINF04
81422 100 MAT01
81423 25 IINF04
81424 98 MAT01
81425 68 FIS01
81426 44 CHIM02
81427 19 INGIND35
81428 30 CHIM02
81429 92 IINF04
81430 58 CHIM02
81431 11 MED18
81432 27 IINF05
81433 29 MED18
81434 2 INF01
81435 8 BIO10
81436 80 FIS01
81437 14 INGIND35
81438 80 MAT01
81439 65 MAT01
81440 96 FIS01
81441 97 MED18
81442 34 FIS01
81443 92 MAT01
81444 93 BIO10
