5801 CHIM02 0
61522 33 CHIM02
61523 26 IINF04
61524 25 MAT01
61525 22 CHIM02
61526 94 MED18
61527 67 MAT01
61528 76 BIO10
61529 29 INF01
61530 59 AGR03
61531 58 AGR03
61532 6 AGR03
61533 33 BIO10
61534 66 MED18
61535 61 CHIM02
61536 97 AGR03
61537 47 AGR03
61538 49 IINF05
61539 65 INF01
61540 47 IINF05
61541 70 INF01
61542 17 INF01
61543 36 FIS01
61544 87 MAT01
61545 85 BIO10
61546 53 MAT01
61547 22 IINF05
61548 57 BIO10
61549 90 MAT01
61550 45 INF01
61551 69 FIS01
61552 98 INGIND35
61553 64 INGIND35
61554 15 MED18
61555 64 CHIM02
61556 22 INF01
61557 96 CHIM02
61558 57 AGR03
61559 71 MAT01
61560 81 INGIND35
61561 83 MAT01
61562 99 BIO10
61563 58 MED18
61564 81 INF01
61565 16 MED18
61566 61 MED18
61567 29 IINF04
61568 40 IINF04
61569 3 INF01
61570 28 FIS01
61571 85 INGIND35
61572 38 INF01
61573 44 FIS01
61574 67 IINF04
61575 65 IINF05
61576 27 MAT01
61577 12 IINF04
61578 33 MAT01
61579 56 MED18
61580 2 INF01
61581 44 FIS01
61582 93 INGIND35
61583 87 INF01
61584 14 MAT01
61585 66 INF01
61586 87 IINF05
61587 13 IINF05
61588 26 MAT01
61589 54 BIO10
61590 22 AGR03
61591 39 MAT01
61592 40 AGR03
61593 66 INGIND35
61594 3 INGIND35
61595 61 FIS01
61596 63 FIS01
61597 22 AGR03
61598 69 INF01
61599 21 MAT01
61600 51 IINF05
61601 88 AGR03
61602 79 INF01
61603 50 INGIND35
61604 78 AGR03
61605 57 AGR03
61606 80 MED18
61607 4 AGR03
61608 35 CHIM02
61609 81 MED18
61610 17 INF01
61611 100 CHIM02
61612 10 IINF04
61613 13 IINF05
61614 24 MED18
61615 50 INGIND35
61616 64 MAT01
61617 25 MED18
61618 74 FIS01
61619 17 INF01
61620 86 MED18
61621 20 AGR03
61622 19 FIS01
61623 31 IINF05
61624 44 BIO10
61625 40 INGIND35
61626 10 MED18
61627 51 FIS01
61628 83 BIO10
61629 65 INF01
61630 89 MED18
61631 29 CHIM02
61632 66 FIS01
61633 2 AGR03
61634 89 MAT01
61635 46 INF01
61636 6 CHIM02
61637 37 MAT01
61638 23 BIO10
61639 75 MAT01
61640 50 IINF05
61641 84 BIO10
61642 29 MAT01
61643 29 CHIM02
61644 43 IINF05
61645 21 INF01
61646 83 MED18
61647 100 FIS01
61648 29 CHIM02
61649 67 IINF04
61650 24 BIO10
61651 69 FIS01
61652 99 AGR03
61653 57 IINF05
61654 36 IINF04
61655 79 MED18
61656 78 INF01
61657 10 INGIND35
61658 29 MED18
61659 53 INF01
61660 75 CHIM02
61661 78 MAT01
61662 36 INF01
61663 69 IINF05
61664 20 MED18
61665 39 INGIND35
61666 75 MAT01
61667 82 AGR03
61668 62 MAT01
61669 5 INF01
61670 26 MAT01
61671 89 INF01
61672 92 INGIND35
61673 38 AGR03
61674 53 BIO10
61675 78 MAT01
61676 36 FIS01
61677 19 AGR03
61678 68 MAT01
61679 55 MED18
61680 47 IINF04
61681 59 IINF05
61682 12 AGR03
61683 23 CHIM02
61684 76 FIS01
61685 63 FIS01
61686 53 MED18
61687 49 AGR03
61688 48 INF01
61689 77 AGR03
61690 90 MAT01
61691 6 FIS01
61692 35 IINF04
61693 41 IINF04
61694 38 IINF04
61695 78 CHIM02
61696 32 IINF04
61697 61 CHIM02
61698 75 BIO10
61699 29 IINF05
61700 39 IINF05
61701 68 INGIND35
61702 36 INGIND35
61703 91 INF01
61704 98 INF01
61705 33 MAT01
61706 71 MED18
61707 60 IINF04
61708 35 AGR03
61709 2 IINF04
61710 16 BIO10
61711 27 INGIND35
61712 53 INF01
61713 19 FIS01
61714 21 CHIM02
61715 16 CHIM02
61716 8 MED18
61717 37 FIS01
61718 67 MED18
61719 45 MED18
61720 81 IINF05
61721 31 BIO10
61722 67 CHIM02
61723 27 FIS01
61724 27 INF01
61725 58 CHIM02
61726 57 IINF05
61727 48 FIS01
61728 10 IINF05
61729 30 BIO10
61730 16 MED18
61731 98 INF01
61732 36 INGIND35
61733 81 INGIND35
61734 62 INF01
61735 25 INGIND35
61736 75 INF01
61737 48 INF01
61738 33 BIO10
61739 53 INF01
61740 43 INGIND35
61741 95 INGIND35
61742 33 CHIM02
61743 32 IINF05
61744 65 INGIND35
61745 1 IINF05
61746 58 IINF05
61747 36 FIS01
61748 77 INGIND35
61749 72 INF01
61750 15 MED18
61751 9 MED18
61752 73 BIO10
61753 18 FIS01
61754 24 IINF04
61755 34 MED18
61756 27 BIO10
61757 95 CHIM02
61758 41 INF01
61759 79 AGR03
61760 76 AGR03
61761 41 INF01
61762 75 INGIND35
61763 17 MAT01
61764 1 CHIM02
61765 10 AGR03
61766 18 BIO10
61767 38 IINF05
61768 67 MAT01
61769 74 IINF05
61770 83 IINF04
61771 63 INGIND35
61772 50 INGIND35
61773 59 IINF05
61774 96 IINF04
61775 51 INGIND35
61776 4 AGR03
61777 62 CHIM02
61778 5 MED18
61779 31 CHIM02
61780 13 FIS01
61781 54 IINF05
61782 91 INF01
61783 11 AGR03
61784 99 FIS01
61785 88 IINF04
61786 58 IINF05
61787 35 INGIND35
61788 59 IINF05
61789 50 IINF05
61790 21 CHIM02
61791 65 FIS01
61792 90 IINF05
61793 45 IINF04
61794 94 INF01
61795 9 IINF05
61796 96 INF01
61797 41 INF01
61798 94 IINF04
61799 25 FIS01
61800 5 MED18
61801 77 AGR03
61802 64 FIS01
61803 43 FIS01
61804 38 FIS01
61805 49 BIO10
61806 37 AGR03
61807 72 INGIND35
61808 66 CHIM02
61809 21 CHIM02
61810 3 BIO10
61811 24 AGR03
61812 31 MED18
61813 64 IINF05
61814 52 IINF05
61815 13 AGR03
61816 25 IINF05
61817 12 FIS01
61818 28 INGIND35
61819 25 INGIND35
61820 89 IINF05
61821 37 MAT01
61822 98 FIS01
61823 98 INGIND35
61824 14 IINF05
61825 90 INGIND35
61826 55 IINF05
61827 99 IINF04
61828 89 IINF04
61829 62 BIO10
61830 66 FIS01
61831 4 AGR03
61832 71 IINF05
61833 78 INF01
61834 36 MAT01
61835 91 MED18
61836 97 FIS01
61837 67 FIS01
61838 55 IINF04
61839 65 INGIND35
61840 49 BIO10
61841 99 MED18
61842 75 INF01
61843 28 CHIM02
61844 66 IINF04
61845 83 CHIM02
61846 94 INF01
61847 31 MAT01
61848 83 BIO10
61849 20 CHIM02
61850 95 IINF05
61851 71 FIS01
61852 90 MAT01
61853 88 IINF05
61854 80 MED18
61855 58 MAT01
61856 1 IINF04
61857 81 INGIND35
61858 73 INF01
61859 25 IINF05
61860 32 INF01
61861 46 CHIM02
61862 90 FIS01
61863 50 MED18
61864 47 AGR03
61865 46 INF01
61866 85 IINF05
61867 51 AGR03
61868 20 FIS01
61869 77 INGIND35
61870 70 FIS01
61871 90 IINF05
61872 3 MED18
61873 18 AGR03
61874 68 MED18
61875 14 BIO10
61876 93 AGR03
61877 91 MAT01
61878 39 IINF04
61879 77 MAT01
61880 58 IINF05
61881 75 MED18
61882 82 BIO10
61883 59 FIS01
61884 36 IINF04
61885 41 INF01
61886 8 CHIM02
61887 71 MED18
61888 9 INGIND35
61889 78 IINF05
61890 71 IINF04
61891 57 CHIM02
61892 16 INGIND35
61893 76 BIO10
61894 86 MAT01
61895 12 CHIM02
61896 2 AGR03
61897 58 CHIM02
61898 51 INGIND35
61899 83 MAT01
61900 60 BIO10
61901 22 IINF05
61902 47 IINF05
61903 30 BIO10
61904 12 IINF05
61905 1 CHIM02
61906 97 AGR03
61907 10 IINF04
61908 5 CHIM02
61909 52 MAT01
61910 78 MAT01
61911 12 CHIM02
61912 43 AGR03
61913 93 CHIM02
61914 80 BIO10
61915 32 IINF04
61916 61 MED18
61917 38 BIO10
61918 27 BIO10
61919 10 INF01
61920 8 AGR03
61921 14 AGR03
61922 57 IINF05
61923 98 IINF04
61924 29 IINF05
61925 26 MED18
61926 75 MAT01
61927 99 INF01
61928 60 INF01
61929 87 INGIND35
61930 78 CHIM02
61931 23 INGIND35
61932 9 INF01
61933 49 FIS01
61934 29 INF01
61935 9 MAT01
61936 64 INF01
61937 20 FIS01
61938 76 MED18
61939 79 INF01
61940 97 INGIND35
61941 22 INGIND35
61942 9 CHIM02
61943 54 CHIM02
61944 71 FIS01
61945 49 MAT01
61946 45 IINF05
61947 62 BIO10
61948 42 CHIM02
61949 21 INGIND35
61950 78 CHIM02
61951 76 IINF05
61952 78 MED18
61953 36 BIO10
61954 69 CHIM02
61955 93 FIS01
61956 60 IINF04
61957 11 MAT01
61958 4 IINF05
61959 36 BIO10
61960 68 IINF05
61961 10 AGR03
61962 19 INGIND35
61963 7 FIS01
61964 77 BIO10
61965 38 INGIND35
61966 16 BIO10
61967 87 MED18
61968 82 CHIM02
61969 64 IINF05
61970 89 INGIND35
61971 69 BIO10
61972 4 BIO10
61973 97 INF01
61974 97 INGIND35
61975 24 AGR03
61976 97 AGR03
61977 67 IINF04
61978 65 IINF05
61979 14 INF01
61980 98 AGR03
61981 60 FIS01
61982 2 MAT01
61983 13 INGIND35
61984 4 IINF04
61985 59 IINF04
61986 64 MED18
61987 95 MAT01
61988 29 INF01
61989 75 MAT01
61990 4 MED18
61991 26 BIO10
61992 1 BIO10
61993 4 INGIND35
61994 5 IINF04
61995 83 MAT01
61996 5 INGIND35
61997 72 AGR03
61998 86 IINF05
61999 66 MED18
62000 18 FIS01
62001 100 FIS01
62002 33 BIO10
62003 99 INF01
62004 4 BIO10
62005 13 CHIM02
62006 64 FIS01
62007 57 FIS01
62008 87 AGR03
62009 41 IINF05
62010 30 AGR03
62011 68 MED18
62012 58 BIO10
62013 58 INGIND35
62014 95 CHIM02
62015 28 BIO10
62016 96 IINF05
62017 60 CHIM02
62018 95 MED18
62019 40 INGIND35
62020 35 AGR03
62021 40 BIO10
62022 30 AGR03
62023 60 CHIM02
62024 33 BIO10
62025 52 MED18
62026 83 AGR03
62027 57 MED18
62028 28 INF01
62029 75 CHIM02
62030 87 CHIM02
62031 81 INGIND35
62032 95 MED18
62033 45 IINF04
62034 39 CHIM02
62035 97 BIO10
62036 79 IINF04
62037 6 INF01
62038 55 AGR03
62039 37 BIO10
62040 9 CHIM02
62041 87 MED18
62042 62 BIO10
62043 58 INF01
62044 40 CHIM02
62045 54 INF01
62046 47 BIO10
62047 7 INGIND35
62048 78 AGR03
62049 12 FIS01
62050 10 INF01
62051 16 BIO10
62052 77 INF01
62053 22 AGR03
62054 80 MAT01
62055 4 INGIND35
62056 69 MAT01
62057 27 IINF04
62058 84 MED18
62059 87 MAT01
62060 74 IINF05
62061 25 MAT01
62062 88 IINF05
62063 54 IINF04
62064 43 FIS01
62065 19 MAT01
62066 65 CHIM02
62067 31 IINF04
62068 61 INGIND35
62069 71 IINF05
62070 79 BIO10
62071 50 IINF05
62072 38 MAT01
62073 2 IINF05
62074 65 BIO10
62075 80 IINF04
62076 98 MED18
62077 71 FIS01
62078 55 MED18
62079 9 MAT01
62080 76 INF01
62081 64 MED18
62082 73 FIS01
62083 46 IINF04
62084 49 IINF05
62085 64 INGIND35
62086 23 BIO10
62087 10 AGR03
62088 79 AGR03
62089 62 MAT01
62090 27 FIS01
62091 53 IINF05
62092 37 CHIM02
62093 24 CHIM02
62094 40 FIS01
62095 28 AGR03
62096 55 INF01
62097 41 IINF05
62098 16 INGIND35
62099 100 FIS01
62100 11 IINF04
62101 90 FIS01
62102 84 AGR03
62103 54 IINF05
62104 19 CHIM02
62105 1 BIO10
62106 82 CHIM02
62107 24 FIS01
62108 45 MAT01
62109 2 IINF05
62110 11 INGIND35
62111 53 CHIM02
62112 97 INF01
62113 94 BIO10
62114 96 IINF05
62115 28 INGIND35
62116 94 AGR03
62117 19 MED18
62118 41 MAT01
62119 88 BIO10
62120 52 CHIM02
62121 17 INGIND35
62122 39 IINF04
62123 82 MAT01
62124 70 CHIM02
62125 27 IINF04
62126 18 FIS01
62127 63 CHIM02
62128 18 INF01
62129 73 MED18
62130 46 IINF05
62131 30 INGIND35
62132 70 MAT01
62133 52 FIS01
62134 54 IINF05
62135 87 INF01
62136 42 AGR03
62137 1 AGR03
62138 95 MAT01
62139 17 IINF04
62140 57 CHIM02
62141 50 BIO10
62142 20 INGIND35
62143 82 CHIM02
62144 6 CHIM02
62145 7 IINF05
62146 75 BIO10
62147 49 FIS01
62148 19 MED18
62149 63 INF01
62150 15 MED18
62151 51 CHIM02
62152 13 AGR03
62153 12 AGR03
62154 23 CHIM02
62155 11 INGIND35
62156 53 AGR03
62157 66 BIO10
62158 18 AGR03
62159 26 INGIND35
62160 78 CHIM02
62161 32 INGIND35
62162 89 IINF04
62163 31 INGIND35
62164 1 INGIND35
62165 57 BIO10
62166 19 MED18
62167 23 MED18
62168 6 MAT01
62169 65 IINF05
62170 80 CHIM02
62171 34 AGR03
62172 14 MAT01
62173 25 INGIND35
62174 6 INF01
62175 56 IINF04
62176 65 MED18
62177 97 BIO10
62178 79 INGIND35
62179 77 MAT01
62180 77 BIO10
62181 78 INGIND35
62182 46 FIS01
62183 89 IINF05
62184 32 MAT01
62185 50 MAT01
62186 43 INF01
62187 37 FIS01
62188 35 IINF04
62189 16 MAT01
62190 97 INGIND35
62191 33 CHIM02
62192 55 MED18
62193 62 FIS01
62194 3 CHIM02
62195 29 BIO10
62196 74 INF01
62197 58 CHIM02
62198 82 BIO10
62199 17 INF01
62200 71 IINF05
62201 74 IINF04
62202 70 FIS01
62203 15 IINF05
62204 89 MED18
62205 29 BIO10
62206 6 IINF04
62207 13 IINF05
62208 57 AGR03
62209 49 AGR03
62210 97 MAT01
62211 98 BIO10
62212 4 BIO10
62213 56 CHIM02
62214 37 CHIM02
62215 30 BIO10
62216 73 MAT01
62217 84 IINF05
62218 2 INGIND35
62219 36 MED18
62220 51 AGR03
62221 17 AGR03
62222 4 IINF05
62223 25 INGIND35
62224 97 MED18
62225 72 IINF04
62226 60 MAT01
62227 65 BIO10
62228 27 IINF04
62229 34 BIO10
62230 92 IINF05
62231 42 IINF05
62232 49 FIS01
62233 43 MAT01
62234 75 AGR03
62235 54 INGIND35
62236 43 MAT01
62237 15 IINF04
62238 100 FIS01
62239 58 INGIND35
62240 77 INGIND35
62241 28 IINF05
62242 46 IINF04
62243 57 BIO10
62244 68 BIO10
62245 83 INF01
62246 58 FIS01
62247 75 FIS01
62248 66 MED18
62249 74 IINF04
62250 37 MAT01
62251 67 FIS01
62252 93 MAT01
62253 62 BIO10
62254 25 IINF05
62255 86 FIS01
62256 18 CHIM02
62257 57 BIO10
62258 61 BIO10
62259 18 AGR03
62260 14 CHIM02
62261 97 MAT01
62262 81 INF01
62263 38 MED18
62264 1 AGR03
62265 21 IINF04
62266 1 MAT01
62267 10 MED18
62268 45 CHIM02
62269 20 INGIND35
62270 2 CHIM02
62271 90 IINF04
62272 45 FIS01
62273 84 INGIND35
62274 29 AGR03
62275 93 IINF04
62276 59 IINF04
62277 68 CHIM02
62278 52 CHIM02
62279 72 CHIM02
62280 68 CHIM02
62281 19 CHIM02
62282 35 MAT01
62283 11 INF01
62284 85 IINF04
62285 74 INF01
62286 14 BIO10
62287 96 INF01
62288 26 FIS01
62289 1 CHIM02
62290 46 MAT01
62291 68 FIS01
62292 40 MED18
62293 50 INGIND35
62294 27 FIS01
62295 7 CHIM02
62296 14 FIS01
62297 97 BIO10
62298 32 AGR03
62299 65 FIS01
62300 83 BIO10
62301 5 BIO10
62302 2 BIO10
62303 1 IINF05
62304 82 MAT01
62305 48 INF01
62306 29 MAT01
62307 8 AGR03
62308 83 INGIND35
62309 16 MED18
62310 96 INGIND35
62311 76 MED18
62312 83 BIO10
62313 9 MAT01
62314 33 IINF04
62315 24 MAT01
62316 42 MAT01
62317 4 INGIND35
62318 74 FIS01
62319 76 IINF05
62320 45 FIS01
62321 49 AGR03
62322 42 INF01
62323 74 MED18
62324 6 FIS01
62325 96 CHIM02
62326 19 BIO10
62327 30 MED18
62328 32 INGIND35
62329 32 INGIND35
62330 31 MED18
62331 52 IINF05
62332 23 MAT01
62333 61 MED18
62334 25 MAT01
62335 10 MED18
62336 60 IINF04
62337 94 CHIM02
62338 11 IINF05
62339 68 CHIM02
62340 49 IINF04
62341 42 BIO10
62342 94 INF01
62343 42 MED18
62344 87 AGR03
62345 76 IINF04
62346 73 FIS01
62347 24 BIO10
62348 35 IINF04
62349 3 IINF05
62350 1 BIO10
62351 90 INGIND35
62352 57 AGR03
62353 21 MAT01
62354 82 INGIND35
62355 73 MAT01
62356 13 BIO10
62357 83 FIS01
62358 93 CHIM02
62359 65 INF01
62360 3 MED18
62361 57 INF01
62362 93 BIO10
62363 67 FIS01
62364 93 MAT01
62365 37 FIS01
62366 62 CHIM02
62367 31 MED18
62368 14 AGR03
62369 19 IINF04
62370 55 IINF05
62371 81 BIO10
62372 32 FIS01
62373 2 INGIND35
62374 65 MAT01
62375 91 INF01
62376 93 AGR03
62377 57 BIO10
62378 61 INF01
62379 66 MED18
62380 83 MED18
62381 42 BIO10
62382 77 MED18
62383 58 IINF04
62384 50 IINF05
62385 83 MAT01
62386 14 INF01
62387 100 AGR03
62388 29 AGR03
62389 43 BIO10
62390 71 AGR03
62391 52 INGIND35
62392 55 IINF04
62393 92 MAT01
62394 31 CHIM02
62395 23 IINF05
62396 55 IINF05
62397 38 FIS01
62398 13 MAT01
62399 94 CHIM02
62400 84 AGR03
62401 12 CHIM02
62402 100 IINF05
62403 49 IINF04
62404 22 IINF05
62405 3 AGR03
62406 73 BIO10
62407 5 AGR03
62408 98 FIS01
62409 1 CHIM02
62410 83 IINF04
62411 65 MED18
62412 47 IINF05
62413 80 MAT01
62414 41 IINF05
62415 83 IINF05
62416 65 MED18
62417 70 AGR03
62418 23 MAT01
62419 78 IINF04
62420 18 INGIND35
62421 90 INGIND35
62422 50 BIO10
62423 17 IINF04
62424 75 CHIM02
62425 74 MAT01
62426 73 BIO10
62427 31 BIO10
62428 99 MAT01
62429 6 MAT01
62430 95 INF01
62431 72 BIO10
62432 77 IINF04
62433 57 IINF04
62434 51 AGR03
62435 83 FIS01
62436 11 CHIM02
62437 60 FIS01
62438 28 MED18
62439 50 INGIND35
62440 18 INF01
62441 18 MAT01
62442 33 BIO10
62443 58 MAT01
62444 1 INGIND35
62445 10 AGR03
62446 8 INF01
62447 13 INF01
62448 70 MAT01
62449 85 MAT01
62450 39 CHIM02
62451 35 BIO10
62452 94 IINF04
62453 40 INF01
62454 59 INF01
62455 1 FIS01
62456 95 MAT01
62457 11 IINF05
62458 61 MAT01
62459 37 AGR03
62460 41 MED18
62461 61 CHIM02
62462 40 IINF05
62463 94 IINF04
62464 2 CHIM02
62465 55 AGR03
62466 42 MED18
62467 51 BIO10
62468 46 MAT01
62469 62 CHIM02
62470 47 IINF05
62471 97 BIO10
62472 67 AGR03
62473 91 MED18
62474 74 FIS01
62475 80 FIS01
62476 82 AGR03
62477 72 INGIND35
62478 93 IINF04
62479 98 MED18
62480 58 MAT01
62481 72 IINF04
62482 8 FIS01
62483 26 IINF04
62484 53 FIS01
62485 23 INGIND35
62486 12 AGR03
62487 15 MAT01
62488 28 INF01
62489 98 BIO10
62490 39 IINF05
62491 34 INF01
62492 99 MAT01
62493 63 INF01
62494 14 IINF04
62495 23 IINF04
62496 70 IINF05
62497 33 INF01
62498 9 MAT01
62499 39 CHIM02
62500 15 AGR03
62501 12 MED18
62502 82 MAT01
62503 72 AGR03
62504 58 FIS01
62505 36 INGIND35
62506 80 FIS01
62507 13 BIO10
62508 90 IINF04
62509 58 INF01
62510 43 CHIM02
62511 51 MAT01
62512 49 CHIM02
62513 72 CHIM02
62514 70 INF01
62515 14 IINF05
62516 3 MED18
62517 36 BIO10
62518 32 MED18
62519 88 FIS01
62520 53 MAT01
62521 16 BIO10
62522 67 AGR03
62523 77 FIS01
62524 31 INGIND35
62525 47 IINF05
62526 94 FIS01
62527 62 MED18
62528 38 MED18
62529 46 MAT01
62530 30 CHIM02
62531 3 BIO10
62532 74 BIO10
62533 39 IINF04
62534 19 MED18
62535 34 IINF04
62536 79 MED18
62537 66 INF01
62538 43 FIS01
62539 92 IINF04
62540 79 IINF05
62541 31 IINF05
62542 72 INGIND35
62543 12 AGR03
62544 56 INGIND35
62545 99 MED18
62546 88 BIO10
62547 41 IINF04
62548 86 FIS01
62549 11 MED18
62550 24 AGR03
62551 90 FIS01
62552 95 AGR03
62553 75 CHIM02
62554 16 INF01
62555 70 FIS01
62556 37 IINF05
62557 83 AGR03
62558 74 INF01
62559 42 FIS01
62560 87 MAT01
62561 26 IINF05
62562 59 BIO10
62563 57 BIO10
62564 98 FIS01
62565 30 IINF04
62566 67 CHIM02
62567 31 INF01
62568 35 IINF05
62569 21 AGR03
62570 38 IINF05
62571 12 MED18
62572 66 CHIM02
62573 58 IINF04
62574 100 BIO10
62575 33 INF01
62576 36 INF01
62577 61 IINF05
62578 76 BIO10
62579 17 IINF04
62580 99 INGIND35
62581 35 FIS01
62582 95 IINF04
62583 91 MED18
62584 81 INGIND35
62585 2 MAT01
62586 81 CHIM02
62587 54 MAT01
62588 76 MED18
62589 33 MED18
62590 90 INGIND35
62591 80 INF01
62592 36 INGIND35
62593 41 MED18
62594 47 MED18
62595 77 AGR03
62596 46 BIO10
62597 32 INF01
62598 87 MAT01
62599 29 INGIND35
62600 82 BIO10
62601 58 MAT01
62602 65 INGIND35
62603 80 MED18
62604 3 BIO10
62605 3 INGIND35
62606 76 INF01
62607 99 MAT01
62608 51 CHIM02
62609 22 IINF05
62610 9 AGR03
62611 32 IINF04
62612 10 IINF05
62613 16 IINF05
62614 4 MAT01
62615 80 MAT01
62616 42 INF01
62617 26 MAT01
62618 5 INGIND35
62619 43 CHIM02
62620 5 MAT01
62621 35 INF01
62622 14 AGR03
62623 65 IINF05
62624 5 INGIND35
62625 90 CHIM02
62626 18 IINF05
62627 25 INGIND35
62628 72 MAT01
62629 29 INF01
62630 8 FIS01
62631 54 IINF05
62632 43 MAT01
62633 64 MAT01
62634 48 MAT01
62635 22 CHIM02
62636 85 BIO10
62637 19 BIO10
62638 42 AGR03
62639 38 MED18
62640 12 AGR03
62641 26 MAT01
