9949 INF01 4
68562 38 BIO10
68563 44 INF01
68564 65 IINF05
68565 75 INGIND35
68566 55 IINF04
68567 81 INF01
68568 85 BIO10
68569 21 IINF05
68570 98 FIS01
68571 94 INGIND35
68572 92 BIO10
68573 89 IINF05
68574 37 CHIM02
68575 17 CHIM02
68576 37 FIS01
68577 34 IINF04
68578 96 INF01
68579 59 MED18
68580 82 INGIND35
68581 8 INGIND35
68582 23 AGR03
68583 67 MED18
68584 33 IINF04
68585 66 INGIND35
68586 12 MAT01
68587 8 MED18
68588 34 MAT01
68589 7 FIS01
68590 24 INGIND35
68591 43 BIO10
68592 37 MED18
68593 97 INGIND35
68594 47 INF01
68595 65 MED18
68596 38 CHIM02
68597 38 MED18
68598 92 INGIND35
68599 89 FIS01
68600 48 INF01
68601 15 CHIM02
68602 69 IINF04
68603 9 MAT01
68604 3 CHIM02
68605 19 CHIM02
68606 37 INF01
68607 78 BIO10
68608 22 AGR03
68609 54 INF01
68610 61 BIO10
68611 65 IINF04
68612 32 BIO10
68613 25 INF01
68614 85 INGIND35
68615 2 IINF05
68616 96 MED18
68617 77 MAT01
68618 55 INF01
68619 47 CHIM02
68620 83 CHIM02
68621 12 FIS01
68622 50 FIS01
68623 89 INGIND35
68624 14 MED18
68625 16 CHIM02
68626 6 CHIM02
68627 82 FIS01
68628 49 AGR03
68629 28 IINF05
68630 62 IINF04
68631 94 AGR03
68632 73 AGR03
68633 74 CHIM02
68634 81 IINF04
68635 44 BIO10
68636 26 CHIM02
68637 54 CHIM02
68638 42 CHIM02
68639 81 IINF05
68640 51 MAT01
68641 65 FIS01
68642 13 BIO10
68643 8 AGR03
68644 94 AGR03
68645 20 FIS01
68646 57 MED18
68647 40 MED18
68648 100 IINF04
68649 63 CHIM02
68650 23 BIO10
68651 1 INF01
68652 96 BIO10
68653 94 MED18
68654 50 MED18
68655 40 CHIM02
68656 49 MED18
68657 87 FIS01
68658 44 INF01
68659 99 AGR03
68660 74 INGIND35
68661 67 IINF05
68662 54 BIO10
68663 77 MAT01
68664 73 BIO10
68665 28 CHIM02
68666 82 FIS01
68667 26 INF01
68668 3 AGR03
68669 79 BIO10
68670 14 MAT01
68671 11 INF01
68672 32 MED18
68673 33 IINF05
68674 25 MAT01
68675 93 CHIM02
68676 17 BIO10
68677 10 IINF05
68678 84 INF01
68679 88 FIS01
68680 27 CHIM02
68681 23 AGR03
68682 40 INGIND35
68683 95 MAT01
68684 3 INF01
68685 17 BIO10
68686 62 IINF05
68687 98 BIO10
68688 96 MED18
68689 94 AGR03
68690 33 INGIND35
68691 59 IINF04
68692 29 BIO10
68693 12 MED18
68694 94 BIO10
68695 16 INGIND35
68696 1 INGIND35
68697 30 INF01
68698 46 FIS01
68699 18 FIS01
68700 65 MED18
68701 32 MED18
68702 39 INF01
68703 66 AGR03
68704 58 AGR03
68705 66 BIO10
68706 1 BIO10
68707 23 IINF04
68708 68 INGIND35
68709 83 AGR03
68710 49 IINF05
68711 17 IINF04
68712 78 AGR03
68713 15 INGIND35
68714 87 AGR03
68715 53 AGR03
68716 89 FIS01
68717 58 IINF05
68718 96 IINF05
68719 74 INGIND35
68720 23 BIO10
68721 75 INF01
68722 62 MAT01
68723 81 BIO10
68724 68 AGR03
68725 15 MED18
68726 60 MED18
68727 90 BIO10
68728 65 IINF04
68729 78 MAT01
68730 9 AGR03
68731 67 INGIND35
68732 49 FIS01
68733 77 BIO10
68734 18 IINF04
68735 26 IINF05
68736 91 MAT01
68737 96 INGIND35
68738 17 MAT01
68739 85 AGR03
68740 35 CHIM02
68741 76 BIO10
68742 48 INGIND35
68743 37 FIS01
68744 81 INF01
68745 66 CHIM02
68746 17 AGR03
68747 58 INF01
68748 77 INGIND35
68749 73 FIS01
68750 24 MAT01
68751 37 CHIM02
68752 94 IINF05
68753 84 IINF04
68754 20 AGR03
68755 24 AGR03
68756 16 MAT01
68757 54 IINF05
68758 19 INF01
68759 37 CHIM02
68760 60 FIS01
68761 91 AGR03
68762 66 INF01
68763 22 AGR03
68764 5 BIO10
68765 52 IINF05
68766 63 FIS01
68767 93 AGR03
68768 10 BIO10
68769 62 INF01
68770 99 MED18
68771 19 MED18
68772 7 MAT01
68773 86 FIS01
68774 28 CHIM02
68775 55 AGR03
68776 45 AGR03
68777 4 IINF05
68778 10 INGIND35
68779 98 IINF05
68780 3 INGIND35
68781 9 IINF05
68782 20 IINF05
68783 75 INGIND35
68784 9 BIO10
68785 47 INGIND35
68786 66 FIS01
68787 74 FIS01
68788 41 MAT01
68789 39 MAT01
68790 37 MAT01
68791 2 FIS01
68792 44 IINF04
68793 83 IINF05
68794 74 INGIND35
68795 47 AGR03
68796 22 MAT01
68797 15 AGR03
68798 18 AGR03
68799 24 IINF05
68800 8 FIS01
68801 59 IINF04
68802 19 MAT01
68803 70 FIS01
68804 11 IINF04
68805 31 IINF04
68806 19 MAT01
68807 86 FIS01
68808 57 MAT01
68809 43 MAT01
68810 29 FIS01
68811 7 INGIND35
68812 87 IINF04
68813 63 FIS01
68814 50 AGR03
68815 88 FIS01
68816 72 INGIND35
68817 52 BIO10
68818 48 BIO10
68819 14 INGIND35
68820 91 IINF05
68821 19 IINF04
68822 76 MED18
68823 33 INF01
68824 1 MED18
68825 61 MAT01
68826 71 AGR03
68827 54 INF01
68828 87 FIS01
68829 33 MAT01
68830 31 IINF04
68831 83 AGR03
68832 67 BIO10
68833 96 CHIM02
68834 56 FIS01
68835 58 CHIM02
68836 97 BIO10
68837 82 IINF04
68838 2 INGIND35
68839 20 FIS01
68840 47 MED18
68841 62 IINF05
68842 87 AGR03
68843 60 MED18
68844 38 MAT01
68845 27 BIO10
68846 55 INGIND35
68847 84 INF01
68848 32 MAT01
68849 99 CHIM02
68850 78 AGR03
68851 31 BIO10
68852 20 MED18
68853 5 INGIND35
68854 70 IINF05
68855 49 BIO10
68856 59 AGR03
68857 34 FIS01
68858 25 BIO10
68859 99 CHIM02
68860 45 IINF05
68861 29 IINF05
68862 72 IINF04
68863 38 AGR03
68864 75 FIS01
68865 11 AGR03
68866 76 INF01
68867 64 INGIND35
68868 87 BIO10
68869 93 AGR03
68870 5 AGR03
68871 31 AGR03
68872 39 IINF05
68873 51 BIO10
68874 5 FIS01
68875 41 INGIND35
68876 12 CHIM02
68877 35 INGIND35
68878 77 MED18
68879 16 FIS01
68880 52 MED18
68881 17 IINF05
68882 72 IINF04
68883 56 MAT01
68884 10 IINF05
68885 90 AGR03
68886 71 CHIM02
68887 71 BIO10
68888 32 INGIND35
68889 80 MAT01
68890 86 CHIM02
68891 65 INF01
68892 93 IINF05
68893 28 IINF04
68894 33 MAT01
68895 1 IINF05
68896 89 FIS01
68897 16 MAT01
68898 60 INF01
68899 19 CHIM02
68900 43 MAT01
68901 37 AGR03
68902 35 INGIND35
68903 32 AGR03
68904 82 FIS01
68905 29 MED18
68906 47 IINF05
68907 35 INF01
68908 58 MAT01
68909 47 BIO10
68910 53 BIO10
68911 34 FIS01
68912 87 IINF04
68913 13 IINF05
68914 58 FIS01
68915 21 BIO10
68916 81 INF01
68917 27 AGR03
68918 97 IINF05
68919 52 FIS01
68920 26 IINF05
68921 58 MED18
68922 42 INGIND35
68923 3 MAT01
68924 5 MED18
68925 13 CHIM02
68926 5 CHIM02
68927 99 MAT01
68928 21 INF01
68929 69 IINF05
68930 42 IINF05
68931 48 INGIND35
68932 1 IINF05
68933 10 BIO10
68934 62 BIO10
68935 12 FIS01
68936 36 IINF05
68937 22 CHIM02
68938 23 IINF04
68939 22 INF01
68940 70 BIO10
68941 31 CHIM02
68942 13 MAT01
68943 18 INGIND35
68944 21 FIS01
68945 31 MAT01
68946 2 MED18
68947 64 MAT01
68948 78 IINF05
68949 74 IINF04
68950 79 MAT01
68951 62 CHIM02
68952 42 BIO10
68953 25 MAT01
68954 58 BIO10
68955 33 INF01
68956 8 INGIND35
68957 61 MAT01
68958 29 IINF05
68959 64 MAT01
68960 63 CHIM02
68961 66 MAT01
68962 86 FIS01
68963 64 BIO10
68964 28 AGR03
68965 69 INGIND35
68966 13 CHIM02
68967 100 IINF04
68968 47 IINF04
68969 32 INF01
68970 63 INF01
68971 6 BIO10
68972 1 MED18
68973 18 IINF04
68974 49 INGIND35
68975 72 MED18
68976 88 AGR03
68977 91 INGIND35
68978 1 BIO10
68979 57 FIS01
68980 65 BIO10
68981 20 IINF04
68982 84 MAT01
68983 55 AGR03
68984 89 FIS01
68985 5 MAT01
68986 84 INGIND35
68987 2 IINF04
68988 60 FIS01
68989 75 IINF05
68990 87 IINF05
68991 55 FIS01
68992 74 AGR03
68993 77 CHIM02
68994 58 MAT01
68995 72 FIS01
68996 50 FIS01
68997 74 MAT01
68998 76 IINF05
68999 55 MAT01
69000 41 MED18
69001 49 INF01
69002 33 IINF05
69003 58 AGR03
69004 33 INGIND35
69005 48 IINF05
69006 66 MAT01
69007 29 MED18
69008 58 MED18
69009 31 INGIND35
69010 1 AGR03
69011 92 INGIND35
69012 14 INGIND35
69013 18 CHIM02
69014 98 AGR03
69015 70 INF01
69016 31 BIO10
69017 49 INGIND35
69018 57 IINF04
69019 67 BIO10
69020 40 INGIND35
69021 4 CHIM02
69022 50 FIS01
69023 90 CHIM02
69024 87 MED18
69025 33 AGR03
69026 75 INF01
69027 19 IINF05
69028 34 IINF04
69029 76 CHIM02
69030 85 MAT01
69031 27 MED18
69032 58 BIO10
69033 60 MAT01
69034 43 BIO10
69035 7 FIS01
69036 84 IINF04
69037 60 IINF04
69038 14 INF01
69039 31 FIS01
69040 57 IINF04
69041 35 CHIM02
69042 88 IINF04
69043 76 IINF04
69044 22 MAT01
69045 23 AGR03
69046 12 INGIND35
69047 71 IINF04
69048 37 FIS01
69049 67 BIO10
69050 73 FIS01
69051 32 INF01
69052 17 AGR03
69053 74 BIO10
69054 22 IINF05
69055 92 IINF04
69056 17 AGR03
69057 2 BIO10
69058 61 BIO10
69059 90 CHIM02
69060 29 BIO10
69061 50 IINF05
69062 45 INF01
69063 58 FIS01
69064 50 AGR03
69065 53 CHIM02
69066 70 INGIND35
69067 54 MED18
69068 70 CHIM02
69069 78 MED18
69070 86 MAT01
69071 74 IINF04
69072 47 INGIND35
69073 16 CHIM02
69074 37 IINF05
69075 94 MED18
69076 95 INF01
69077 42 MED18
69078 28 FIS01
69079 3 INF01
69080 33 MED18
69081 66 MED18
69082 2 CHIM02
69083 78 INGIND35
69084 80 INGIND35
69085 66 CHIM02
69086 35 MED18
69087 63 FIS01
69088 39 AGR03
69089 59 FIS01
69090 81 BIO10
69091 2 INGIND35
69092 59 AGR03
69093 18 AGR03
69094 21 FIS01
69095 44 IINF05
69096 81 FIS01
69097 26 CHIM02
69098 11 BIO10
69099 40 INF01
69100 71 INGIND35
69101 57 BIO10
69102 50 CHIM02
69103 81 INGIND35
69104 38 MAT01
69105 46 IINF04
69106 12 INGIND35
69107 97 IINF04
69108 100 FIS01
69109 90 FIS01
69110 63 INF01
69111 49 MED18
69112 78 FIS01
69113 44 BIO10
69114 4 INGIND35
69115 60 CHIM02
69116 28 IINF04
69117 92 BIO10
69118 98 MAT01
69119 99 IINF04
69120 35 CHIM02
69121 17 CHIM02
69122 7 MED18
69123 98 BIO10
69124 28 IINF04
69125 19 AGR03
69126 47 IINF05
69127 74 IINF05
69128 61 IINF04
69129 44 AGR03
69130 58 IINF05
69131 55 IINF04
69132 71 INF01
69133 85 IINF05
69134 98 MED18
69135 48 MED18
69136 79 BIO10
69137 81 IINF04
69138 89 MAT01
69139 7 INGIND35
69140 69 AGR03
69141 56 IINF05
69142 82 IINF04
69143 17 AGR03
69144 53 IINF04
69145 2 FIS01
69146 3 IINF05
69147 96 INF01
69148 73 BIO10
69149 89 IINF04
69150 65 BIO10
69151 35 INF01
69152 50 IINF05
69153 74 MAT01
69154 74 INF01
69155 26 CHIM02
69156 8 FIS01
69157 56 AGR03
69158 19 INGIND35
69159 27 BIO10
69160 44 BIO10
69161 51 MAT01
69162 75 AGR03
69163 40 INGIND35
69164 35 FIS01
69165 71 INGIND35
69166 26 CHIM02
69167 100 AGR03
69168 55 IINF04
69169 50 BIO10
69170 62 BIO10
69171 2 MED18
69172 91 INGIND35
69173 56 FIS01
69174 42 FIS01
69175 34 IINF04
69176 25 INF01
69177 5 AGR03
69178 31 FIS01
69179 20 MAT01
69180 65 INGIND35
69181 48 BIO10
69182 87 INGIND35
69183 13 IINF05
69184 49 BIO10
69185 89 MAT01
69186 20 BIO10
69187 84 IINF05
69188 2 FIS01
69189 20 AGR03
69190 22 BIO10
69191 99 INGIND35
69192 32 INF01
69193 31 IINF04
69194 8 FIS01
69195 96 CHIM02
69196 81 FIS01
69197 37 IINF05
69198 39 CHIM02
69199 33 IINF05
69200 100 INF01
69201 25 AGR03
69202 1 AGR03
69203 40 INF01
69204 88 IINF05
69205 69 MED18
69206 7 MED18
69207 64 MED18
69208 77 CHIM02
69209 90 INGIND35
69210 93 FIS01
69211 35 MED18
69212 17 AGR03
69213 1 MAT01
69214 6 INF01
69215 68 MAT01
69216 97 IINF05
69217 11 MAT01
69218 65 CHIM02
69219 84 BIO10
69220 35 MAT01
69221 25 MAT01
69222 93 MED18
69223 12 IINF05
69224 60 FIS01
69225 20 INF01
69226 76 FIS01
69227 49 FIS01
69228 59 IINF04
69229 47 IINF04
69230 79 AGR03
69231 3 INF01
69232 66 INGIND35
69233 11 INGIND35
69234 1 FIS01
69235 38 MED18
69236 8 FIS01
69237 73 AGR03
69238 49 INGIND35
69239 73 INF01
69240 89 MAT01
69241 5 IINF04
69242 16 MED18
69243 4 INF01
69244 88 INGIND35
69245 92 IINF05
69246 15 INF01
69247 10 MED18
69248 60 MED18
69249 39 AGR03
69250 1 INGIND35
69251 52 IINF04
69252 22 IINF04
69253 29 AGR03
69254 20 INF01
69255 94 IINF05
69256 37 MAT01
69257 51 BIO10
69258 4 IINF05
69259 7 FIS01
69260 80 AGR03
69261 5 IINF05
69262 28 BIO10
69263 75 INGIND35
69264 41 IINF04
69265 17 INF01
69266 86 AGR03
69267 79 INF01
69268 89 AGR03
69269 99 IINF04
69270 90 INF01
69271 41 CHIM02
69272 89 FIS01
69273 5 INF01
69274 44 MED18
69275 47 INGIND35
69276 3 IINF05
69277 31 AGR03
69278 43 FIS01
69279 44 IINF05
69280 73 BIO10
69281 1 IINF05
69282 76 BIO10
69283 21 IINF05
69284 20 CHIM02
69285 73 MED18
69286 42 MAT01
69287 59 MAT01
69288 43 BIO10
69289 62 MAT01
69290 86 MAT01
69291 34 FIS01
69292 79 INF01
69293 36 INGIND35
69294 92 CHIM02
69295 12 MAT01
69296 84 MED18
69297 42 AGR03
69298 57 IINF05
69299 49 CHIM02
69300 74 MED18
69301 49 FIS01
69302 34 CHIM02
69303 97 BIO10
69304 27 BIO10
69305 13 MED18
69306 67 AGR03
69307 95 IINF05
69308 74 IINF05
69309 57 MED18
69310 56 AGR03
69311 3 BIO10
69312 88 AGR03
69313 9 MAT01
69314 94 IINF04
69315 38 MAT01
69316 63 INF01
69317 46 MED18
69318 16 CHIM02
69319 100 AGR03
69320 77 INGIND35
69321 89 BIO10
69322 17 IINF05
69323 2 AGR03
69324 98 MAT01
69325 77 AGR03
69326 93 INGIND35
69327 58 IINF05
69328 60 MED18
69329 80 BIO10
69330 39 INF01
69331 13 INF01
69332 87 MED18
69333 8 MED18
69334 74 INF01
69335 97 INF01
69336 53 INGIND35
69337 57 INGIND35
69338 60 MAT01
69339 93 IINF05
69340 57 AGR03
69341 92 BIO10
69342 63 BIO10
69343 66 CHIM02
69344 7 CHIM02
69345 47 MAT01
69346 16 IINF05
69347 10 BIO10
69348 64 IINF04
69349 63 IINF04
69350 5 INF01
69351 91 IINF04
69352 52 IINF05
69353 13 MED18
69354 53 AGR03
69355 4 AGR03
69356 82 CHIM02
69357 47 CHIM02
69358 89 INF01
69359 75 BIO10
69360 73 IINF05
69361 67 MED18
69362 25 MAT01
69363 36 MED18
69364 79 CHIM02
69365 50 BIO10
69366 55 IINF05
69367 27 CHIM02
69368 77 BIO10
69369 82 INF01
69370 6 INF01
69371 14 AGR03
69372 44 INGIND35
69373 28 MED18
69374 40 MAT01
69375 95 MAT01
69376 75 AGR03
69377 35 CHIM02
69378 44 INF01
69379 16 CHIM02
69380 26 INF01
69381 10 IINF04
69382 66 MAT01
69383 56 INGIND35
69384 69 INF01
69385 5 MED18
69386 4 CHIM02
69387 1 INF01
69388 39 INGIND35
69389 16 CHIM02
69390 87 INGIND35
69391 77 IINF04
69392 56 INF01
69393 95 INGIND35
69394 56 IINF04
69395 69 MAT01
69396 51 CHIM02
69397 85 FIS01
69398 54 BIO10
69399 5 INF01
69400 88 MED18
69401 89 INGIND35
69402 88 IINF04
69403 66 IINF05
69404 5 IINF04
69405 56 CHIM02
69406 76 MED18
69407 73 INGIND35
69408 43 IINF04
69409 98 FIS01
69410 41 INF01
69411 79 AGR03
69412 22 MAT01
69413 23 BIO10
69414 62 INF01
69415 93 MED18
69416 94 INGIND35
69417 28 IINF04
69418 25 MAT01
69419 95 INF01
69420 63 IINF04
69421 29 FIS01
69422 77 AGR03
69423 45 FIS01
69424 78 IINF04
69425 9 BIO10
69426 41 IINF04
69427 46 INGIND35
69428 2 IINF04
69429 91 AGR03
69430 32 BIO10
69431 100 CHIM02
69432 74 AGR03
69433 21 INF01
69434 16 MAT01
69435 28 AGR03
69436 60 FIS01
69437 75 INGIND35
69438 62 BIO10
69439 14 MED18
69440 90 INGIND35
69441 98 AGR03
69442 26 IINF05
69443 45 INF01
69444 93 MED18
69445 8 MED18
69446 62 MAT01
69447 23 CHIM02
69448 60 AGR03
69449 46 IINF05
69450 61 CHIM02
69451 39 BIO10
69452 25 IINF05
69453 22 CHIM02
69454 67 INGIND35
69455 62 INF01
69456 6 IINF05
69457 79 MAT01
69458 92 MAT01
69459 81 MED18
69460 88 IINF05
69461 59 INF01
69462 62 MAT01
69463 94 INGIND35
69464 18 IINF04
69465 40 AGR03
69466 32 BIO10
69467 29 INGIND35
69468 11 FIS01
69469 7 BIO10
69470 96 FIS01
69471 25 IINF04
69472 25 AGR03
69473 22 MAT01
69474 78 IINF04
69475 79 BIO10
69476 59 MED18
69477 22 INF01
69478 59 IINF05
69479 87 FIS01
69480 77 IINF05
69481 13 IINF04
69482 28 FIS01
69483 6 MED18
69484 49 MED18
69485 77 MED18
69486 33 INGIND35
69487 29 MED18
69488 49 FIS01
69489 35 CHIM02
69490 8 INF01
69491 5 AGR03
69492 94 INF01
69493 54 MED18
69494 96 FIS01
69495 25 INF01
69496 37 IINF04
69497 26 INGIND35
69498 55 IINF05
69499 5 MED18
69500 23 MED18
69501 71 CHIM02
69502 86 INGIND35
69503 86 IINF05
69504 95 IINF05
69505 86 IINF05
69506 13 BIO10
69507 12 INGIND35
69508 44 BIO10
69509 100 AGR03
69510 73 CHIM02
69511 37 MAT01
69512 8 MAT01
69513 16 INGIND35
69514 20 MED18
69515 21 INF01
69516 59 MAT01
69517 93 INF01
69518 53 MAT01
69519 44 INGIND35
69520 2 MED18
69521 15 MED18
69522 52 MAT01
69523 49 INGIND35
69524 5 AGR03
69525 86 INGIND35
69526 73 INGIND35
69527 2 BIO10
69528 15 MAT01
69529 36 MAT01
69530 57 INF01
69531 56 IINF04
69532 90 CHIM02
69533 72 MED18
69534 27 IINF05
69535 91 INGIND35
69536 50 MAT01
69537 32 CHIM02
69538 69 IINF04
69539 6 BIO10
69540 6 IINF04
69541 34 AGR03
69542 80 IINF05
69543 75 MAT01
69544 34 MED18
69545 35 IINF04
69546 67 CHIM02
69547 51 MED18
69548 55 CHIM02
69549 89 INGIND35
69550 16 INF01
69551 85 BIO10
69552 82 MED18
69553 92 INGIND35
69554 87 CHIM02
69555 44 IINF04
69556 44 CHIM02
69557 1 MED18
69558 93 FIS01
69559 20 CHIM02
69560 50 AGR03
69561 7 BIO10
69562 95 INF01
69563 83 MAT01
69564 77 CHIM02
69565 36 IINF04
69566 55 AGR03
69567 85 IINF05
69568 11 IINF05
69569 24 MED18
69570 39 AGR03
69571 70 IINF04
69572 23 BIO10
69573 52 MED18
69574 42 IINF04
69575 57 IINF04
69576 71 FIS01
69577 85 INF01
69578 15 FIS01
69579 44 CHIM02
69580 84 INGIND35
69581 1 MAT01
69582 51 AGR03
69583 13 IINF04
69584 75 BIO10
69585 14 IINF05
69586 10 IINF05
69587 14 MED18
69588 100 IINF04
69589 88 MAT01
69590 76 IINF05
69591 59 AGR03
69592 73 IINF04
69593 92 FIS01
69594 28 INF01
69595 8 BIO10
69596 10 IINF05
69597 1 MED18
69598 10 INGIND35
69599 69 INF01
69600 13 BIO10
69601 11 AGR03
69602 57 INGIND35
69603 84 MED18
69604 25 AGR03
69605 95 INF01
69606 38 AGR03
69607 71 IINF04
69608 100 AGR03
69609 49 INGIND35
69610 55 BIO10
69611 81 MAT01
69612 27 MAT01
69613 8 BIO10
69614 39 IINF05
69615 5 BIO10
69616 89 AGR03
69617 38 IINF04
69618 41 INF01
69619 16 MED18
69620 31 IINF05
69621 98 MAT01
69622 14 BIO10
69623 28 INGIND35
69624 91 IINF04
69625 36 INGIND35
69626 76 MAT01
69627 73 FIS01
69628 30 MAT01
69629 66 IINF05
69630 46 MAT01
69631 47 IINF04
69632 75 IINF04
69633 78 MED18
69634 58 IINF04
69635 51 CHIM02
69636 14 BIO10
69637 90 INF01
69638 25 INF01
69639 61 AGR03
69640 31 AGR03
69641 32 AGR03
69642 89 INF01
69643 47 IINF04
69644 91 MED18
69645 33 MAT01
69646 8 MED18
69647 78 FIS01
69648 14 INF01
69649 78 FIS01
69650 48 MED18
69651 45 INF01
69652 85 FIS01
69653 70 INF01
69654 8 CHIM02
69655 51 MED18
69656 58 IINF04
69657 91 AGR03
69658 60 FIS01
69659 41 IINF05
69660 18 CHIM02
69661 31 MED18
69662 91 AGR03
69663 85 MAT01
69664 14 INGIND35
69665 77 IINF04
69666 33 BIO10
69667 91 INF01
69668 40 FIS01
69669 59 MAT01
69670 33 CHIM02
69671 91 MAT01
69672 76 FIS01
69673 58 MAT01
69674 37 IINF05
69675 46 FIS01
69676 73 BIO10
69677 93 INF01
69678 51 FIS01
69679 52 AGR03
69680 18 IINF05
69681 39 IINF05
69682 95 CHIM02
69683 47 CHIM02
69684 42 BIO10
69685 98 INF01
69686 5 BIO10
69687 26 IINF04
69688 68 IINF05
69689 60 IINF04
69690 45 IINF04
69691 42 FIS01
69692 59 MED18
69693 60 BIO10
69694 94 IINF04
