9322 IINF01 1
78374 20 FIS01
78375 68 INF01
78376 89 IINF04
78377 94 BIO10
78378 98 MAT01
78379 55 FIS01
78380 16 CHIM02
78381 98 MED18
78382 12 MAT01
78383 33 MAT01
78384 50 MED18
78385 17 CHIM02
78386 17 BIO10
78387 80 IINF04
78388 37 INF01
78389 70 INF01
78390 56 INF01
78391 29 AGR03
78392 21 IINF05
78393 11 MED18
78394 25 INF01
78395 38 CHIM02
78396 91 CHIM02
78397 85 AGR03
78398 33 MED18
78399 13 MED18
78400 60 INF01
78401 9 BIO10
78402 90 MAT01
78403 11 IINF04
78404 19 MED18
78405 28 IINF04
78406 42 MED18
78407 10 FIS01
78408 90 INF01
78409 70 INF01
78410 26 MED18
78411 100 INF01
78412 49 CHIM02
78413 68 BIO10
78414 92 FIS01
78415 58 INF01
78416 76 IINF05
78417 80 BIO10
78418 3 INGIND35
78419 30 MED18
78420 21 IINF04
78421 26 MAT01
78422 34 MAT01
78423 45 AGR03
78424 24 FIS01
78425 52 IINF04
78426 15 IINF05
78427 93 MAT01
78428 16 MAT01
78429 80 INF01
78430 55 IINF05
78431 99 MED18
78432 92 BIO10
78433 65 MAT01
78434 42 CHIM02
78435 16 IINF05
78436 78 IINF04
78437 94 FIS01
78438 20 IINF04
78439 13 AGR03
78440 86 AGR03
78441 37 INF01
78442 53 FIS01
78443 58 INGIND35
78444 15 BIO10
78445 59 MAT01
78446 37 AGR03
78447 64 INF01
78448 76 IINF05
78449 54 CHIM02
78450 67 BIO10
78451 34 INGIND35
78452 51 FIS01
78453 75 MAT01
78454 54 INGIND35
78455 11 IINF05
78456 7 CHIM02
78457 13 BIO10
78458 70 INGIND35
78459 60 CHIM02
78460 79 IINF04
78461 41 MAT01
78462 57 IINF04
78463 60 INF01
78464 71 MED18
78465 48 IINF04
78466 14 IINF05
78467 68 IINF05
78468 41 MAT01
78469 73 CHIM02
78470 88 IINF04
78471 78 INF01
78472 88 FIS01
78473 86 BIO10
78474 84 IINF05
78475 46 IINF05
78476 6 INF01
78477 2 INGIND35
78478 16 INF01
78479 55 MED18
78480 38 AGR03
78481 67 BIO10
78482 80 INF01
78483 2 CHIM02
78484 40 IINF04
78485 98 MED18
78486 45 AGR03
78487 99 AGR03
78488 56 IINF05
78489 42 IINF05
78490 27 INF01
78491 67 INGIND35
78492 55 INF01
78493 29 INF01
78494 44 INGIND35
78495 69 IINF04
78496 82 MED18
78497 25 CHIM02
78498 68 IINF05
78499 10 IINF05
78500 69 MAT01
78501 68 BIO10
78502 47 IINF04
78503 70 MED18
78504 43 MAT01
78505 61 IINF04
78506 30 INGIND35
78507 27 BIO10
78508 56 AGR03
78509 69 INGIND35
78510 30 FIS01
78511 7 IINF04
78512 69 IINF04
78513 15 FIS01
78514 52 MAT01
78515 63 IINF05
78516 12 INF01
78517 73 FIS01
78518 16 IINF04
78519 57 MED18
78520 15 INF01
78521 17 IINF04
78522 49 IINF04
78523 76 IINF04
78524 63 BIO10
78525 57 FIS01
78526 86 BIO10
78527 58 MAT01
78528 1 CHIM02
78529 78 AGR03
78530 98 MED18
78531 54 CHIM02
78532 87 FIS01
78533 56 AGR03
78534 94 MAT01
78535 36 AGR03
78536 72 AGR03
78537 29 IINF05
78538 98 IINF05
78539 25 BIO10
78540 11 IINF05
78541 98 INGIND35
78542 61 IINF04
78543 39 FIS01
78544 80 FIS01
78545 18 CHIM02
78546 67 AGR03
78547 80 IINF04
78548 26 FIS01
78549 91 IINF05
78550 67 BIO10
78551 13 MAT01
78552 74 INGIND35
78553 84 FIS01
78554 69 BIO10
78555 74 MAT01
78556 75 IINF04
78557 94 IINF04
78558 39 IINF05
78559 16 MED18
78560 60 INF01
78561 90 MAT01
78562 64 BIO10
78563 93 MED18
78564 83 AGR03
78565 29 BIO10
78566 11 BIO10
78567 96 INF01
78568 74 CHIM02
78569 19 INF01
78570 81 IINF05
78571 8 INF01
78572 17 FIS01
78573 66 MAT01
78574 69 MAT01
78575 60 BIO10
78576 77 CHIM02
78577 36 IINF04
78578 29 MAT01
78579 3 AGR03
78580 57 IINF04
78581 68 MAT01
78582 86 CHIM02
78583 37 BIO10
78584 17 IINF05
78585 58 MED18
78586 93 FIS01
78587 40 INF01
78588 26 BIO10
78589 18 AGR03
78590 64 MED18
78591 36 MED18
78592 11 IINF04
78593 70 BIO10
78594 42 BIO10
78595 63 FIS01
78596 7 MED18
78597 3 AGR03
78598 30 CHIM02
78599 4 CHIM02
78600 14 MAT01
78601 40 FIS01
78602 50 MAT01
78603 86 IINF04
78604 48 AGR03
78605 78 MED18
78606 82 INF01
78607 43 FIS01
78608 97 INGIND35
78609 42 FIS01
78610 22 IINF04
78611 13 MED18
78612 98 INGIND35
78613 47 INF01
78614 98 IINF04
78615 80 FIS01
78616 5 IINF05
78617 93 MED18
78618 16 FIS01
78619 14 INGIND35
78620 28 CHIM02
78621 5 INGIND35
78622 32 CHIM02
78623 90 IINF04
78624 92 IINF04
78625 83 BIO10
78626 95 FIS01
78627 98 INGIND35
78628 11 BIO10
78629 56 CHIM02
78630 43 IINF04
78631 82 IINF05
78632 59 INF01
78633 28 AGR03
78634 73 MED18
78635 39 IINF05
78636 7 CHIM02
78637 30 BIO10
78638 10 INF01
78639 69 INF01
78640 17 MED18
78641 9 IINF05
78642 98 IINF04
78643 3 IINF04
78644 14 MED18
78645 100 IINF05
78646 82 BIO10
78647 96 INGIND35
78648 5 BIO10
78649 58 IINF04
78650 94 IINF04
78651 94 CHIM02
78652 91 BIO10
78653 100 INGIND35
78654 13 AGR03
78655 45 INGIND35
78656 79 IINF04
78657 41 CHIM02
78658 37 CHIM02
78659 10 BIO10
78660 88 FIS01
78661 99 MAT01
78662 36 FIS01
78663 72 AGR03
78664 63 BIO10
78665 60 MED18
78666 76 FIS01
78667 31 FIS01
78668 92 INGIND35
78669 6 CHIM02
78670 94 IINF04
78671 88 AGR03
78672 47 INF01
78673 23 FIS01
78674 61 IINF05
78675 19 MAT01
78676 87 INGIND35
78677 87 AGR03
78678 38 AGR03
78679 61 AGR03
78680 38 INF01
78681 51 IINF05
78682 51 IINF04
78683 56 FIS01
78684 52 MED18
78685 24 INGIND35
78686 23 MAT01
78687 74 CHIM02
78688 62 IINF05
78689 27 INGIND35
78690 81 FIS01
78691 81 MAT01
78692 35 FIS01
78693 40 IINF04
78694 77 IINF05
78695 6 IINF05
78696 77 IINF04
78697 94 FIS01
78698 7 CHIM02
78699 94 INGIND35
78700 92 BIO10
78701 77 AGR03
78702 97 INF01
78703 56 INF01
78704 13 CHIM02
78705 33 AGR03
78706 13 AGR03
78707 7 MAT01
78708 47 IINF05
78709 82 BIO10
78710 36 FIS01
78711 99 INF01
78712 57 CHIM02
78713 58 IINF05
78714 63 INF01
78715 17 FIS01
78716 42 IINF05
78717 15 MED18
78718 69 MED18
78719 37 IINF04
78720 87 AGR03
78721 96 MAT01
78722 1 BIO10
78723 3 FIS01
78724 43 FIS01
78725 5 MAT01
78726 65 IINF05
78727 51 FIS01
78728 2 INF01
78729 65 INGIND35
78730 26 INF01
78731 43 BIO10
78732 61 FIS01
78733 32 INF01
78734 89 MED18
78735 64 BIO10
78736 83 BIO10
78737 61 MED18
78738 14 MAT01
78739 35 FIS01
78740 27 INF01
78741 17 FIS01
78742 3 IINF04
78743 79 CHIM02
78744 84 FIS01
78745 57 FIS01
78746 56 MAT01
78747 96 INF01
78748 28 IINF05
78749 1 INF01
78750 32 IINF05
78751 63 MAT01
78752 79 FIS01
78753 54 INF01
78754 23 AGR03
78755 38 MED18
78756 76 INF01
78757 10 MED18
78758 73 FIS01
78759 79 IINF04
78760 79 CHIM02
78761 90 AGR03
78762 88 MAT01
78763 80 INF01
78764 19 INGIND35
78765 17 CHIM02
78766 64 BIO10
78767 1 CHIM02
78768 56 BIO10
78769 6 CHIM02
78770 8 IINF04
78771 96 INF01
78772 72 INGIND35
78773 92 IINF04
78774 90 MED18
78775 76 CHIM02
78776 88 FIS01
78777 53 IINF04
78778 72 BIO10
78779 77 INF01
78780 3 AGR03
78781 9 IINF05
78782 22 INF01
78783 68 MAT01
78784 46 CHIM02
78785 64 CHIM02
78786 46 MAT01
78787 24 INGIND35
78788 43 FIS01
78789 17 CHIM02
78790 23 IINF05
78791 8 BIO10
78792 61 CHIM02
78793 44 IINF05
78794 21 CHIM02
78795 100 INGIND35
78796 29 IINF05
78797 25 INF01
78798 17 CHIM02
78799 24 INF01
78800 59 INGIND35
78801 24 INF01
78802 44 IINF04
78803 52 IINF05
78804 72 MAT01
78805 98 MED18
78806 92 MED18
78807 91 INF01
78808 83 BIO10
78809 69 AGR03
78810 28 MED18
78811 94 BIO10
78812 7 CHIM02
78813 44 INF01
78814 77 MED18
78815 53 BIO10
78816 79 FIS01
78817 100 INGIND35
78818 54 AGR03
78819 84 FIS01
78820 11 IINF04
78821 58 MAT01
78822 54 IINF05
78823 22 FIS01
78824 79 FIS01
78825 60 FIS01
78826 63 INF01
78827 56 AGR03
78828 15 AGR03
78829 37 BIO10
78830 69 INGIND35
78831 73 FIS01
78832 71 MAT01
78833 35 MED18
78834 84 IINF04
78835 88 MAT01
78836 97 AGR03
78837 95 IINF04
78838 50 INGIND35
78839 37 BIO10
78840 25 AGR03
78841 2 BIO10
78842 96 FIS01
78843 74 INGIND35
78844 92 BIO10
78845 84 MED18
78846 20 MAT01
78847 11 IINF05
78848 98 AGR03
78849 77 INF01
78850 74 INGIND35
78851 100 CHIM02
78852 7 CHIM02
78853 9 INGIND35
78854 52 MED18
78855 68 MAT01
78856 71 FIS01
78857 82 INGIND35
78858 63 FIS01
78859 28 MED18
78860 78 IINF04
78861 57 IINF04
78862 20 IINF05
78863 82 AGR03
78864 94 MED18
78865 75 MED18
78866 36 INGIND35
78867 61 IINF04
78868 95 AGR03
78869 22 INF01
78870 98 BIO10
78871 98 BIO10
78872 56 FIS01
78873 10 INGIND35
78874 55 BIO10
78875 33 AGR03
78876 2 CHIM02
78877 18 MAT01
78878 78 AGR03
78879 61 INGIND35
78880 86 BIO10
78881 30 MAT01
78882 53 IINF05
78883 90 MED18
78884 20 INF01
78885 47 CHIM02
78886 3 FIS01
78887 58 CHIM02
78888 53 AGR03
78889 74 BIO10
78890 60 MAT01
78891 45 MAT01
78892 20 MED18
78893 82 MED18
78894 27 IINF04
78895 75 IINF04
78896 97 CHIM02
78897 49 BIO10
78898 36 FIS01
78899 43 IINF04
78900 52 BIO10
78901 43 CHIM02
78902 59 CHIM02
78903 5 IINF05
78904 69 IINF05
78905 79 IINF04
78906 61 CHIM02
78907 15 IINF05
78908 81 AGR03
78909 99 FIS01
78910 2 IINF04
78911 50 FIS01
78912 47 INGIND35
78913 53 MED18
78914 7 IINF05
78915 47 MAT01
78916 79 MED18
78917 32 FIS01
78918 31 IINF04
78919 78 CHIM02
78920 12 BIO10
78921 49 AGR03
78922 40 FIS01
78923 66 INGIND35
78924 76 AGR03
78925 41 MAT01
78926 8 BIO10
78927 63 BIO10
78928 11 BIO10
78929 24 MAT01
78930 38 MED18
78931 67 CHIM02
78932 57 INGIND35
78933 94 MED18
78934 67 INF01
78935 99 INF01
78936 88 FIS01
78937 14 BIO10
78938 2 IINF04
78939 34 CHIM02
78940 9 MAT01
78941 87 FIS01
78942 85 MED18
78943 69 MAT01
78944 60 FIS01
78945 87 INF01
78946 41 BIO10
78947 10 BIO10
78948 26 FIS01
78949 29 CHIM02
78950 73 IINF05
78951 49 MED18
78952 76 BIO10
78953 31 INGIND35
78954 77 MAT01
78955 10 INGIND35
78956 27 INF01
78957 81 BIO10
78958 41 MAT01
78959 83 INF01
78960 47 INF01
78961 16 FIS01
78962 56 MAT01
78963 93 IINF05
78964 67 CHIM02
78965 17 IINF04
78966 45 IINF05
78967 18 INF01
78968 77 MED18
78969 36 IINF05
78970 53 MED18
78971 74 MED18
78972 66 IINF04
78973 12 INF01
78974 32 MAT01
78975 48 MED18
78976 59 MED18
78977 87 AGR03
78978 57 AGR03
78979 66 IINF04
78980 32 BIO10
78981 6 INGIND35
78982 92 CHIM02
78983 48 INGIND35
78984 57 IINF04
78985 82 IINF04
78986 62 MAT01
78987 47 INF01
78988 66 IINF04
78989 91 IINF05
78990 59 INGIND35
78991 16 IINF04
78992 49 MED18
78993 26 IINF04
78994 47 IINF05
78995 63 IINF04
78996 6 INF01
78997 14 BIO10
78998 15 IINF04
78999 56 IINF05
79000 54 MAT01
79001 74 IINF05
79002 97 BIO10
79003 60 FIS01
79004 70 IINF04
79005 92 IINF04
79006 95 INF01
79007 50 MED18
79008 81 MED18
79009 54 CHIM02
79010 62 MED18
79011 88 AGR03
79012 96 FIS01
79013 98 MED18
79014 38 MAT01
79015 30 IINF04
79016 94 IINF05
79017 86 MED18
79018 75 MED18
79019 1 CHIM02
79020 43 BIO10
79021 55 BIO10
79022 33 AGR03
79023 64 BIO10
79024 27 AGR03
79025 53 IINF04
79026 25 IINF05
79027 19 CHIM02
79028 65 MED18
79029 88 IINF05
79030 35 CHIM02
79031 83 CHIM02
79032 7 BIO10
79033 1 AGR03
79034 37 IINF05
79035 32 INF01
79036 53 FIS01
79037 79 CHIM02
79038 66 MED18
79039 13 IINF05
79040 12 MAT01
79041 68 MAT01
79042 23 MAT01
79043 68 MAT01
79044 85 INGIND35
79045 45 INF01
79046 13 FIS01
79047 36 AGR03
79048 94 BIO10
79049 88 FIS01
79050 75 CHIM02
79051 84 BIO10
79052 19 MAT01
79053 98 MED18
79054 43 BIO10
79055 52 IINF04
79056 49 MAT01
79057 73 MED18
79058 71 IINF04
79059 85 AGR03
79060 24 MAT01
79061 2 IINF05
79062 10 BIO10
79063 70 INF01
79064 63 IINF05
79065 79 MAT01
79066 52 IINF05
79067 42 CHIM02
79068 61 AGR03
79069 93 BIO10
79070 6 INF01
79071 63 INGIND35
79072 55 INGIND35
79073 76 AGR03
79074 82 IINF04
79075 45 MAT01
79076 11 BIO10
79077 69 CHIM02
79078 46 IINF04
79079 38 IINF04
79080 35 CHIM02
79081 80 INF01
79082 68 MAT01
79083 58 INF01
79084 18 IINF04
79085 32 INF01
79086 33 INF01
79087 49 INGIND35
79088 87 INGIND35
79089 81 FIS01
79090 64 IINF04
79091 65 BIO10
79092 18 MED18
79093 71 IINF04
79094 14 IINF05
79095 10 MED18
79096 45 INF01
79097 86 INGIND35
79098 54 MAT01
79099 91 MED18
79100 53 CHIM02
79101 8 INF01
79102 100 MAT01
79103 79 AGR03
79104 89 AGR03
79105 57 FIS01
79106 94 INGIND35
79107 82 IINF04
79108 81 BIO10
79109 49 INF01
79110 66 INF01
79111 52 FIS01
79112 40 BIO10
79113 64 INF01
79114 29 MED18
79115 71 CHIM02
79116 52 AGR03
79117 8 CHIM02
79118 67 FIS01
79119 89 MED18
79120 90 AGR03
79121 21 FIS01
79122 22 INF01
79123 44 MED18
79124 8 AGR03
79125 19 IINF04
79126 58 CHIM02
79127 80 INGIND35
79128 34 FIS01
79129 75 BIO10
79130 71 BIO10
79131 2 AGR03
79132 97 IINF04
79133 48 MED18
79134 11 IINF04
79135 33 IINF04
79136 59 MAT01
79137 41 FIS01
79138 67 AGR03
79139 5 FIS01
79140 61 FIS01
79141 33 FIS01
79142 52 IINF05
79143 40 CHIM02
79144 81 MAT01
79145 79 FIS01
79146 73 MAT01
79147 11 IINF04
79148 37 FIS01
79149 47 IINF05
79150 58 MED18
79151 41 AGR03
79152 35 INF01
79153 14 CHIM02
79154 15 CHIM02
79155 70 MAT01
79156 77 AGR03
79157 32 IINF04
79158 94 MED18
79159 35 IINF05
79160 5 CHIM02
79161 78 BIO10
79162 95 MED18
79163 47 BIO10
79164 75 FIS01
79165 7 INF01
79166 64 AGR03
79167 65 FIS01
79168 65 INGIND35
79169 10 IINF04
79170 82 IINF05
79171 41 FIS01
79172 59 MED18
79173 8 MED18
79174 64 INGIND35
79175 89 MAT01
79176 33 INGIND35
79177 49 CHIM02
79178 86 IINF05
79179 72 CHIM02
79180 7 IINF05
79181 79 BIO10
79182 93 MED18
79183 47 IINF05
79184 22 IINF04
79185 81 INF01
79186 96 BIO10
79187 30 BIO10
79188 68 CHIM02
79189 21 BIO10
79190 59 INF01
79191 17 BIO10
79192 87 CHIM02
79193 75 INGIND35
79194 55 MAT01
79195 26 MED18
79196 17 MED18
79197 56 INGIND35
79198 7 IINF05
79199 15 IINF05
79200 74 FIS01
79201 16 IINF05
79202 15 IINF05
79203 31 MED18
79204 43 BIO10
79205 95 AGR03
79206 41 BIO10
79207 68 IINF04
79208 90 IINF04
79209 84 FIS01
79210 85 IINF04
79211 82 INF01
79212 46 CHIM02
79213 68 MED18
79214 12 INF01
79215 32 INGIND35
79216 65 BIO10
79217 66 CHIM02
79218 85 INF01
79219 36 FIS01
79220 90 CHIM02
79221 64 IINF04
79222 9 BIO10
79223 69 IINF04
79224 1 IINF05
79225 96 FIS01
79226 44 CHIM02
79227 30 AGR03
79228 8 IINF05
79229 83 IINF04
79230 47 FIS01
79231 30 INF01
79232 47 IINF05
79233 88 IINF05
79234 15 CHIM02
79235 50 INF01
79236 82 INGIND35
79237 42 INF01
79238 63 INF01
79239 93 MAT01
79240 87 FIS01
79241 91 AGR03
79242 73 FIS01
79243 71 IINF04
79244 62 AGR03
79245 38 IINF05
79246 73 INGIND35
79247 22 AGR03
79248 35 AGR03
79249 37 BIO10
79250 6 AGR03
79251 16 CHIM02
79252 54 CHIM02
79253 79 BIO10
79254 32 IINF04
79255 90 MED18
79256 58 IINF05
79257 94 IINF04
79258 72 CHIM02
79259 60 MAT01
79260 63 CHIM02
79261 28 INGIND35
79262 100 MED18
79263 46 INGIND35
79264 44 FIS01
79265 56 MED18
79266 94 BIO10
79267 87 IINF04
79268 76 BIO10
79269 88 AGR03
79270 46 IINF04
79271 34 FIS01
79272 49 INGIND35
79273 82 AGR03
79274 50 FIS01
79275 49 MED18
79276 49 FIS01
79277 91 INGIND35
79278 11 AGR03
79279 37 FIS01
79280 14 INGIND35
79281 25 MED18
79282 58 FIS01
79283 66 MED18
79284 50 AGR03
79285 79 FIS01
79286 63 INGIND35
79287 89 MED18
79288 59 BIO10
79289 34 MED18
79290 24 BIO10
79291 22 MAT01
79292 78 INGIND35
79293 44 CHIM02
79294 14 IINF04
79295 24 IINF05
79296 98 IINF05
79297 3 IINF04
79298 51 AGR03
79299 50 BIO10
79300 60 AGR03
79301 68 AGR03
79302 33 MAT01
79303 12 IINF04
79304 58 FIS01
79305 18 MAT01
79306 74 IINF05
79307 60 MAT01
79308 54 MAT01
79309 71 FIS01
79310 78 INGIND35
79311 8 INGIND35
79312 12 MED18
79313 52 INGIND35
79314 14 BIO10
79315 97 FIS01
79316 87 MED18
79317 17 AGR03
79318 98 INF01
79319 23 MAT01
79320 98 AGR03
79321 35 MAT01
79322 20 MED18
79323 41 IINF04
79324 55 INF01
79325 31 INF01
79326 24 IINF04
79327 21 MED18
79328 86 MED18
79329 10 CHIM02
79330 63 BIO10
79331 26 IINF05
79332 79 INGIND35
79333 76 INGIND35
79334 64 IINF04
79335 3 IINF05
79336 29 INF01
79337 82 FIS01
79338 33 MED18
79339 82 INGIND35
79340 32 INGIND35
79341 89 MAT01
79342 57 INF01
79343 9 INGIND35
79344 9 AGR03
79345 95 MED18
79346 98 BIO10
79347 57 AGR03
79348 93 IINF04
79349 71 FIS01
79350 71 MED18
79351 31 INGIND35
79352 25 AGR03
79353 84 BIO10
79354 32 MAT01
79355 69 AGR03
79356 85 BIO10
79357 89 IINF05
79358 99 FIS01
79359 88 BIO10
79360 92 BIO10
79361 19 MED18
79362 42 CHIM02
79363 40 INF01
79364 81 BIO10
79365 75 MAT01
79366 76 INGIND35
79367 98 INGIND35
79368 66 INGIND35
79369 34 MED18
79370 22 CHIM02
79371 45 FIS01
79372 30 INGIND35
79373 73 FIS01
79374 62 FIS01
79375 53 AGR03
79376 7 IINF05
79377 2 AGR03
79378 57 MED18
79379 57 IINF05
79380 66 CHIM02
79381 11 CHIM02
79382 50 BIO10
79383 94 CHIM02
79384 47 FIS01
79385 67 IINF05
79386 82 BIO10
79387 19 FIS01
79388 45 AGR03
79389 15 IINF04
79390 42 MED18
79391 87 AGR03
79392 25 MED18
79393 54 AGR03
79394 64 IINF05
79395 70 INGIND35
79396 98 IINF04
79397 91 MAT01
79398 65 MAT01
79399 12 MAT01
79400 49 MED18
79401 41 MAT01
79402 34 INF01
79403 11 AGR03
79404 15 IINF05
79405 43 INGIND35
79406 79 INGIND35
79407 63 INF01
79408 40 CHIM02
79409 37 BIO10
79410 26 MAT01
79411 8 INGIND35
79412 16 AGR03
79413 29 AGR03
79414 83 AGR03
79415 60 INGIND35
79416 8 IINF05
79417 12 INGIND35
79418 11 INGIND35
79419 44 INGIND35
79420 71 IINF05
79421 26 IINF04
79422 45 IINF05
79423 69 MAT01
79424 15 IINF04
79425 4 MAT01
79426 60 CHIM02
79427 44 BIO10
79428 55 MAT01
79429 8 CHIM02
79430 41 BIO10
79431 77 IINF05
79432 3 IINF05
79433 68 BIO10
79434 25 INGIND35
79435 20 MAT01
79436 53 BIO10
79437 94 FIS01
79438 27 IINF05
79439 69 CHIM02
79440 88 CHIM02
79441 1 AGR03
79442 35 IINF04
79443 77 INF01
79444 48 IINF05
79445 30 FIS01
79446 46 AGR03
79447 100 MAT01
79448 42 INGIND35
79449 88 INGIND35
79450 29 AGR03
79451 7 INGIND35
79452 89 MED18
79453 73 IINF04
79454 13 BIO10
79455 81 BIO10
79456 83 FIS01
79457 48 MED18
79458 92 IINF05
79459 26 MAT01
79460 93 BIO10
79461 98 INGIND35
79462 95 AGR03
79463 16 MED18
79464 27 IINF05
79465 67 INGIND35
79466 31 CHIM02
79467 30 IINF05
79468 61 FIS01
79469 3 IINF04
79470 14 BIO10
79471 89 FIS01
79472 57 BIO10
79473 78 AGR03
79474 36 CHIM02
79475 23 BIO10
79476 35 INF01
79477 91 CHIM02
79478 92 IINF04
79479 90 INF01
79480 65 AGR03
79481 90 IINF05
79482 49 MED18
79483 84 CHIM02
79484 2 BIO10
79485 20 IINF04
79486 55 MAT01
79487 91 IINF04
79488 86 INF01
79489 99 CHIM02
79490 46 CHIM02
79491 12 AGR03
79492 82 INGIND35
79493 9 CHIM02
79494 7 IINF05
79495 84 INGIND35
79496 85 IINF05
79497 85 CHIM02
79498 61 BIO10
79499 25 CHIM02
79500 54 FIS01
79501 75 MAT01
79502 25 IINF05
79503 41 MAT01
79504 99 INGIND35
79505 73 IINF05
79506 89 CHIM02
79507 46 CHIM02
79508 52 FIS01
79509 59 MED18
79510 54 INF01
79511 67 IINF04
79512 12 IINF04
79513 42 FIS01
79514 95 BIO10
79515 12 BIO10
79516 45 CHIM02
79517 37 IINF04
79518 89 FIS01
79519 4 FIS01
79520 47 INF01
79521 70 FIS01
79522 49 FIS01
79523 89 INF01
79524 71 FIS01
79525 67 BIO10
79526 73 BIO10
79527 66 IINF04
79528 44 CHIM02
79529 85 CHIM02
79530 12 INGIND35
79531 34 INGIND35
79532 41 IINF04
79533 12 INGIND35
79534 45 MAT01
79535 30 AGR03
79536 40 IINF05
79537 78 INGIND35
79538 81 MED18
79539 19 INF01
79540 29 IINF05
79541 12 AGR03
79542 18 INGIND35
79543 39 AGR03
79544 51 CHIM02
79545 91 IINF05
79546 83 IINF05
79547 43 IINF05
79548 69 FIS01
79549 61 MAT01
79550 55 FIS01
79551 40 MAT01
79552 8 INF01
79553 36 CHIM02
79554 23 MED18
79555 99 IINF04
79556 7 CHIM02
79557 3 INGIND35
79558 99 IINF04
79559 49 IINF05
79560 91 BIO10
79561 80 INF01
79562 92 MED18
79563 63 CHIM02
79564 84 INF01
79565 14 IINF05
79566 90 AGR03
79567 38 IINF04
79568 29 MAT01
79569 91 BIO10
79570 85 AGR03
79571 18 IINF04
79572 95 IINF05
79573 98 INGIND35
79574 4 INF01
79575 99 FIS01
79576 9 CHIM02
79577 12 INF01
79578 79 IINF04
79579 60 CHIM02
79580 89 FIS01
79581 52 FIS01
79582 35 CHIM02
79583 94 INGIND35
79584 55 MAT01
79585 36 MAT01
79586 91 INF01
79587 78 MAT01
79588 9 INGIND35
79589 79 INF01
79590 28 MED18
79591 29 IINF04
79592 20 IINF05
79593 25 FIS01
79594 22 IINF04
79595 16 MAT01
79596 85 INGIND35
79597 48 MED18
79598 5 IINF04
79599 72 MAT01
79600 99 INGIND35
79601 98 IINF04
79602 60 FIS01
79603 17 FIS01
79604 82 MAT01
79605 97 AGR03
79606 54 MED18
79607 28 CHIM02
79608 69 INGIND35
79609 43 INF01
79610 75 FIS01
79611 5 AGR03
79612 26 INF01
79613 14 INGIND35
79614 33 INGIND35
79615 59 CHIM02
79616 40 FIS01
79617 62 MAT01
79618 41 AGR03
79619 60 INF01
79620 77 INF01
79621 10 BIO10
79622 16 IINF04
79623 1 CHIM02
79624 100 FIS01
79625 96 FIS01
79626 34 BIO10
79627 44 INGIND35
79628 23 MED18
79629 80 BIO10
79630 2 IINF05
79631 20 IINF04
79632 44 IINF04
79633 75 AGR03
79634 42 INF01
79635 91 MED18
79636 34 MAT01
79637 5 MAT01
79638 42 INF01
79639 67 IINF04
79640 22 INGIND35
79641 15 IINF04
79642 92 IINF04
79643 56 FIS01
79644 19 BIO10
79645 16 MED18
79646 100 AGR03
79647 57 MED18
