9678 MED18 4
38330 99 IINF05
38331 34 BIO10
38332 66 IINF05
38333 93 MED18
38334 73 AGR03
38335 99 FIS01
38336 38 IINF04
38337 92 MED18
38338 78 INGIND35
38339 17 BIO10
38340 27 MED18
38341 13 FIS01
38342 34 MED18
38343 82 MAT01
38344 39 IINF05
38345 50 MED18
38346 31 CHIM02
38347 50 IINF04
38348 92 IINF04
38349 95 IINF04
38350 31 IINF04
38351 8 BIO10
38352 49 MAT01
38353 85 INF01
38354 27 MED18
38355 76 IINF05
38356 76 FIS01
38357 83 AGR03
38358 62 MAT01
38359 92 MAT01
38360 59 IINF04
38361 41 MAT01
38362 65 FIS01
38363 39 IINF04
38364 25 MED18
38365 90 INGIND35
38366 61 BIO10
38367 93 INGIND35
38368 26 CHIM02
38369 38 IINF04
38370 99 INF01
38371 62 MAT01
38372 19 CHIM02
38373 97 INGIND35
38374 17 FIS01
38375 16 CHIM02
38376 94 INGIND35
38377 63 IINF05
38378 78 INF01
38379 94 BIO10
38380 10 IINF04
38381 25 CHIM02
38382 12 MAT01
38383 51 INGIND35
38384 87 CHIM02
38385 15 IINF04
38386 29 AGR03
38387 3 MAT01
38388 36 BIO10
38389 34 FIS01
38390 63 AGR03
38391 87 MED18
38392 66 AGR03
38393 79 INF01
38394 67 IINF04
38395 9 IINF04
38396 32 AGR03
38397 26 CHIM02
38398 74 IINF05
38399 46 CHIM02
38400 46 IINF04
38401 3 MAT01
38402 3 IINF05
38403 69 AGR03
38404 85 AGR03
38405 45 FIS01
38406 18 MED18
38407 17 AGR03
38408 17 BIO10
38409 73 FIS01
38410 88 BIO10
38411 90 MED18
38412 91 IINF04
38413 1 INF01
38414 58 MAT01
38415 32 INF01
38416 84 MED18
38417 79 INGIND35
38418 100 IINF04
38419 94 MED18
38420 16 MED18
38421 97 INF01
38422 37 IINF05
38423 85 AGR03
38424 48 FIS01
38425 87 INGIND35
38426 49 MAT01
38427 50 IINF05
38428 36 BIO10
38429 12 CHIM02
38430 41 IINF05
38431 52 BIO10
38432 2 IINF04
38433 25 IINF04
38434 58 IINF04
38435 31 INF01
38436 33 FIS01
38437 61 IINF05
38438 47 CHIM02
38439 36 INF01
38440 69 MAT01
38441 2 MAT01
38442 52 IINF04
38443 12 AGR03
38444 75 MED18
38445 86 INGIND35
38446 30 BIO10
38447 69 CHIM02
38448 43 INF01
38449 38 MED18
38450 64 MED18
38451 83 AGR03
38452 75 AGR03
38453 58 INGIND35
38454 15 INF01
38455 32 INF01
38456 65 MED18
38457 92 INGIND35
38458 29 IINF04
38459 94 CHIM02
38460 89 INF01
38461 57 CHIM02
38462 24 BIO10
38463 75 IINF04
38464 40 INGIND35
38465 36 IINF04
38466 16 BIO10
38467 64 INGIND35
38468 4 IINF05
38469 61 AGR03
38470 62 AGR03
38471 44 IINF05
38472 100 MAT01
38473 3 BIO10
38474 69 FIS01
38475 5 INGIND35
38476 28 FIS01
38477 21 CHIM02
38478 81 MAT01
38479 38 CHIM02
38480 23 MED18
38481 70 INF01
38482 100 IINF05
38483 25 MAT01
38484 85 AGR03
38485 7 INGIND35
38486 42 FIS01
38487 56 AGR03
38488 6 INGIND35
38489 79 IINF05
38490 18 CHIM02
38491 79 MED18
38492 82 INGIND35
38493 51 FIS01
38494 36 INGIND35
38495 100 CHIM02
38496 62 MAT01
38497 55 INGIND35
38498 35 CHIM02
38499 26 MED18
38500 44 CHIM02
38501 4 CHIM02
38502 90 FIS01
38503 32 BIO10
38504 66 BIO10
38505 3 FIS01
38506 33 INF01
38507 17 BIO10
38508 2 CHIM02
38509 7 FIS01
38510 14 MAT01
38511 70 INGIND35
38512 80 FIS01
38513 33 MED18
38514 72 MAT01
38515 75 BIO10
38516 99 INF01
38517 15 MAT01
38518 18 IINF05
38519 47 FIS01
38520 63 INGIND35
38521 88 INF01
38522 94 FIS01
38523 85 MAT01
38524 75 INGIND35
38525 51 INGIND35
38526 70 MAT01
38527 89 BIO10
38528 53 MED18
38529 49 MAT01
38530 55 IINF05
38531 2 MED18
38532 59 MAT01
38533 7 IINF05
38534 61 BIO10
38535 47 IINF04
38536 90 INF01
38537 17 AGR03
38538 61 CHIM02
38539 18 AGR03
38540 92 MED18
38541 3 IINF05
38542 26 MAT01
38543 16 INF01
38544 43 BIO10
38545 59 FIS01
38546 53 BIO10
38547 94 FIS01
38548 95 INF01
38549 82 FIS01
38550 51 FIS01
38551 45 BIO10
38552 76 AGR03
38553 81 CHIM02
38554 25 INGIND35
38555 94 MAT01
38556 55 INGIND35
38557 84 INF01
38558 51 FIS01
38559 9 IINF04
38560 99 IINF04
38561 71 IINF04
38562 29 INF01
38563 70 AGR03
38564 1 FIS01
38565 82 IINF04
38566 6 IINF04
38567 27 MAT01
38568 67 MAT01
38569 78 IINF05
38570 30 IINF04
38571 84 MAT01
38572 38 AGR03
38573 57 MAT01
38574 59 FIS01
38575 74 BIO10
38576 10 INGIND35
38577 66 BIO10
38578 78 FIS01
38579 48 INGIND35
38580 9 BIO10
38581 47 INGIND35
38582 100 INGIND35
38583 33 FIS01
38584 93 CHIM02
38585 51 AGR03
38586 50 INGIND35
38587 47 AGR03
38588 5 CHIM02
38589 34 IINF05
38590 69 CHIM02
38591 15 BIO10
38592 8 BIO10
38593 57 FIS01
38594 33 IINF05
38595 25 FIS01
38596 87 BIO10
38597 25 BIO10
38598 91 FIS01
38599 96 FIS01
38600 37 MED18
38601 85 AGR03
38602 67 AGR03
38603 29 MED18
38604 85 BIO10
38605 51 BIO10
38606 82 IINF05
38607 18 FIS01
38608 53 INF01
38609 84 CHIM02
38610 45 CHIM02
38611 90 CHIM02
38612 16 BIO10
38613 27 INF01
38614 1 MAT01
38615 83 INGIND35
38616 76 FIS01
38617 50 IINF05
38618 96 INF01
38619 67 IINF05
38620 60 MED18
38621 89 INGIND35
38622 73 MED18
38623 72 AGR03
38624 90 IINF04
38625 94 AGR03
38626 5 INGIND35
38627 68 MAT01
38628 15 CHIM02
38629 23 FIS01
38630 77 INF01
38631 58 MAT01
38632 37 FIS01
38633 48 IINF04
38634 27 BIO10
38635 68 AGR03
38636 23 IINF04
38637 88 BIO10
38638 76 AGR03
38639 68 IINF05
38640 100 FIS01
38641 34 AGR03
38642 11 CHIM02
38643 64 IINF04
38644 58 MAT01
38645 53 MED18
38646 90 MED18
38647 22 CHIM02
38648 9 IINF04
38649 55 AGR03
38650 88 INGIND35
38651 11 IINF04
38652 2 CHIM02
38653 13 INGIND35
38654 15 CHIM02
38655 85 INGIND35
38656 74 IINF04
38657 77 CHIM02
38658 91 CHIM02
38659 96 IINF04
38660 18 MAT01
38661 7 MED18
38662 45 IINF05
38663 83 AGR03
38664 61 MED18
38665 75 MED18
38666 80 MAT01
38667 22 AGR03
38668 11 INGIND35
38669 74 BIO10
38670 91 MED18
38671 68 INF01
38672 31 CHIM02
38673 72 CHIM02
38674 96 IINF05
38675 88 BIO10
38676 11 INGIND35
38677 64 CHIM02
38678 53 IINF05
38679 89 MAT01
38680 18 MAT01
38681 89 BIO10
38682 42 MAT01
38683 96 BIO10
38684 87 MED18
38685 88 MAT01
38686 62 IINF05
38687 17 FIS01
38688 44 FIS01
38689 17 FIS01
38690 65 CHIM02
38691 59 BIO10
38692 36 INGIND35
38693 38 INF01
38694 2 AGR03
38695 7 IINF05
38696 32 FIS01
38697 14 BIO10
38698 78 INGIND35
38699 98 BIO10
38700 77 CHIM02
38701 86 IINF04
38702 16 BIO10
38703 42 INF01
38704 37 AGR03
38705 2 AGR03
38706 21 BIO10
38707 65 MED18
38708 55 IINF04
38709 37 FIS01
38710 85 MAT01
38711 10 CHIM02
38712 82 MED18
38713 23 MAT01
38714 29 INF01
38715 63 MED18
38716 64 IINF05
38717 87 MED18
38718 87 MED18
38719 27 IINF04
38720 58 INF01
38721 80 IINF04
38722 67 IINF04
38723 16 MAT01
38724 14 BIO10
38725 50 INF01
38726 44 MAT01
38727 22 BIO10
38728 85 AGR03
38729 78 MAT01
38730 28 BIO10
38731 34 IINF05
38732 32 AGR03
38733 80 IINF04
38734 87 FIS01
38735 80 IINF05
38736 46 MAT01
38737 18 MED18
38738 44 IINF04
38739 75 INF01
38740 21 INGIND35
38741 44 CHIM02
38742 19 MAT01
38743 94 MED18
38744 59 FIS01
38745 90 MED18
38746 33 MAT01
38747 87 MAT01
38748 80 INGIND35
38749 72 INGIND35
38750 37 IINF05
38751 23 IINF05
38752 87 INF01
38753 87 BIO10
38754 1 FIS01
38755 1 CHIM02
38756 35 IINF05
38757 62 CHIM02
38758 92 MED18
38759 69 INF01
38760 58 MED18
38761 58 MED18
38762 65 CHIM02
38763 22 AGR03
38764 89 IINF05
38765 87 MED18
38766 40 FIS01
38767 1 AGR03
38768 36 AGR03
38769 60 MED18
38770 100 CHIM02
38771 87 INGIND35
38772 11 AGR03
38773 76 INGIND35
38774 24 CHIM02
38775 47 FIS01
38776 81 INGIND35
38777 95 INF01
38778 13 MED18
38779 32 IINF04
38780 96 IINF05
38781 64 IINF05
38782 73 IINF05
38783 90 INF01
38784 5 CHIM02
38785 46 IINF05
38786 87 AGR03
38787 32 BIO10
38788 100 INF01
38789 73 INF01
38790 36 CHIM02
38791 53 FIS01
38792 74 IINF05
38793 59 BIO10
38794 99 MED18
38795 20 INF01
38796 45 INF01
38797 2 MAT01
38798 31 INGIND35
38799 88 IINF05
38800 64 MED18
38801 35 INF01
38802 43 IINF05
38803 87 FIS01
38804 39 AGR03
38805 79 INF01
38806 2 MAT01
38807 25 MAT01
38808 42 MED18
38809 72 MED18
38810 15 BIO10
38811 61 INF01
38812 1 CHIM02
38813 80 CHIM02
38814 87 FIS01
38815 7 FIS01
38816 47 INF01
38817 100 MAT01
38818 4 MED18
38819 54 CHIM02
38820 21 FIS01
38821 23 IINF04
38822 96 INF01
38823 36 INF01
38824 55 MAT01
38825 90 INGIND35
38826 75 IINF05
38827 94 CHIM02
38828 12 IINF04
38829 37 INGIND35
38830 7 INF01
38831 65 CHIM02
38832 56 MED18
38833 10 INF01
38834 22 IINF05
38835 37 MAT01
38836 88 IINF04
38837 74 FIS01
38838 7 FIS01
38839 17 IINF04
38840 89 MED18
38841 47 MAT01
38842 28 INF01
38843 73 AGR03
38844 36 FIS01
38845 79 IINF05
38846 88 MAT01
38847 15 MAT01
38848 69 FIS01
38849 2 MED18
38850 21 IINF05
38851 2 FIS01
38852 1 IINF04
38853 91 IINF04
38854 7 INF01
38855 9 IINF04
38856 21 MAT01
38857 74 INGIND35
38858 6 FIS01
38859 3 FIS01
38860 25 CHIM02
38861 38 FIS01
38862 16 INGIND35
38863 51 MAT01
38864 9 INGIND35
38865 32 INF01
38866 25 INGIND35
38867 31 MAT01
38868 38 CHIM02
38869 81 IINF05
38870 76 IINF05
38871 94 CHIM02
38872 88 IINF04
38873 54 INF01
38874 23 CHIM02
38875 41 FIS01
38876 56 FIS01
38877 89 IINF04
38878 13 MAT01
38879 4 MAT01
38880 19 MAT01
38881 46 IINF05
38882 80 MED18
38883 37 AGR03
38884 54 IINF04
38885 23 FIS01
38886 40 IINF05
38887 40 CHIM02
38888 90 MED18
38889 29 INF01
38890 16 FIS01
38891 82 INGIND35
38892 3 MAT01
38893 69 IINF04
38894 48 BIO10
38895 8 IINF04
38896 50 BIO10
38897 98 INF01
38898 57 MAT01
38899 22 INGIND35
38900 21 MED18
38901 48 AGR03
38902 29 CHIM02
38903 27 BIO10
38904 67 BIO10
38905 33 IINF05
38906 83 IINF05
38907 77 FIS01
38908 22 MED18
38909 87 MED18
38910 61 MAT01
38911 94 MAT01
38912 10 INGIND35
38913 79 MAT01
38914 62 FIS01
38915 5 FIS01
38916 80 IINF04
38917 46 MED18
38918 32 FIS01
38919 100 IINF04
38920 99 CHIM02
38921 93 AGR03
38922 18 CHIM02
38923 51 IINF04
38924 90 IINF05
38925 5 IINF05
38926 39 MED18
38927 31 IINF04
38928 55 FIS01
38929 15 CHIM02
38930 37 INGIND35
38931 85 BIO10
38932 34 INGIND35
38933 68 FIS01
38934 4 IINF04
38935 27 IINF05
38936 58 INGIND35
38937 91 BIO10
38938 29 INF01
38939 38 IINF05
38940 64 AGR03
38941 41 INF01
38942 68 IINF05
38943 92 INGIND35
38944 89 IINF05
38945 33 IINF05
38946 53 MED18
38947 88 AGR03
38948 91 IINF05
38949 88 MAT01
38950 37 IINF05
38951 31 AGR03
38952 68 IINF05
38953 90 CHIM02
38954 40 AGR03
38955 18 CHIM02
38956 26 AGR03
38957 66 CHIM02
38958 96 AGR03
38959 71 INF01
38960 8 INF01
38961 5 MAT01
38962 12 BIO10
38963 25 MAT01
38964 69 BIO10
38965 84 IINF05
38966 32 CHIM02
38967 21 BIO10
38968 20 IINF05
38969 20 INF01
38970 5 INF01
38971 84 INGIND35
38972 1 CHIM02
38973 93 MED18
38974 69 MED18
38975 70 BIO10
38976 18 MAT01
38977 37 AGR03
38978 50 INF01
38979 68 MED18
38980 81 INGIND35
38981 51 AGR03
38982 78 MAT01
38983 80 AGR03
38984 7 MED18
38985 49 INGIND35
38986 31 MAT01
38987 38 INGIND35
38988 68 IINF05
38989 63 CHIM02
38990 98 CHIM02
38991 31 IINF05
38992 43 FIS01
38993 55 BIO10
38994 90 INGIND35
38995 70 BIO10
38996 1 INGIND35
38997 89 MAT01
38998 17 AGR03
38999 95 IINF04
39000 62 MED18
39001 55 MAT01
39002 67 BIO10
39003 13 BIO10
39004 10 IINF05
39005 21 MAT01
39006 66 CHIM02
39007 76 BIO10
39008 8 IINF04
39009 54 CHIM02
39010 21 AGR03
39011 92 FIS01
39012 41 INGIND35
39013 9 INF01
39014 88 CHIM02
39015 44 MED18
39016 41 FIS01
39017 77 MAT01
39018 64 IINF04
39019 67 MED18
39020 79 AGR03
39021 65 INF01
39022 48 FIS01
39023 90 FIS01
39024 78 CHIM02
39025 17 CHIM02
39026 16 CHIM02
39027 40 INF01
39028 85 MAT01
39029 73 IINF05
39030 92 INGIND35
39031 37 BIO10
39032 84 FIS01
39033 33 BIO10
39034 12 MAT01
39035 98 INF01
39036 70 BIO10
39037 83 IINF05
39038 67 AGR03
39039 11 BIO10
39040 60 INF01
39041 56 MAT01
39042 33 IINF05
39043 83 MED18
39044 63 INF01
39045 83 IINF05
39046 1 AGR03
39047 37 MED18
39048 13 BIO10
39049 60 IINF04
39050 92 FIS01
39051 8 FIS01
39052 23 INF01
39053 32 AGR03
39054 32 MED18
39055 55 IINF05
39056 55 IINF04
39057 83 BIO10
39058 100 IINF04
39059 82 INGIND35
39060 61 MAT01
39061 85 MAT01
39062 99 MAT01
39063 30 BIO10
39064 90 MED18
39065 91 CHIM02
39066 11 INF01
39067 40 INF01
39068 79 INF01
39069 48 IINF05
39070 60 FIS01
39071 84 IINF04
39072 26 INGIND35
39073 39 AGR03
39074 18 MAT01
39075 60 FIS01
39076 88 AGR03
39077 19 CHIM02
39078 17 CHIM02
39079 80 INF01
39080 51 MED18
39081 98 BIO10
39082 61 INF01
39083 73 MAT01
39084 61 BIO10
39085 54 MED18
39086 17 INF01
39087 56 FIS01
39088 15 IINF04
39089 95 IINF04
39090 55 IINF04
39091 66 MAT01
39092 6 AGR03
39093 99 BIO10
39094 7 INGIND35
39095 17 FIS01
39096 13 MED18
39097 94 BIO10
39098 24 MED18
39099 93 CHIM02
39100 80 FIS01
39101 58 MED18
39102 15 BIO10
39103 80 MAT01
39104 69 INF01
39105 2 AGR03
39106 34 FIS01
39107 52 IINF05
39108 21 MED18
39109 86 MED18
39110 97 MED18
39111 27 FIS01
39112 43 INF01
39113 8 BIO10
39114 63 MED18
39115 11 CHIM02
39116 7 INGIND35
39117 61 MAT01
39118 64 MAT01
39119 71 AGR03
39120 98 MED18
39121 62 IINF05
39122 36 AGR03
39123 83 AGR03
39124 43 MED18
39125 74 BIO10
39126 88 IINF04
39127 84 IINF05
39128 9 BIO10
39129 16 BIO10
39130 30 BIO10
39131 84 BIO10
39132 85 INGIND35
39133 52 FIS01
39134 94 IINF04
39135 85 INF01
39136 44 CHIM02
39137 39 IINF04
39138 98 BIO10
39139 2 IINF04
39140 18 MAT01
39141 27 INGIND35
39142 39 AGR03
39143 47 CHIM02
39144 59 INF01
39145 1 IINF04
39146 57 MED18
39147 30 INGIND35
39148 63 AGR03
39149 29 AGR03
39150 74 INF01
39151 79 AGR03
39152 93 AGR03
39153 55 IINF05
39154 45 IINF04
39155 99 INF01
39156 39 MED18
39157 21 MED18
39158 76 INGIND35
39159 23 INF01
39160 81 INF01
39161 32 MAT01
39162 99 MAT01
39163 93 AGR03
39164 55 FIS01
39165 77 FIS01
39166 58 IINF05
39167 50 IINF05
39168 97 BIO10
39169 77 MED18
39170 40 IINF04
39171 51 MED18
39172 52 IINF04
39173 81 CHIM02
39174 52 BIO10
39175 90 MED18
39176 65 BIO10
39177 48 CHIM02
39178 48 IINF05
39179 18 INGIND35
39180 49 FIS01
39181 71 FIS01
39182 57 MAT01
39183 76 IINF04
39184 81 INGIND35
39185 81 CHIM02
39186 5 IINF05
39187 14 MED18
39188 65 IINF04
39189 56 MED18
39190 20 IINF05
39191 8 BIO10
39192 14 IINF05
39193 94 CHIM02
39194 21 BIO10
39195 53 CHIM02
39196 26 MAT01
39197 50 BIO10
39198 11 FIS01
39199 52 IINF04
39200 46 MAT01
39201 94 AGR03
39202 82 INF01
39203 87 IINF04
39204 62 MED18
39205 44 FIS01
39206 18 FIS01
39207 67 IINF05
39208 32 FIS01
39209 34 INF01
39210 15 IINF05
39211 60 MAT01
39212 3 MAT01
39213 44 AGR03
39214 27 IINF05
39215 81 AGR03
39216 11 MAT01
39217 51 AGR03
39218 22 CHIM02
39219 64 BIO10
39220 29 AGR03
39221 56 IINF04
39222 34 MAT01
39223 95 MED18
39224 11 MED18
39225 22 IINF05
39226 38 MAT01
39227 48 MAT01
39228 26 IINF04
39229 45 CHIM02
39230 74 INGIND35
39231 36 AGR03
39232 77 MED18
39233 74 IINF05
39234 7 FIS01
39235 87 INF01
39236 20 MED18
39237 87 MED18
39238 10 BIO10
39239 41 AGR03
39240 20 IINF04
39241 57 IINF05
39242 11 IINF05
39243 48 IINF05
39244 100 MAT01
39245 4 IINF04
39246 25 IINF05
39247 9 INF01
39248 79 INF01
39249 3 AGR03
39250 34 AGR03
39251 85 BIO10
39252 38 IINF05
39253 81 BIO10
39254 89 INF01
39255 87 IINF05
39256 38 MAT01
39257 62 MAT01
39258 42 CHIM02
39259 48 FIS01
39260 90 MED18
39261 10 IINF05
39262 25 INF01
39263 90 BIO10
39264 28 MAT01
39265 96 INGIND35
39266 32 FIS01
39267 30 AGR03
39268 31 MAT01
39269 92 IINF05
39270 28 MED18
39271 8 INGIND35
39272 43 IINF05
39273 60 MAT01
39274 86 IINF05
39275 91 INF01
39276 20 MED18
39277 72 MAT01
39278 15 IINF05
39279 5 MAT01
39280 13 IINF04
39281 94 AGR03
39282 68 MED18
39283 85 MED18
39284 52 MED18
39285 97 IINF05
39286 42 CHIM02
39287 35 MED18
39288 2 FIS01
39289 12 FIS01
39290 64 MAT01
39291 18 FIS01
39292 17 IINF05
39293 84 MAT01
39294 30 IINF04
39295 53 INGIND35
39296 14 FIS01
39297 8 IINF05
39298 37 IINF04
39299 97 CHIM02
39300 52 IINF05
39301 18 IINF04
39302 12 FIS01
39303 98 IINF05
39304 10 INGIND35
39305 15 INF01
39306 67 AGR03
39307 85 FIS01
39308 69 IINF04
39309 26 AGR03
39310 44 BIO10
39311 88 MAT01
39312 5 IINF04
39313 18 BIO10
39314 82 FIS01
39315 94 CHIM02
39316 73 AGR03
39317 18 AGR03
39318 85 FIS01
39319 81 AGR03
39320 15 MED18
39321 69 AGR03
39322 22 IINF04
39323 30 INF01
39324 52 CHIM02
39325 11 AGR03
39326 32 CHIM02
39327 72 IINF05
39328 44 FIS01
39329 52 FIS01
39330 7 INGIND35
39331 45 IINF04
39332 81 INF01
39333 28 INF01
39334 89 FIS01
39335 20 AGR03
39336 82 CHIM02
39337 92 INF01
39338 13 MAT01
39339 39 MAT01
39340 87 FIS01
39341 23 IINF05
39342 77 CHIM02
39343 11 IINF04
39344 83 MAT01
39345 57 INGIND35
39346 95 IINF05
39347 83 INF01
39348 43 MAT01
39349 90 AGR03
39350 1 FIS01
39351 51 INF01
39352 6 INGIND35
39353 2 CHIM02
39354 95 INGIND35
39355 19 IINF05
39356 97 IINF04
39357 28 CHIM02
