8230 FIS01 8
43953 27 MED18
43954 36 INGIND35
43955 39 CHIM02
43956 12 FIS01
43957 25 INF01
43958 61 IINF05
43959 89 CHIM02
43960 83 BIO10
43961 83 MED18
43962 54 IINF04
43963 33 AGR03
43964 2 BIO10
43965 14 FIS01
43966 42 FIS01
43967 69 BIO10
43968 63 IINF05
43969 87 BIO10
43970 41 MAT01
43971 81 AGR03
43972 65 IINF04
43973 42 MAT01
43974 18 FIS01
43975 95 AGR03
43976 13 INF01
43977 80 IINF05
43978 74 MED18
43979 34 MED18
43980 99 IINF05
43981 40 BIO10
43982 87 BIO10
43983 25 AGR03
43984 71 MAT01
43985 83 MAT01
43986 89 BIO10
43987 61 AGR03
43988 74 INF01
43989 45 INGIND35
43990 4 IINF04
43991 83 AGR03
43992 11 FIS01
43993 33 FIS01
43994 94 MED18
43995 77 CHIM02
43996 1 MAT01
43997 62 INGIND35
43998 30 MAT01
43999 40 MED18
44000 18 INGIND35
44001 95 INGIND35
44002 22 BIO10
44003 25 IINF05
44004 68 MED18
44005 31 IINF04
44006 11 FIS01
44007 84 INGIND35
44008 28 INF01
44009 26 MAT01
44010 69 FIS01
44011 51 FIS01
44012 55 IINF04
44013 62 FIS01
44014 26 MED18
44015 29 INGIND35
44016 59 CHIM02
44017 74 INF01
44018 3 CHIM02
44019 70 FIS01
44020 76 MED18
44021 94 FIS01
44022 19 IINF05
44023 93 BIO10
44024 45 AGR03
44025 28 INGIND35
44026 72 BIO10
44027 64 IINF04
44028 7 MED18
44029 67 IINF04
44030 42 IINF05
44031 64 MED18
44032 63 MAT01
44033 94 FIS01
44034 94 INGIND35
44035 14 INF01
44036 77 INGIND35
44037 18 CHIM02
44038 3 MED18
44039 22 MED18
44040 77 MED18
44041 35 MED18
44042 74 INF01
44043 67 CHIM02
44044 6 IINF04
44045 30 AGR03
44046 9 AGR03
44047 47 MAT01
44048 63 FIS01
44049 53 BIO10
44050 79 MAT01
44051 27 IINF05
44052 66 CHIM02
44053 38 IINF04
44054 57 FIS01
44055 95 IINF04
44056 93 IINF05
44057 47 CHIM02
44058 45 BIO10
44059 16 FIS01
44060 76 INF01
44061 89 MAT01
44062 47 IINF04
44063 70 FIS01
44064 97 MED18
44065 17 BIO10
44066 6 MED18
44067 90 IINF04
44068 36 IINF04
44069 24 CHIM02
44070 44 AGR03
44071 43 IINF05
44072 15 IINF05
44073 39 FIS01
44074 23 MAT01
44075 83 IINF05
44076 39 AGR03
44077 96 CHIM02
44078 1 AGR03
44079 78 INF01
44080 36 CHIM02
44081 94 MED18
44082 75 MAT01
44083 4 INGIND35
44084 96 FIS01
44085 49 FIS01
44086 100 AGR03
44087 75 MED18
44088 92 FIS01
44089 65 BIO10
44090 75 IINF04
44091 58 BIO10
44092 38 AGR03
44093 20 IINF05
44094 91 BIO10
44095 94 BIO10
44096 30 CHIM02
44097 25 IINF04
44098 10 IINF04
44099 7 BIO10
44100 6 IINF04
44101 55 MAT01
44102 35 MAT01
44103 22 CHIM02
44104 38 IINF05
44105 93 AGR03
44106 78 IINF04
44107 57 FIS01
44108 26 CHIM02
44109 13 IINF04
44110 12 IINF05
44111 61 INGIND35
44112 47 MED18
44113 6 IINF05
44114 86 MAT01
44115 30 IINF04
44116 9 CHIM02
44117 15 INGIND35
44118 61 INGIND35
44119 43 CHIM02
44120 46 BIO10
44121 98 INGIND35
44122 22 CHIM02
44123 75 IINF04
44124 51 AGR03
44125 12 FIS01
44126 92 IINF05
44127 53 MED18
44128 26 MAT01
44129 100 BIO10
44130 14 FIS01
44131 65 IINF05
44132 51 MED18
44133 90 IINF05
44134 29 BIO10
44135 82 IINF05
44136 54 IINF05
44137 2 BIO10
44138 85 FIS01
44139 65 FIS01
44140 36 INF01
44141 78 IINF04
44142 78 FIS01
44143 78 MED18
44144 61 MAT01
44145 36 FIS01
44146 57 AGR03
44147 56 CHIM02
44148 12 INF01
44149 36 CHIM02
44150 25 MED18
44151 65 FIS01
44152 64 INF01
44153 94 FIS01
44154 15 MED18
44155 54 FIS01
44156 24 AGR03
44157 15 AGR03
44158 74 MED18
44159 95 IINF04
44160 6 INF01
44161 11 MAT01
44162 18 MAT01
44163 52 INF01
44164 25 INGIND35
44165 54 INF01
44166 84 CHIM02
44167 62 MAT01
44168 90 FIS01
44169 13 INGIND35
44170 24 AGR03
44171 65 FIS01
44172 47 IINF05
44173 89 BIO10
44174 37 MED18
44175 48 INF01
44176 91 AGR03
44177 80 IINF05
44178 2 MAT01
44179 70 MAT01
44180 8 FIS01
44181 54 FIS01
44182 76 CHIM02
44183 30 INGIND35
44184 44 AGR03
44185 85 IINF05
44186 38 BIO10
44187 19 AGR03
44188 82 IINF04
44189 17 IINF04
44190 72 FIS01
44191 30 MAT01
44192 1 CHIM02
44193 38 CHIM02
44194 2 INGIND35
44195 42 INGIND35
44196 28 MED18
44197 92 AGR03
44198 24 AGR03
44199 14 FIS01
44200 89 AGR03
44201 55 INF01
44202 57 MAT01
44203 19 INF01
44204 92 FIS01
44205 14 IINF04
44206 22 IINF05
44207 76 AGR03
44208 11 MAT01
44209 13 IINF05
44210 45 FIS01
44211 36 MED18
44212 93 BIO10
44213 68 IINF04
44214 47 AGR03
44215 57 INF01
44216 5 INGIND35
44217 58 IINF05
44218 97 BIO10
44219 32 MED18
44220 22 IINF04
44221 40 CHIM02
44222 72 MED18
44223 83 INGIND35
44224 82 IINF04
44225 56 BIO10
44226 14 IINF04
44227 37 AGR03
44228 56 MAT01
44229 32 CHIM02
44230 88 INF01
44231 39 BIO10
44232 41 FIS01
44233 24 CHIM02
44234 50 IINF05
44235 97 INGIND35
44236 44 IINF05
44237 5 BIO10
44238 94 CHIM02
44239 56 AGR03
44240 62 IINF04
44241 31 AGR03
44242 72 AGR03
44243 54 INF01
44244 50 AGR03
44245 60 IINF05
44246 87 BIO10
44247 4 AGR03
44248 41 INF01
44249 89 CHIM02
44250 44 MAT01
44251 48 INGIND35
44252 75 MAT01
44253 93 BIO10
44254 72 CHIM02
44255 24 MED18
44256 18 AGR03
44257 24 IINF05
44258 99 MAT01
44259 69 IINF05
44260 65 BIO10
44261 27 INF01
44262 91 INF01
44263 42 MAT01
44264 65 INF01
44265 25 AGR03
44266 14 INGIND35
44267 8 FIS01
44268 81 MAT01
44269 13 AGR03
44270 42 INGIND35
44271 67 CHIM02
44272 18 FIS01
44273 100 IINF05
44274 72 BIO10
44275 15 FIS01
44276 58 INF01
44277 1 INGIND35
44278 49 MAT01
44279 76 MAT01
44280 80 INGIND35
44281 63 INF01
44282 91 MAT01
44283 48 INF01
44284 30 AGR03
44285 22 MAT01
44286 50 BIO10
44287 54 IINF04
44288 34 MAT01
44289 89 IINF04
44290 40 IINF05
44291 86 MAT01
44292 21 MED18
44293 12 IINF04
44294 59 INGIND35
44295 7 IINF05
44296 5 MAT01
44297 10 FIS01
44298 14 MAT01
44299 64 IINF05
44300 44 FIS01
44301 22 MAT01
44302 14 FIS01
44303 34 IINF05
44304 54 INF01
44305 7 BIO10
44306 61 INF01
44307 27 IINF04
44308 64 IINF04
44309 27 FIS01
44310 56 MAT01
44311 96 FIS01
44312 9 MAT01
44313 94 FIS01
44314 75 BIO10
44315 19 MAT01
44316 23 CHIM02
44317 61 IINF05
44318 89 MAT01
44319 19 CHIM02
44320 5 INGIND35
44321 55 AGR03
44322 73 CHIM02
44323 26 INGIND35
44324 100 IINF05
44325 80 INF01
44326 20 BIO10
44327 17 FIS01
44328 84 IINF05
44329 85 MED18
44330 21 MAT01
44331 91 AGR03
44332 60 IINF04
44333 59 MED18
44334 62 IINF05
44335 86 INGIND35
44336 56 INF01
44337 52 MAT01
44338 30 AGR03
44339 79 INF01
44340 6 BIO10
44341 6 INF01
44342 93 INF01
44343 68 BIO10
44344 81 INF01
44345 87 IINF05
44346 73 INF01
44347 95 INF01
44348 50 MED18
44349 24 MAT01
44350 87 FIS01
44351 60 MAT01
44352 43 MED18
44353 6 CHIM02
44354 2 BIO10
44355 4 FIS01
44356 51 MAT01
44357 20 BIO10
44358 20 INF01
44359 90 INGIND35
44360 25 MED18
44361 15 AGR03
44362 29 IINF05
44363 47 BIO10
44364 77 FIS01
44365 53 FIS01
44366 94 AGR03
44367 21 MED18
44368 19 BIO10
44369 48 INGIND35
44370 12 INGIND35
44371 10 CHIM02
44372 21 MAT01
44373 75 MED18
44374 59 MAT01
44375 82 CHIM02
44376 94 BIO10
44377 41 FIS01
44378 2 AGR03
44379 83 INGIND35
44380 56 INF01
44381 98 MAT01
44382 68 AGR03
44383 31 BIO10
44384 89 IINF04
44385 6 MED18
44386 83 INF01
44387 38 MED18
44388 22 INF01
44389 10 INF01
44390 45 IINF05
44391 43 MED18
44392 89 BIO10
44393 24 MAT01
44394 34 INGIND35
44395 58 BIO10
44396 98 IINF04
44397 3 CHIM02
44398 80 INGIND35
44399 16 INF01
44400 48 INGIND35
44401 66 MED18
44402 45 CHIM02
44403 23 INGIND35
44404 49 MED18
44405 97 IINF05
44406 6 FIS01
44407 20 BIO10
44408 59 AGR03
44409 36 MAT01
44410 22 MAT01
44411 35 AGR03
44412 19 IINF04
44413 1 FIS01
44414 27 FIS01
44415 34 MAT01
44416 18 INGIND35
44417 60 MED18
44418 99 MAT01
44419 57 CHIM02
44420 74 IINF04
44421 7 INGIND35
44422 53 IINF04
44423 47 CHIM02
44424 87 FIS01
44425 26 INF01
44426 81 CHIM02
44427 31 BIO10
44428 30 MAT01
44429 31 BIO10
44430 11 AGR03
44431 19 BIO10
44432 48 IINF04
44433 26 CHIM02
44434 73 INF01
44435 40 MAT01
44436 22 MED18
44437 25 IINF04
44438 97 CHIM02
44439 18 AGR03
44440 100 AGR03
44441 79 AGR03
44442 90 IINF04
44443 40 CHIM02
44444 38 IINF05
44445 3 IINF04
44446 21 INGIND35
44447 76 AGR03
44448 62 IINF04
44449 26 AGR03
44450 47 MAT01
44451 81 INGIND35
44452 13 IINF05
44453 46 CHIM02
44454 84 IINF04
44455 10 FIS01
44456 74 AGR03
44457 41 INGIND35
44458 32 INGIND35
44459 55 MAT01
44460 24 INGIND35
44461 35 MAT01
44462 81 MAT01
44463 98 MAT01
44464 35 AGR03
44465 18 IINF05
44466 60 MAT01
44467 10 FIS01
44468 54 INGIND35
44469 87 INF01
44470 2 INGIND35
44471 10 IINF04
44472 86 IINF04
44473 24 BIO10
44474 33 MED18
44475 87 MAT01
44476 59 INGIND35
44477 28 IINF04
44478 1 IINF04
44479 67 FIS01
44480 90 AGR03
44481 41 FIS01
44482 55 AGR03
44483 58 BIO10
44484 51 AGR03
44485 6 IINF04
44486 4 MED18
44487 33 MED18
44488 96 MAT01
44489 48 MAT01
44490 74 MED18
44491 35 INGIND35
44492 76 FIS01
44493 20 IINF05
44494 15 INGIND35
44495 21 MAT01
44496 64 MED18
44497 36 AGR03
44498 84 IINF05
44499 36 MED18
44500 82 IINF05
44501 59 IINF05
44502 2 MED18
44503 12 CHIM02
44504 69 IINF04
44505 36 AGR03
44506 29 IINF05
44507 87 MED18
44508 25 IINF04
44509 81 FIS01
44510 77 MAT01
44511 60 IINF04
44512 63 IINF04
44513 66 IINF05
44514 9 FIS01
44515 94 MAT01
44516 34 IINF05
44517 27 FIS01
44518 49 FIS01
44519 4 MED18
44520 68 IINF05
44521 42 MED18
44522 26 CHIM02
44523 40 INGIND35
44524 86 INF01
44525 79 IINF05
44526 36 AGR03
44527 87 BIO10
44528 13 MAT01
44529 22 AGR03
44530 21 FIS01
44531 86 BIO10
44532 9 AGR03
44533 64 AGR03
44534 43 IINF04
44535 25 MAT01
44536 12 FIS01
44537 68 IINF04
44538 51 CHIM02
44539 23 AGR03
44540 34 CHIM02
44541 23 AGR03
44542 42 MAT01
44543 22 INGIND35
44544 38 MED18
44545 85 IINF05
44546 59 INGIND35
44547 39 CHIM02
44548 35 MAT01
44549 3 CHIM02
44550 45 AGR03
44551 77 MAT01
44552 6 AGR03
44553 59 MED18
44554 94 INF01
44555 72 MAT01
44556 64 FIS01
44557 5 MED18
44558 84 MAT01
44559 46 MED18
44560 14 IINF04
44561 57 INGIND35
44562 74 IINF05
44563 100 CHIM02
44564 97 INGIND35
44565 78 FIS01
44566 39 MAT01
44567 86 BIO10
44568 99 FIS01
44569 2 BIO10
44570 34 CHIM02
44571 54 IINF05
44572 29 CHIM02
44573 53 MED18
44574 23 FIS01
44575 57 FIS01
44576 77 INF01
44577 87 FIS01
44578 13 INGIND35
44579 71 BIO10
44580 71 CHIM02
44581 50 AGR03
44582 20 MED18
44583 89 INF01
44584 98 MAT01
44585 88 BIO10
44586 74 IINF05
44587 11 CHIM02
44588 51 FIS01
44589 94 MAT01
44590 14 CHIM02
44591 96 AGR03
44592 10 BIO10
44593 36 AGR03
44594 22 IINF05
44595 46 IINF04
44596 52 MAT01
44597 72 INF01
44598 84 MAT01
44599 86 FIS01
44600 89 INGIND35
44601 89 CHIM02
44602 33 MAT01
44603 16 IINF04
44604 81 INGIND35
44605 36 IINF04
44606 55 IINF04
44607 53 MED18
44608 1 MAT01
44609 51 INGIND35
44610 83 MAT01
44611 79 AGR03
44612 70 INF01
44613 33 INF01
44614 9 MED18
44615 29 MAT01
44616 28 INGIND35
44617 14 MED18
44618 64 INGIND35
44619 85 BIO10
44620 55 INGIND35
44621 45 CHIM02
44622 49 BIO10
44623 87 MAT01
44624 28 MED18
44625 1 INF01
44626 70 AGR03
44627 16 BIO10
44628 1 FIS01
44629 2 BIO10
44630 23 IINF04
44631 95 BIO10
44632 29 AGR03
44633 19 FIS01
44634 76 IINF05
44635 21 AGR03
44636 20 INGIND35
44637 89 CHIM02
44638 54 CHIM02
44639 40 AGR03
44640 89 IINF04
44641 19 AGR03
44642 89 MED18
44643 6 MAT01
44644 36 FIS01
44645 53 MAT01
44646 31 FIS01
44647 97 INF01
44648 52 MED18
44649 32 INF01
44650 43 CHIM02
44651 73 INGIND35
44652 65 FIS01
44653 53 INF01
44654 76 AGR03
44655 75 AGR03
44656 75 MED18
44657 48 MED18
44658 91 IINF04
44659 64 BIO10
44660 54 CHIM02
44661 59 MAT01
44662 74 AGR03
44663 22 IINF05
44664 32 INGIND35
44665 97 MED18
44666 71 IINF05
44667 95 IINF04
44668 52 MED18
44669 60 CHIM02
44670 14 MAT01
44671 27 INF01
44672 85 BIO10
44673 48 AGR03
44674 70 INF01
44675 49 AGR03
44676 36 CHIM02
44677 74 FIS01
44678 86 IINF04
44679 10 IINF04
44680 62 INF01
44681 60 IINF04
44682 14 BIO10
44683 24 BIO10
44684 43 IINF05
44685 86 IINF05
44686 40 IINF04
44687 64 MAT01
44688 26 MED18
44689 64 AGR03
44690 20 AGR03
44691 67 IINF05
44692 9 AGR03
44693 64 INF01
44694 87 IINF04
44695 50 INF01
44696 64 BIO10
44697 64 IINF05
44698 37 CHIM02
44699 83 IINF05
44700 45 IINF05
44701 17 INF01
44702 10 AGR03
44703 26 IINF04
44704 3 AGR03
44705 100 INF01
44706 62 AGR03
44707 77 IINF05
44708 76 BIO10
44709 31 MAT01
44710 97 IINF04
44711 87 BIO10
44712 20 FIS01
44713 68 MAT01
44714 61 MAT01
44715 22 IINF05
44716 75 INGIND35
44717 16 IINF04
44718 69 BIO10
44719 23 MAT01
44720 38 INF01
44721 77 INGIND35
44722 20 FIS01
44723 58 AGR03
44724 13 INF01
44725 80 INF01
44726 83 BIO10
44727 81 BIO10
44728 29 INF01
44729 85 IINF04
44730 76 INGIND35
44731 72 IINF05
44732 61 MAT01
44733 31 AGR03
44734 52 CHIM02
44735 17 CHIM02
44736 54 FIS01
44737 82 INGIND35
44738 28 AGR03
44739 57 BIO10
44740 68 MED18
44741 79 MAT01
44742 59 FIS01
44743 87 CHIM02
44744 84 BIO10
44745 52 IINF05
44746 73 BIO10
44747 7 MAT01
44748 68 IINF05
44749 18 INGIND35
44750 44 INF01
44751 99 MAT01
44752 82 MAT01
44753 9 IINF04
44754 33 MED18
44755 42 IINF05
44756 47 MED18
44757 92 BIO10
44758 69 INF01
44759 91 CHIM02
44760 54 IINF05
44761 100 CHIM02
44762 19 IINF04
44763 93 IINF04
44764 43 IINF05
44765 77 INF01
44766 55 BIO10
44767 13 MED18
44768 67 IINF04
44769 89 MED18
44770 86 FIS01
44771 18 FIS01
44772 87 FIS01
44773 3 IINF05
44774 46 IINF05
44775 31 AGR03
44776 92 CHIM02
44777 2 BIO10
44778 6 FIS01
44779 53 MAT01
44780 47 BIO10
44781 36 MED18
44782 66 IINF05
44783 7 BIO10
44784 70 MED18
44785 96 IINF05
44786 13 AGR03
44787 82 IINF04
44788 27 CHIM02
44789 37 INGIND35
44790 6 MAT01
44791 13 MAT01
44792 50 IINF04
44793 23 MED18
44794 94 MAT01
44795 16 INGIND35
44796 16 INGIND35
44797 67 INGIND35
44798 53 BIO10
44799 63 AGR03
44800 91 MED18
44801 46 INF01
44802 51 IINF05
44803 92 INGIND35
44804 46 CHIM02
44805 37 MAT01
44806 53 MAT01
44807 53 INGIND35
44808 74 FIS01
44809 50 MAT01
44810 2 CHIM02
44811 42 MAT01
44812 97 MAT01
44813 67 BIO10
44814 23 FIS01
44815 99 INGIND35
44816 84 FIS01
44817 71 IINF04
44818 86 INGIND35
44819 87 MAT01
44820 19 CHIM02
44821 43 BIO10
44822 40 IINF04
44823 65 FIS01
44824 8 CHIM02
44825 46 AGR03
44826 16 INF01
44827 76 IINF04
44828 61 INGIND35
44829 47 FIS01
44830 92 INGIND35
44831 32 MAT01
44832 46 IINF05
44833 51 MED18
44834 92 INF01
44835 76 INF01
44836 10 AGR03
44837 21 CHIM02
44838 47 BIO10
44839 71 CHIM02
44840 84 BIO10
44841 9 IINF04
44842 29 BIO10
44843 67 FIS01
44844 85 CHIM02
44845 65 INGIND35
44846 46 IINF05
44847 94 INF01
44848 13 IINF04
44849 75 BIO10
44850 62 MED18
44851 53 INF01
44852 69 BIO10
44853 63 MAT01
44854 62 FIS01
44855 60 IINF05
44856 82 INF01
44857 39 IINF05
44858 69 IINF04
44859 16 MED18
44860 12 CHIM02
44861 2 CHIM02
44862 47 IINF05
44863 29 MED18
44864 19 IINF05
44865 74 AGR03
44866 66 FIS01
44867 10 MAT01
44868 63 MED18
44869 53 IINF05
44870 81 BIO10
44871 28 FIS01
44872 81 FIS01
44873 38 IINF05
44874 91 MAT01
44875 55 INF01
44876 79 IINF04
44877 1 INGIND35
44878 44 AGR03
44879 75 MED18
44880 99 INGIND35
44881 82 BIO10
44882 24 CHIM02
44883 54 INF01
44884 99 CHIM02
44885 19 CHIM02
44886 82 IINF04
44887 99 AGR03
44888 15 IINF05
44889 51 MAT01
44890 28 CHIM02
44891 19 MAT01
44892 47 IINF05
44893 17 CHIM02
44894 82 FIS01
44895 64 IINF05
44896 69 INGIND35
44897 65 CHIM02
44898 69 FIS01
44899 56 MAT01
44900 25 MAT01
44901 32 AGR03
44902 77 IINF05
44903 96 AGR03
44904 68 INF01
44905 52 FIS01
44906 34 MED18
44907 89 INF01
44908 49 IINF05
44909 6 AGR03
44910 76 MAT01
44911 78 IINF05
44912 87 MAT01
44913 86 INGIND35
44914 95 MED18
44915 14 MED18
44916 81 AGR03
44917 87 MAT01
44918 55 AGR03
44919 98 FIS01
44920 28 INGIND35
44921 100 CHIM02
44922 88 MED18
44923 53 INF01
44924 37 INF01
44925 97 IINF05
44926 95 MAT01
44927 65 AGR03
44928 12 IINF05
44929 73 BIO10
44930 80 INF01
44931 20 AGR03
44932 23 INGIND35
44933 95 MAT01
44934 13 MAT01
44935 98 MAT01
44936 81 IINF05
44937 23 MAT01
44938 47 BIO10
44939 74 CHIM02
44940 96 IINF04
44941 82 IINF04
44942 8 CHIM02
44943 54 CHIM02
44944 69 BIO10
44945 73 AGR03
44946 9 CHIM02
44947 31 IINF04
44948 79 IINF04
44949 55 BIO10
44950 97 IINF05
44951 69 INF01
44952 38 MAT01
44953 77 AGR03
44954 95 MED18
44955 13 AGR03
44956 38 IINF05
44957 35 IINF05
44958 54 AGR03
44959 62 BIO10
44960 75 BIO10
44961 99 BIO10
44962 84 IINF05
44963 10 IINF05
44964 67 AGR03
44965 45 AGR03
44966 78 INGIND35
44967 21 IINF05
44968 90 MED18
44969 99 INGIND35
44970 73 AGR03
44971 98 MED18
44972 25 IINF05
44973 96 IINF04
44974 51 BIO10
44975 28 INGIND35
44976 76 BIO10
44977 16 INGIND35
44978 14 INF01
44979 54 IINF04
44980 52 BIO10
44981 87 INF01
44982 3 IINF04
44983 25 MED18
44984 15 MED18
44985 30 CHIM02
44986 13 IINF05
44987 94 IINF04
44988 85 AGR03
44989 59 INGIND35
44990 20 MAT01
44991 61 MAT01
44992 61 MAT01
44993 8 IINF04
44994 63 IINF05
44995 46 BIO10
44996 99 IINF04
44997 22 MED18
44998 75 INGIND35
44999 98 FIS01
45000 21 CHIM02
45001 56 IINF05
45002 70 INF01
45003 86 MAT01
45004 94 MED18
45005 54 INF01
45006 87 IINF05
45007 25 MED18
45008 76 IINF04
45009 1 MED18
45010 18 CHIM02
45011 66 FIS01
45012 26 AGR03
45013 35 AGR03
45014 47 MED18
45015 6 CHIM02
45016 78 IINF04
45017 79 CHIM02
45018 52 FIS01
45019 38 CHIM02
45020 41 IINF05
45021 77 FIS01
45022 36 FIS01
45023 82 CHIM02
45024 29 BIO10
45025 15 AGR03
45026 86 FIS01
45027 83 MED18
45028 45 MED18
45029 48 FIS01
45030 32 IINF05
45031 44 CHIM02
45032 48 FIS01
45033 15 FIS01
45034 57 IINF04
45035 22 AGR03
45036 24 MED18
45037 92 IINF04
45038 19 AGR03
45039 76 IINF05
45040 66 MAT01
45041 35 FIS01
45042 18 FIS01
45043 76 INF01
45044 5 MAT01
45045 10 INF01
45046 10 MED18
45047 70 BIO10
45048 93 IINF04
45049 53 CHIM02
45050 60 CHIM02
45051 34 IINF04
45052 43 MAT01
45053 35 FIS01
45054 52 FIS01
45055 34 FIS01
45056 76 AGR03
45057 27 INGIND35
45058 28 IINF05
45059 3 IINF05
45060 45 IINF04
45061 14 IINF05
45062 46 MAT01
45063 58 AGR03
45064 67 MAT01
45065 5 AGR03
45066 89 INGIND35
45067 91 MED18
45068 51 MAT01
45069 13 IINF04
45070 44 BIO10
45071 37 AGR03
45072 23 FIS01
45073 3 INGIND35
45074 68 INGIND35
45075 51 CHIM02
45076 50 CHIM02
45077 2 IINF04
45078 33 MAT01
45079 16 MAT01
45080 79 IINF05
45081 10 BIO10
45082 100 IINF05
45083 34 INGIND35
45084 31 INGIND35
45085 22 FIS01
45086 18 INF01
45087 60 MAT01
45088 43 CHIM02
45089 35 INF01
45090 11 AGR03
45091 33 INF01
45092 25 IINF05
45093 34 IINF04
45094 29 INGIND35
45095 3 FIS01
45096 30 INGIND35
45097 90 FIS01
45098 42 FIS01
45099 100 INF01
45100 11 INGIND35
45101 21 INF01
45102 34 IINF05
45103 7 INF01
45104 84 BIO10
45105 92 AGR03
45106 35 IINF05
45107 42 FIS01
45108 78 INGIND35
45109 47 MED18
45110 37 AGR03
45111 80 AGR03
45112 93 IINF05
45113 32 FIS01
45114 66 FIS01
45115 50 MAT01
45116 61 BIO10
45117 57 AGR03
45118 49 FIS01
45119 66 CHIM02
45120 84 BIO10
45121 10 IINF04
45122 41 MAT01
45123 40 MAT01
45124 13 MED18
45125 75 INF01
45126 46 INF01
45127 1 CHIM02
45128 77 AGR03
45129 75 INGIND35
45130 25 INF01
45131 98 MED18
45132 76 FIS01
45133 19 MED18
45134 66 INF01
45135 71 CHIM02
45136 18 CHIM02
45137 91 BIO10
45138 8 IINF05
45139 91 FIS01
45140 39 INGIND35
45141 85 AGR03
45142 18 IINF05
45143 26 INF01
45144 12 MED18
45145 59 BIO10
45146 34 BIO10
45147 21 MAT01
45148 84 INGIND35
45149 44 IINF05
45150 9 BIO10
45151 1 MAT01
45152 93 IINF05
45153 6 IINF04
45154 47 INGIND35
45155 54 IINF05
45156 14 INGIND35
45157 74 MED18
45158 72 INGIND35
45159 81 BIO10
45160 100 INF01
45161 10 AGR03
45162 72 FIS01
45163 2 FIS01
45164 52 IINF04
45165 34 MED18
45166 22 IINF05
45167 67 INGIND35
45168 56 IINF05
45169 39 IINF05
45170 13 INGIND35
45171 68 CHIM02
45172 74 CHIM02
45173 41 FIS01
45174 17 INGIND35
45175 74 CHIM02
45176 56 MAT01
45177 9 CHIM02
45178 10 IINF04
45179 8 FIS01
45180 90 INGIND35
45181 32 INGIND35
45182 35 MED18
45183 99 INGIND35
45184 98 FIS01
45185 79 FIS01
45186 3 INGIND35
45187 92 AGR03
45188 41 FIS01
45189 59 FIS01
45190 36 BIO10
45191 74 FIS01
45192 1 MED18
45193 14 INF01
45194 69 INF01
45195 53 IINF04
45196 14 AGR03
45197 25 AGR03
45198 96 INGIND35
45199 55 FIS01
45200 57 IINF05
45201 45 MED18
45202 3 MAT01
45203 51 MAT01
45204 37 BIO10
45205 31 INF01
45206 46 INGIND35
45207 43 BIO10
