1000 MED18 15
13868 31 MAT01
13869 98 AGR03
13870 43 CHIM02
13871 26 BIO10
13872 100 CHIM02
13873 50 MAT01
13874 11 AGR03
13875 36 AGR03
13876 68 MED18
13877 46 BIO10
13878 27 INGIND35
13879 4 MAT01
13880 84 INF01
13881 2 MAT01
13882 26 INGIND35
13883 94 MAT01
13884 35 BIO10
13885 13 INGIND35
13886 50 INF01
13887 19 INGIND35
13888 38 INGIND35
13889 27 MED18
13890 91 FIS01
13891 26 INF01
13892 16 INF01
13893 96 MAT01
13894 99 AGR03
13895 56 IINF05
13896 59 IINF05
13897 64 INGIND35
13898 94 INGIND35
13899 68 MED18
13900 89 BIO10
13901 27 AGR03
13902 31 INGIND35
13903 41 IINF05
13904 52 FIS01
13905 59 INF01
13906 55 AGR03
13907 52 BIO10
13908 71 IINF05
13909 92 AGR03
13910 20 IINF04
13911 38 INF01
13912 74 MAT01
13913 59 IINF05
13914 60 MED18
13915 58 FIS01
13916 87 FIS01
13917 58 IINF05
13918 33 AGR03
13919 25 BIO10
13920 71 INGIND35
13921 30 INGIND35
13922 53 AGR03
13923 66 INGIND35
13924 70 INF01
13925 43 IINF05
13926 63 MAT01
13927 3 MAT01
13928 3 CHIM02
13929 63 INF01
13930 41 IINF04
13931 46 BIO10
13932 24 INGIND35
13933 39 IINF05
13934 75 IINF05
13935 74 INF01
13936 61 INF01
13937 70 BIO10
13938 74 BIO10
13939 5 AGR03
13940 82 INF01
13941 50 CHIM02
13942 39 AGR03
13943 29 MAT01
13944 40 IINF04
13945 15 BIO10
13946 98 FIS01
13947 90 IINF05
13948 51 BIO10
13949 97 FIS01
13950 27 BIO10
13951 91 FIS01
13952 34 AGR03
13953 9 BIO10
13954 71 MAT01
13955 95 INF01
13956 22 MAT01
13957 14 MED18
13958 8 CHIM02
13959 14 MED18
13960 80 MAT01
13961 86 FIS01
13962 1 FIS01
13963 29 CHIM02
13964 99 FIS01
13965 87 BIO10
13966 32 IINF05
13967 49 MED18
13968 76 BIO10
13969 34 MAT01
13970 88 AGR03
13971 79 INGIND35
13972 77 IINF04
13973 58 INF01
13974 40 INF01
13975 13 AGR03
13976 88 CHIM02
13977 15 IINF05
13978 78 FIS01
13979 38 IINF04
13980 21 MED18
13981 80 IINF05
13982 74 INGIND35
13983 64 CHIM02
13984 55 MAT01
13985 75 CHIM02
13986 49 MED18
13987 41 INGIND35
13988 55 INGIND35
13989 19 INF01
13990 53 AGR03
13991 2 IINF05
13992 26 INF01
13993 53 AGR03
13994 28 IINF04
13995 96 INF01
13996 18 INF01
13997 44 AGR03
13998 65 IINF05
13999 8 MED18
14000 36 MED18
14001 35 IINF05
14002 84 INF01
14003 97 INGIND35
14004 67 MAT01
14005 42 IINF04
14006 54 INGIND35
14007 50 CHIM02
14008 78 CHIM02
14009 1 MED18
14010 18 IINF05
14011 32 MED18
14012 29 IINF04
14013 57 AGR03
14014 23 INF01
14015 17 BIO10
14016 63 BIO10
14017 65 INGIND35
14018 69 INF01
14019 93 BIO10
14020 34 IINF04
14021 65 MED18
14022 22 INF01
14023 15 INF01
14024 72 IINF05
14025 17 INGIND35
14026 66 INF01
14027 4 MAT01
14028 45 FIS01
14029 35 BIO10
14030 97 AGR03
14031 13 INF01
14032 74 INF01
14033 81 CHIM02
14034 6 MED18
14035 52 INF01
14036 88 MAT01
14037 97 AGR03
14038 93 MED18
14039 49 MED18
14040 19 IINF04
14041 30 IINF04
14042 14 INGIND35
14043 96 MAT01
14044 52 IINF04
14045 97 MED18
14046 18 INF01
14047 5 INGIND35
14048 70 IINF05
14049 42 IINF05
14050 100 AGR03
14051 92 MAT01
14052 28 FIS01
14053 76 IINF05
14054 82 BIO10
14055 54 MAT01
14056 68 AGR03
14057 94 IINF04
14058 81 INF01
14059 50 IINF04
14060 91 CHIM02
14061 16 MAT01
14062 16 MAT01
14063 51 FIS01
14064 69 FIS01
14065 98 IINF04
14066 32 CHIM02
14067 81 IINF05
14068 33 IINF04
14069 17 CHIM02
14070 54 INF01
14071 47 IINF05
14072 26 AGR03
14073 73 IINF05
14074 100 IINF05
14075 21 CHIM02
14076 78 INF01
14077 4 AGR03
14078 64 IINF04
14079 61 MED18
14080 22 AGR03
14081 14 INF01
14082 50 INF01
14083 14 MED18
14084 12 INGIND35
14085 76 INGIND35
14086 76 AGR03
14087 11 BIO10
14088 18 AGR03
14089 98 IINF04
14090 64 INF01
14091 88 CHIM02
14092 40 FIS01
14093 91 BIO10
14094 24 INF01
14095 7 MED18
14096 91 CHIM02
14097 78 INGIND35
14098 19 INGIND35
14099 59 AGR03
14100 29 IINF05
14101 15 IINF05
14102 27 CHIM02
14103 84 MAT01
14104 37 CHIM02
14105 15 BIO10
14106 10 MAT01
14107 72 INGIND35
14108 61 INF01
14109 56 IINF04
14110 41 IINF04
14111 29 MED18
14112 51 INGIND35
14113 18 IINF04
14114 85 INGIND35
14115 85 BIO10
14116 47 MED18
14117 71 IINF04
14118 55 FIS01
14119 44 AGR03
14120 98 INF01
14121 69 MED18
14122 15 MAT01
14123 71 AGR03
14124 74 MED18
14125 70 FIS01
14126 73 AGR03
14127 25 IINF05
14128 9 IINF04
14129 37 MAT01
14130 67 MED18
14131 25 IINF05
14132 86 INF01
14133 62 FIS01
14134 77 AGR03
14135 11 MAT01
14136 90 IINF04
14137 100 INGIND35
14138 27 FIS01
14139 39 FIS01
14140 49 MED18
14141 96 CHIM02
14142 56 FIS01
14143 86 AGR03
14144 68 AGR03
14145 36 IINF05
14146 53 MAT01
14147 53 INGIND35
14148 86 BIO10
14149 67 BIO10
14150 78 BIO10
14151 3 MED18
14152 31 MAT01
14153 32 MAT01
14154 31 AGR03
14155 71 MAT01
14156 53 MED18
14157 2 INGIND35
14158 42 BIO10
14159 1 MED18
14160 81 IINF04
14161 24 INGIND35
14162 85 IINF05
14163 34 AGR03
14164 43 CHIM02
14165 3 BIO10
14166 70 INGIND35
14167 35 BIO10
14168 95 IINF04
14169 58 IINF04
14170 47 FIS01
14171 53 FIS01
14172 68 MED18
14173 55 INF01
14174 75 FIS01
14175 46 FIS01
14176 60 IINF04
14177 69 AGR03
14178 19 FIS01
14179 54 FIS01
14180 27 IINF05
14181 27 INF01
14182 98 IINF05
14183 93 BIO10
14184 29 IINF05
14185 90 FIS01
14186 81 IINF05
14187 90 IINF04
14188 75 INGIND35
14189 7 INGIND35
14190 73 BIO10
14191 19 AGR03
14192 86 INGIND35
14193 51 INGIND35
14194 83 INGIND35
14195 82 MAT01
14196 87 FIS01
14197 67 AGR03
14198 26 MAT01
14199 28 MED18
14200 13 AGR03
14201 36 MED18
14202 42 INGIND35
14203 14 AGR03
14204 38 INF01
14205 12 INF01
14206 70 AGR03
14207 7 FIS01
14208 49 AGR03
14209 41 AGR03
14210 49 CHIM02
14211 29 IINF05
14212 34 CHIM02
14213 80 INF01
14214 3 INGIND35
14215 54 MAT01
14216 37 INGIND35
14217 41 INGIND35
14218 37 IINF04
14219 55 FIS01
14220 23 BIO10
14221 66 FIS01
14222 100 AGR03
14223 26 INGIND35
14224 76 BIO10
14225 77 AGR03
14226 39 FIS01
14227 26 INF01
14228 79 INF01
14229 8 MED18
14230 96 AGR03
14231 95 CHIM02
14232 21 FIS01
14233 39 MED18
14234 6 IINF04
14235 41 INF01
14236 32 IINF05
14237 97 INGIND35
14238 60 MAT01
14239 17 MAT01
14240 94 MED18
14241 8 CHIM02
14242 19 BIO10
14243 19 INF01
14244 25 AGR03
14245 54 AGR03
14246 27 AGR03
14247 79 MED18
14248 90 CHIM02
14249 75 IINF04
14250 48 MAT01
14251 20 CHIM02
14252 78 MED18
14253 76 CHIM02
14254 92 FIS01
14255 99 CHIM02
14256 74 INGIND35
14257 3 IINF04
14258 88 BIO10
14259 87 AGR03
14260 7 MED18
14261 28 INF01
14262 83 IINF05
14263 30 INGIND35
14264 38 MED18
14265 92 FIS01
14266 66 MAT01
14267 22 INGIND35
14268 78 CHIM02
14269 61 IINF04
14270 12 BIO10
14271 14 INGIND35
14272 85 INGIND35
14273 26 IINF04
14274 4 IINF04
14275 40 INF01
14276 91 INGIND35
14277 34 MAT01
14278 83 IINF05
14279 15 IINF04
14280 80 INGIND35
14281 56 IINF05
14282 42 INF01
14283 7 MED18
14284 95 CHIM02
14285 99 INGIND35
14286 23 BIO10
14287 62 INF01
14288 41 IINF05
14289 99 AGR03
14290 22 CHIM02
14291 43 BIO10
14292 37 IINF05
14293 57 AGR03
14294 96 AGR03
14295 31 INF01
14296 71 FIS01
14297 71 BIO10
14298 61 BIO10
14299 40 BIO10
14300 41 CHIM02
14301 2 IINF04
14302 36 MED18
14303 27 MED18
14304 47 IINF05
14305 9 BIO10
14306 94 MAT01
14307 67 FIS01
14308 22 BIO10
14309 98 IINF04
14310 65 AGR03
14311 41 MAT01
14312 83 BIO10
14313 54 BIO10
14314 66 MED18
14315 73 FIS01
14316 6 IINF05
14317 1 IINF04
14318 64 BIO10
14319 21 FIS01
14320 73 INF01
14321 91 FIS01
14322 51 INF01
14323 25 IINF04
14324 68 INF01
14325 89 INGIND35
14326 20 INF01
14327 43 BIO10
14328 9 CHIM02
14329 89 INF01
14330 18 MAT01
14331 36 INF01
14332 38 AGR03
14333 86 INGIND35
14334 85 FIS01
14335 17 BIO10
14336 77 MED18
14337 68 INGIND35
14338 97 FIS01
14339 84 CHIM02
14340 16 INF01
14341 84 IINF05
14342 4 AGR03
14343 67 BIO10
14344 99 INF01
14345 100 IINF04
14346 46 IINF05
14347 98 IINF04
14348 88 IINF05
14349 7 BIO10
14350 25 INF01
14351 69 INGIND35
14352 49 BIO10
14353 3 MED18
14354 1 IINF05
14355 19 INF01
14356 98 CHIM02
14357 87 AGR03
14358 10 FIS01
14359 1 IINF05
14360 32 INGIND35
14361 11 MAT01
14362 19 IINF04
14363 17 MED18
14364 52 MAT01
14365 16 MAT01
14366 25 MAT01
14367 4 IINF05
14368 5 MAT01
14369 55 INF01
14370 45 MAT01
14371 31 IINF04
14372 87 FIS01
14373 17 INF01
14374 21 INGIND35
14375 81 INGIND35
14376 89 AGR03
14377 99 INF01
14378 35 AGR03
14379 2 IINF04
14380 84 AGR03
14381 40 MAT01
14382 16 IINF04
14383 16 CHIM02
14384 62 BIO10
14385 67 MAT01
14386 85 IINF05
14387 1 MAT01
14388 76 CHIM02
14389 76 AGR03
14390 37 BIO10
14391 52 MED18
14392 37 INGIND35
14393 91 BIO10
14394 67 INGIND35
14395 55 IINF05
14396 45 INGIND35
14397 49 AGR03
14398 80 BIO10
14399 9 IINF05
14400 91 INF01
14401 50 MED18
14402 73 INF01
14403 67 MED18
14404 5 AGR03
14405 13 AGR03
14406 7 MED18
14407 55 IINF04
14408 12 MED18
14409 89 AGR03
14410 7 AGR03
14411 40 AGR03
14412 75 CHIM02
14413 90 IINF04
14414 61 MAT01
14415 56 BIO10
14416 15 BIO10
14417 17 MED18
14418 92 IINF05
14419 81 FIS01
14420 75 FIS01
14421 53 FIS01
14422 24 IINF04
14423 43 IINF04
14424 36 FIS01
14425 7 INGIND35
14426 11 IINF04
14427 47 MED18
14428 73 MED18
14429 13 FIS01
14430 81 FIS01
14431 91 IINF04
14432 66 AGR03
14433 37 MAT01
14434 86 MED18
14435 77 INF01
14436 96 BIO10
14437 58 CHIM02
14438 64 MAT01
14439 60 INF01
14440 75 MED18
14441 22 INGIND35
14442 88 MED18
14443 74 BIO10
14444 40 IINF04
14445 37 IINF04
14446 59 BIO10
14447 19 BIO10
14448 45 INGIND35
14449 35 IINF05
14450 57 AGR03
14451 62 INGIND35
14452 97 MAT01
14453 80 CHIM02
14454 13 MAT01
14455 18 AGR03
14456 53 FIS01
14457 17 MAT01
14458 66 MED18
14459 28 MED18
14460 100 IINF05
14461 84 FIS01
14462 20 IINF05
14463 86 MED18
14464 82 CHIM02
14465 68 MED18
14466 52 FIS01
14467 42 IINF04
14468 44 AGR03
14469 47 IINF05
14470 37 AGR03
14471 7 MAT01
14472 99 IINF04
14473 43 AGR03
14474 55 MAT01
14475 1 MED18
14476 50 AGR03
14477 42 INF01
14478 69 INGIND35
14479 65 BIO10
14480 78 FIS01
14481 60 AGR03
14482 90 IINF04
14483 16 CHIM02
14484 83 INGIND35
14485 87 INGIND35
14486 42 BIO10
14487 6 INF01
14488 19 AGR03
14489 59 BIO10
14490 11 AGR03
14491 25 IINF04
14492 61 BIO10
14493 12 INGIND35
14494 51 INF01
14495 37 IINF04
14496 93 IINF05
14497 75 MAT01
14498 62 INGIND35
14499 81 IINF05
14500 78 AGR03
14501 82 AGR03
14502 18 BIO10
14503 66 INF01
14504 22 MED18
14505 53 MED18
14506 9 CHIM02
14507 88 FIS01
14508 76 IINF05
14509 91 MAT01
14510 20 IINF04
14511 97 CHIM02
14512 8 IINF05
14513 99 AGR03
14514 13 MAT01
14515 81 IINF04
14516 77 MED18
14517 20 AGR03
14518 36 INGIND35
14519 78 INGIND35
14520 60 IINF04
14521 75 MAT01
14522 66 FIS01
14523 95 MED18
14524 34 AGR03
14525 2 IINF05
14526 48 MED18
14527 99 INF01
14528 67 IINF04
14529 61 IINF04
14530 1 AGR03
14531 65 IINF05
14532 39 IINF04
14533 7 MAT01
14534 43 FIS01
14535 63 MAT01
14536 47 INGIND35
14537 84 IINF05
14538 56 MAT01
14539 41 INGIND35
14540 73 FIS01
14541 8 AGR03
14542 42 INGIND35
14543 30 IINF05
14544 43 IINF04
14545 20 INF01
14546 40 IINF04
14547 57 IINF04
14548 96 AGR03
14549 36 BIO10
14550 76 AGR03
14551 12 INGIND35
14552 65 INGIND35
14553 81 BIO10
14554 30 CHIM02
14555 96 IINF05
14556 89 INGIND35
14557 62 CHIM02
14558 13 MAT01
14559 38 IINF04
14560 15 IINF04
14561 22 IINF05
14562 67 CHIM02
14563 100 IINF05
14564 2 IINF05
14565 44 IINF04
14566 42 INF01
14567 95 INF01
14568 10 FIS01
14569 4 FIS01
14570 81 AGR03
14571 17 MED18
14572 66 AGR03
14573 54 AGR03
14574 34 MAT01
14575 20 BIO10
14576 14 FIS01
14577 9 IINF04
14578 4 CHIM02
14579 34 MAT01
14580 63 CHIM02
14581 70 MAT01
14582 58 IINF04
14583 54 INF01
14584 75 INGIND35
14585 63 MAT01
14586 96 IINF05
14587 76 MAT01
14588 9 INF01
14589 62 AGR03
14590 68 INF01
14591 59 MED18
14592 60 FIS01
14593 95 INGIND35
14594 16 AGR03
14595 77 IINF04
14596 2 CHIM02
14597 32 INGIND35
14598 68 INGIND35
14599 61 IINF05
14600 32 MED18
14601 53 FIS01
14602 84 CHIM02
14603 5 AGR03
14604 44 CHIM02
14605 54 FIS01
14606 67 AGR03
14607 20 INF01
14608 83 IINF05
14609 32 IINF05
14610 22 FIS01
14611 40 MED18
14612 10 BIO10
14613 84 INGIND35
14614 66 MAT01
14615 13 BIO10
14616 14 INF01
14617 43 CHIM02
14618 53 CHIM02
14619 30 INGIND35
14620 68 AGR03
14621 63 CHIM02
14622 61 MAT01
14623 12 INF01
14624 38 CHIM02
14625 91 BIO10
14626 57 INGIND35
14627 19 FIS01
14628 84 MED18
14629 90 MED18
14630 35 AGR03
14631 45 IINF04
14632 59 INF01
14633 69 CHIM02
14634 21 FIS01
14635 49 BIO10
14636 44 INF01
14637 43 MED18
14638 83 MAT01
14639 33 INF01
14640 87 INF01
14641 49 BIO10
14642 79 BIO10
14643 9 IINF05
14644 38 INF01
14645 43 INF01
14646 92 FIS01
14647 54 BIO10
14648 84 MED18
14649 10 INF01
14650 62 IINF05
14651 74 AGR03
14652 80 AGR03
14653 72 MED18
14654 14 AGR03
14655 18 CHIM02
14656 54 MED18
14657 65 INGIND35
14658 28 IINF05
14659 22 IINF05
14660 60 IINF04
14661 75 AGR03
14662 11 MAT01
14663 8 AGR03
14664 13 FIS01
14665 67 BIO10
14666 47 MAT01
14667 46 MED18
14668 40 FIS01
14669 19 INF01
14670 76 BIO10
14671 88 MED18
14672 90 AGR03
14673 21 MAT01
14674 85 FIS01
14675 52 CHIM02
14676 22 AGR03
14677 75 MED18
14678 62 AGR03
14679 73 IINF05
14680 27 MED18
14681 76 INGIND35
14682 20 IINF05
14683 30 AGR03
14684 81 MAT01
