5877 INF01 7
85952 12 INF01
85953 51 FIS01
85954 11 MAT01
85955 8 IINF04
85956 63 CHIM02
85957 62 MAT01
85958 53 MAT01
85959 59 BIO10
85960 47 CHIM02
85961 36 MED18
85962 81 INGIND35
85963 95 IINF05
85964 62 AGR03
85965 94 INF01
85966 70 IINF05
85967 72 MAT01
85968 65 AGR03
85969 48 AGR03
85970 11 AGR03
85971 81 IINF05
85972 94 INGIND35
85973 18 MAT01
85974 54 INGIND35
85975 37 MED18
85976 24 CHIM02
85977 7 IINF05
85978 20 MAT01
85979 20 FIS01
85980 90 BIO10
85981 54 AGR03
85982 55 INGIND35
85983 69 CHIM02
85984 21 BIO10
85985 70 IINF05
85986 39 CHIM02
85987 39 MAT01
85988 8 BIO10
85989 98 INGIND35
85990 25 MAT01
85991 62 INGIND35
85992 55 IINF04
85993 28 MAT01
85994 86 INGIND35
85995 6 MED18
85996 14 AGR03
85997 76 AGR03
85998 50 CHIM02
85999 51 INGIND35
86000 56 INGIND35
86001 41 MAT01
86002 37 IINF05
86003 61 IINF04
86004 5 AGR03
86005 49 INGIND35
86006 51 FIS01
86007 65 IINF05
86008 78 INF01
86009 18 BIO10
86010 27 FIS01
86011 52 INF01
86012 49 MED18
86013 96 AGR03
86014 9 INF01
86015 92 BIO10
86016 43 IINF05
86017 72 FIS01
86018 61 INF01
86019 97 INGIND35
86020 32 AGR03
86021 68 IINF05
86022 8 INF01
86023 86 IINF05
86024 50 MAT01
86025 67 FIS01
86026 7 BIO10
86027 10 INGIND35
86028 77 IINF05
86029 70 CHIM02
86030 92 AGR03
86031 68 MAT01
86032 75 MED18
86033 40 MED18
86034 63 AGR03
86035 7 IINF05
86036 62 BIO10
86037 68 BIO10
86038 88 FIS01
86039 51 INF01
86040 91 IINF05
86041 52 IINF04
86042 50 IINF05
86043 69 INGIND35
86044 38 INGIND35
86045 98 MAT01
86046 97 FIS01
86047 78 CHIM02
86048 93 BIO10
86049 17 FIS01
86050 89 AGR03
86051 68 AGR03
86052 34 IINF05
86053 83 IINF05
86054 16 AGR03
86055 94 MED18
86056 50 CHIM02
86057 43 INGIND35
86058 64 INGIND35
86059 38 CHIM02
86060 60 MAT01
86061 68 IINF05
86062 9 FIS01
86063 40 CHIM02
86064 85 MED18
86065 94 IINF05
86066 21 INGIND35
86067 28 FIS01
86068 67 INF01
86069 74 MAT01
86070 81 CHIM02
86071 17 MAT01
86072 44 AGR03
86073 98 AGR03
86074 92 FIS01
86075 57 CHIM02
86076 26 BIO10
86077 21 INF01
86078 36 AGR03
86079 97 FIS01
86080 63 FIS01
86081 1 IINF04
86082 19 AGR03
86083 18 INF01
86084 97 IINF04
86085 86 CHIM02
86086 65 FIS01
86087 8 INGIND35
86088 9 FIS01
86089 84 FIS01
86090 34 AGR03
86091 5 CHIM02
86092 80 AGR03
86093 65 AGR03
86094 41 IINF04
86095 86 INF01
86096 60 BIO10
86097 94 IINF05
86098 65 MED18
86099 86 INF01
86100 95 AGR03
86101 26 FIS01
86102 12 IINF05
86103 47 IINF05
86104 52 CHIM02
86105 81 FIS01
86106 14 INF01
86107 70 INGIND35
86108 93 FIS01
86109 66 FIS01
86110 18 INF01
86111 28 MED18
86112 67 FIS01
86113 5 IINF05
86114 33 IINF05
86115 67 IINF04
86116 62 MED18
86117 85 CHIM02
86118 17 CHIM02
86119 10 MAT01
86120 7 IINF05
86121 62 IINF05
86122 56 INGIND35
86123 47 INGIND35
86124 76 INF01
86125 54 IINF04
86126 88 MED18
86127 100 INGIND35
86128 37 INF01
86129 74 MAT01
86130 94 INF01
86131 88 INGIND35
86132 95 INF01
86133 58 MED18
86134 4 IINF04
86135 65 INGIND35
86136 58 IINF04
86137 73 INF01
86138 93 INGIND35
86139 19 IINF05
86140 32 CHIM02
86141 19 AGR03
86142 65 INGIND35
86143 13 BIO10
86144 51 BIO10
86145 69 BIO10
86146 16 BIO10
86147 79 IINF05
86148 13 FIS01
86149 60 BIO10
86150 41 AGR03
86151 1 CHIM02
86152 9 AGR03
86153 81 INGIND35
86154 41 MED18
86155 24 CHIM02
86156 41 MED18
86157 49 INGIND35
86158 42 FIS01
86159 69 IINF05
86160 28 IINF05
86161 27 CHIM02
86162 14 AGR03
86163 31 AGR03
86164 87 MED18
86165 50 IINF04
86166 25 MED18
86167 13 MED18
86168 12 AGR03
86169 71 IINF05
86170 24 MED18
86171 68 FIS01
86172 49 CHIM02
86173 17 INF01
86174 58 AGR03
86175 55 IINF05
86176 82 IINF04
86177 65 MAT01
86178 100 BIO10
86179 8 IINF05
86180 54 BIO10
86181 61 INF01
86182 89 CHIM02
86183 31 IINF04
86184 98 BIO10
86185 82 INF01
86186 31 INF01
86187 74 CHIM02
86188 34 AGR03
86189 76 MAT01
86190 80 BIO10
86191 6 INGIND35
86192 27 MED18
86193 8 FIS01
86194 21 BIO10
86195 38 FIS01
86196 51 IINF05
86197 29 INGIND35
86198 60 BIO10
86199 4 INGIND35
86200 73 MAT01
86201 18 MED18
86202 29 IINF04
86203 11 INGIND35
86204 89 AGR03
86205 74 BIO10
86206 7 MAT01
86207 50 MAT01
86208 86 CHIM02
86209 3 BIO10
86210 93 INF01
86211 82 BIO10
86212 57 INGIND35
86213 38 IINF04
86214 2 AGR03
86215 15 FIS01
86216 77 INGIND35
86217 56 AGR03
86218 46 IINF04
86219 44 IINF05
86220 28 MED18
86221 29 MED18
86222 74 INGIND35
86223 54 MED18
86224 43 MAT01
86225 82 IINF04
86226 27 FIS01
86227 21 MAT01
86228 87 INF01
86229 32 INGIND35
86230 90 INF01
86231 91 CHIM02
86232 46 IINF05
86233 2 INGIND35
86234 14 BIO10
86235 25 FIS01
86236 34 MAT01
86237 71 FIS01
86238 57 CHIM02
86239 91 IINF05
86240 91 FIS01
86241 80 AGR03
86242 44 BIO10
86243 37 AGR03
86244 36 INGIND35
86245 43 MED18
86246 80 CHIM02
86247 80 BIO10
86248 44 CHIM02
86249 74 FIS01
86250 58 BIO10
86251 61 FIS01
86252 78 IINF04
86253 56 MAT01
86254 56 IINF04
86255 52 BIO10
86256 25 MAT01
86257 88 CHIM02
86258 98 MAT01
86259 49 INGIND35
86260 7 FIS01
86261 72 FIS01
86262 37 INF01
86263 64 IINF05
86264 85 FIS01
86265 44 INGIND35
86266 80 AGR03
86267 90 BIO10
86268 86 FIS01
86269 97 BIO10
86270 34 INF01
86271 74 MAT01
86272 80 MAT01
86273 38 MAT01
86274 88 IINF04
86275 73 INGIND35
86276 38 IINF05
86277 24 IINF05
86278 8 INF01
86279 69 INGIND35
86280 72 CHIM02
86281 59 INGIND35
86282 49 AGR03
86283 2 BIO10
86284 99 FIS01
86285 51 IINF05
86286 50 IINF04
86287 80 MED18
86288 26 IINF05
86289 28 AGR03
86290 31 CHIM02
86291 92 INF01
86292 59 FIS01
86293 26 FIS01
86294 28 BIO10
86295 96 CHIM02
86296 91 INGIND35
86297 64 CHIM02
86298 23 INF01
86299 96 CHIM02
86300 31 CHIM02
86301 83 AGR03
86302 85 AGR03
86303 46 MED18
86304 73 IINF04
86305 68 INF01
86306 11 IINF04
86307 52 MED18
86308 31 CHIM02
86309 15 CHIM02
86310 61 BIO10
86311 27 MED18
86312 66 INGIND35
86313 44 IINF04
86314 38 INGIND35
86315 37 MED18
86316 89 MED18
86317 86 IINF05
86318 52 MAT01
86319 54 MAT01
86320 13 BIO10
86321 29 FIS01
86322 70 INGIND35
86323 92 CHIM02
86324 82 CHIM02
86325 24 CHIM02
86326 47 IINF04
86327 19 IINF05
86328 49 MED18
86329 87 INGIND35
86330 95 IINF05
86331 65 FIS01
86332 34 FIS01
86333 32 MAT01
86334 59 MAT01
86335 87 BIO10
86336 51 AGR03
86337 26 INGIND35
86338 54 FIS01
86339 67 BIO10
86340 42 MED18
86341 28 AGR03
86342 82 IINF05
86343 61 MAT01
86344 18 BIO10
86345 20 IINF04
86346 42 CHIM02
86347 49 MED18
86348 5 INGIND35
86349 42 INF01
86350 52 AGR03
86351 21 AGR03
86352 75 BIO10
86353 77 INF01
86354 51 AGR03
86355 38 CHIM02
86356 73 FIS01
86357 58 MAT01
86358 46 FIS01
86359 37 CHIM02
86360 42 FIS01
86361 71 IINF05
86362 75 IINF04
86363 16 BIO10
86364 88 BIO10
86365 51 INF01
86366 81 IINF05
86367 38 INGIND35
86368 18 INF01
86369 3 INF01
86370 26 IINF04
86371 64 MAT01
86372 40 BIO10
86373 41 INGIND35
86374 82 INF01
86375 43 INF01
86376 30 MED18
86377 52 AGR03
86378 5 IINF04
86379 53 INGIND35
86380 56 INGIND35
86381 61 IINF05
86382 92 IINF04
86383 53 MED18
86384 26 CHIM02
86385 99 BIO10
86386 57 MED18
86387 65 IINF04
86388 9 MAT01
86389 26 MED18
86390 10 MED18
86391 74 IINF04
86392 15 INF01
86393 92 MED18
86394 80 FIS01
86395 16 INGIND35
86396 94 IINF04
86397 36 BIO10
86398 47 CHIM02
86399 80 CHIM02
86400 100 MED18
86401 27 MED18
86402 52 MAT01
86403 76 MAT01
86404 96 CHIM02
86405 18 INGIND35
86406 47 INGIND35
86407 26 MAT01
86408 94 BIO10
86409 82 MED18
86410 81 MED18
86411 33 BIO10
86412 77 MAT01
86413 52 BIO10
86414 72 INF01
86415 88 IINF04
86416 61 FIS01
86417 53 FIS01
86418 9 IINF04
86419 72 BIO10
86420 64 MED18
86421 47 FIS01
86422 82 IINF04
86423 45 FIS01
86424 36 CHIM02
86425 11 INF01
86426 99 MAT01
86427 58 MED18
86428 28 BIO10
86429 43 MAT01
86430 47 CHIM02
86431 36 INF01
86432 66 MED18
86433 77 BIO10
86434 66 INGIND35
86435 76 AGR03
86436 79 IINF05
86437 68 INF01
86438 49 CHIM02
86439 77 IINF04
86440 39 IINF04
86441 16 INF01
86442 11 AGR03
86443 7 INF01
86444 8 INF01
86445 28 AGR03
86446 90 BIO10
86447 36 MED18
86448 32 IINF05
86449 39 CHIM02
86450 6 INF01
86451 98 INF01
86452 59 INGIND35
86453 43 BIO10
86454 37 IINF05
86455 85 FIS01
86456 70 CHIM02
86457 10 INF01
86458 10 AGR03
86459 78 FIS01
86460 19 MAT01
86461 85 MED18
86462 38 MAT01
86463 28 AGR03
86464 16 BIO10
86465 75 MED18
86466 2 MAT01
86467 23 IINF05
86468 83 CHIM02
86469 34 AGR03
86470 100 INF01
86471 71 FIS01
86472 78 FIS01
86473 57 FIS01
86474 77 MED18
86475 31 BIO10
86476 64 MAT01
86477 11 INF01
86478 53 AGR03
86479 41 IINF05
86480 9 CHIM02
86481 74 AGR03
86482 58 IINF04
86483 25 IINF04
86484 43 CHIM02
86485 35 INF01
86486 40 BIO10
86487 9 IINF04
86488 89 CHIM02
86489 70 AGR03
86490 76 MED18
86491 58 MAT01
86492 34 FIS01
86493 10 IINF04
86494 27 CHIM02
86495 73 MAT01
86496 53 INF01
86497 61 AGR03
86498 99 FIS01
86499 44 INF01
86500 9 INF01
86501 73 BIO10
86502 83 AGR03
86503 48 FIS01
86504 18 MED18
86505 64 FIS01
86506 90 FIS01
86507 34 IINF05
86508 42 MED18
86509 48 INGIND35
86510 54 FIS01
86511 16 IINF05
86512 5 BIO10
86513 1 INF01
86514 24 CHIM02
86515 78 MAT01
86516 62 MED18
86517 94 FIS01
86518 5 INGIND35
86519 51 BIO10
86520 31 AGR03
86521 84 IINF05
86522 89 FIS01
86523 38 INGIND35
86524 21 FIS01
86525 59 INF01
86526 39 MED18
86527 42 MAT01
86528 43 IINF04
86529 8 AGR03
86530 57 CHIM02
86531 62 INGIND35
86532 64 IINF04
86533 99 INF01
86534 51 AGR03
86535 61 IINF04
86536 13 FIS01
86537 34 BIO10
86538 52 MAT01
86539 82 MED18
86540 97 MAT01
86541 60 IINF04
86542 6 IINF05
86543 8 CHIM02
86544 27 INF01
86545 57 IINF05
86546 62 IINF05
86547 57 CHIM02
86548 94 INGIND35
86549 28 IINF04
86550 81 INGIND35
86551 22 INF01
86552 50 BIO10
86553 93 AGR03
86554 53 INGIND35
86555 32 IINF04
86556 81 AGR03
86557 96 INF01
86558 52 FIS01
86559 61 BIO10
86560 49 MED18
86561 68 MED18
86562 100 AGR03
86563 98 FIS01
86564 76 IINF04
86565 30 IINF04
86566 45 INGIND35
86567 16 FIS01
86568 78 IINF05
86569 77 IINF05
86570 71 FIS01
86571 25 MAT01
86572 8 FIS01
86573 22 AGR03
86574 34 INGIND35
86575 17 BIO10
86576 20 IINF04
86577 98 MAT01
86578 19 INGIND35
86579 20 IINF04
86580 43 IINF05
86581 37 MED18
86582 19 INF01
86583 5 FIS01
86584 63 BIO10
86585 38 FIS01
86586 31 INGIND35
86587 62 BIO10
86588 6 MED18
86589 69 MED18
86590 22 FIS01
86591 57 MAT01
86592 63 CHIM02
86593 8 INGIND35
86594 32 MAT01
86595 32 INF01
86596 55 INF01
86597 93 MAT01
86598 96 IINF05
86599 25 INF01
86600 58 BIO10
86601 80 INF01
86602 94 IINF04
86603 6 CHIM02
86604 70 CHIM02
86605 73 CHIM02
86606 62 CHIM02
86607 6 BIO10
86608 6 INGIND35
86609 46 MED18
86610 35 INGIND35
86611 61 IINF04
86612 12 IINF04
86613 85 IINF04
86614 19 MAT01
86615 3 CHIM02
86616 12 INF01
86617 88 MED18
86618 13 IINF04
86619 35 IINF05
86620 95 CHIM02
86621 45 MAT01
86622 49 INGIND35
86623 39 MAT01
86624 15 MAT01
86625 89 FIS01
86626 67 BIO10
86627 73 FIS01
86628 15 MAT01
86629 66 MAT01
86630 87 MAT01
86631 64 MED18
86632 64 INF01
86633 65 IINF04
86634 72 CHIM02
86635 43 CHIM02
86636 48 FIS01
86637 21 INGIND35
86638 53 MAT01
86639 47 MED18
86640 92 INF01
86641 39 INGIND35
86642 15 INGIND35
86643 41 FIS01
86644 53 FIS01
86645 67 BIO10
86646 85 BIO10
86647 84 IINF05
86648 28 IINF04
86649 41 FIS01
86650 12 CHIM02
86651 50 CHIM02
86652 10 MAT01
86653 92 INF01
86654 71 IINF04
86655 98 MAT01
86656 75 BIO10
86657 84 MAT01
86658 84 CHIM02
86659 79 IINF04
86660 24 FIS01
86661 49 INGIND35
86662 36 IINF04
86663 75 INF01
86664 56 INGIND35
86665 34 AGR03
86666 99 MAT01
86667 70 CHIM02
86668 27 MAT01
86669 26 AGR03
86670 80 IINF05
86671 72 BIO10
86672 86 INF01
86673 94 MAT01
86674 48 INGIND35
86675 34 IINF05
86676 98 IINF04
86677 1 CHIM02
86678 2 MED18
86679 89 MED18
86680 26 IINF05
86681 27 BIO10
86682 42 IINF04
86683 89 IINF04
86684 45 MED18
86685 24 IINF05
86686 55 INF01
86687 73 MAT01
86688 33 INF01
86689 33 INF01
86690 50 CHIM02
86691 51 FIS01
86692 87 AGR03
86693 73 IINF05
86694 26 IINF04
86695 71 CHIM02
86696 37 INGIND35
